Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,49,15,30.6,6,4,66.7,18,12,66.7
Atlanta Falcons,53,17,32.1,8,6,75.0,9,6,66.7
Minnesota Vikings,63,19,30.2,5,3,60.0,16,8,50.0
Denver Broncos,81,22,27.2,5,1,20.0,14,4,28.6
Houston Texans,61,22,36.1,4,2,50.0,11,7,63.6
San Francisco 49ers,68,23,33.8,8,6,75.0,18,11,61.1
Green Bay Packers,70,24,34.3,12,8,66.7,14,9,64.3
Carolina Panthers,68,26,38.2,10,7,70.0,20,12,60.0
New England Patriots,64,26,40.6,6,2,33.3,14,10,71.4
Kansas City Chiefs,67,26,38.8,13,4,30.8,17,10,58.8
Arizona Cardinals,75,27,36.0,10,5,50.0,21,12,57.1
New York Jets,77,28,36.4,4,4,100.0,22,13,59.1
Detroit Lions,69,28,40.6,8,4,50.0,21,14,66.7
Tampa Bay Buccaneers,74,29,39.2,12,5,41.7,16,11,68.8
Pittsburgh Steelers,72,29,40.3,16,10,62.5,18,9,50.0
New Orleans Saints,70,29,41.4,8,4,50.0,18,12,66.7
Buffalo Bills,71,29,40.8,7,4,57.1,18,10,55.6
New York Giants,76,30,39.5,4,4,100.0,17,10,58.8
Los Angeles Chargers,78,30,38.5,9,6,66.7,21,9,42.9
Washington Commanders,80,30,37.5,10,5,50.0,20,11,55.0
Las Vegas Raiders,74,31,41.9,6,5,83.3,21,12,57.1
Los Angeles Rams,85,31,36.5,17,12,70.6,18,8,44.4
Jacksonville Jaguars,78,32,41.0,5,2,40.0,17,9,52.9
Tennessee Titans,79,32,40.5,9,7,77.8,23,13,56.5
Philadelphia Eagles,78,33,42.3,8,3,37.5,17,9,52.9
Seattle Seahawks,86,34,39.5,10,7,70.0,19,10,52.6
Cleveland Browns,80,34,42.5,2,1,50.0,15,12,80.0
Cincinnati Bengals,74,34,45.9,7,4,57.1,28,20,71.4
Miami Dolphins,73,35,47.9,9,8,88.9,28,14,50.0
Indianapolis Colts,73,35,47.9,9,4,44.4,19,11,57.9
Baltimore Ravens,84,37,44.0,14,11,78.6,30,21,70.0
Dallas Cowboys,79,42,53.2,8,5,62.5,24,15,62.5
