Week,Visitor,Home,Date
15,Atlanta Falcons,Tampa Bay Buccaneers,2025-12-11
15,Baltimore Ravens,Cincinnati Bengals,2025-12-14
15,New York Jets,Jacksonville Jaguars,2025-12-14
15,Las Vegas Raiders,Philadelphia Eagles,2025-12-14
15,Arizona Cardinals,Houston Texans,2025-12-14
15,Los Angeles Chargers,Kansas City Chiefs,2025-12-14
15,Cleveland Browns,Chicago Bears,2025-12-14
15,Washington Commanders,New York Giants,2025-12-14
15,Buffalo Bills,New England Patriots,2025-12-14
15,Indianapolis Colts,Seattle Seahawks,2025-12-14
15,Carolina Panthers,New Orleans Saints,2025-12-14
15,Tennessee Titans,San Francisco 49ers,2025-12-14
15,Detroit Lions,Los Angeles Rams,2025-12-14
15,Green Bay Packers,Denver Broncos,2025-12-14
15,Minnesota Vikings,Dallas Cowboys,2025-12-14
15,Miami Dolphins,Pittsburgh Steelers,2025-12-15
