Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
New England Patriots,23,4,17.4,2,2,100.0,3,0,0.0
New York Jets,21,5,23.8,1,0,0.0,5,3,60.0
Jacksonville Jaguars,19,5,26.3,2,1,50.0,7,2,28.6
Pittsburgh Steelers,24,6,25.0,0,0,,1,0,0.0
Chicago Bears,22,7,31.8,2,1,50.0,5,4,80.0
Kansas City Chiefs,24,7,29.2,3,2,66.7,5,3,60.0
Las Vegas Raiders,24,7,29.2,1,0,0.0,5,3,60.0
Seattle Seahawks,28,8,28.6,3,3,100.0,3,2,66.7
Indianapolis Colts,22,8,36.4,3,2,66.7,9,6,66.7
Arizona Cardinals,21,8,38.1,6,1,16.7,8,5,62.5
Minnesota Vikings,27,8,29.6,5,2,40.0,7,1,14.3
Houston Texans,24,8,33.3,1,0,0.0,4,2,50.0
Atlanta Falcons,27,9,33.3,4,1,25.0,8,4,50.0
New Orleans Saints,22,9,40.9,0,0,,7,5,71.4
San Francisco 49ers,24,9,37.5,5,2,40.0,5,1,20.0
Los Angeles Rams,26,10,38.5,2,1,50.0,5,2,40.0
Miami Dolphins,20,10,50.0,1,1,100.0,9,8,88.9
Los Angeles Chargers,28,10,35.7,2,1,50.0,8,4,50.0
Cincinnati Bengals,27,10,37.0,4,0,0.0,8,2,25.0
Baltimore Ravens,25,11,44.0,3,2,66.7,5,4,80.0
Buffalo Bills,27,11,40.7,4,4,100.0,9,7,77.8
Philadelphia Eagles,28,11,39.3,3,3,100.0,7,5,71.4
Cleveland Browns,26,12,46.2,1,0,0.0,6,3,50.0
Tennessee Titans,30,13,43.3,3,3,100.0,7,5,71.4
New York Giants,20,13,65.0,0,0,,6,6,100.0
Tampa Bay Buccaneers,27,13,48.1,1,0,0.0,8,3,37.5
Washington Commanders,25,13,52.0,0,0,,7,5,71.4
Denver Broncos,29,14,48.3,3,2,66.7,7,4,57.1
Carolina Panthers,27,14,51.9,3,1,33.3,4,4,100.0
Green Bay Packers,34,16,47.1,1,0,0.0,7,6,85.7
Detroit Lions,29,17,58.6,2,2,100.0,10,9,90.0
Dallas Cowboys,25,17,68.0,0,0,,7,5,71.4
