Tm,W,L,T,W-L%
Denver Broncos,8,2,0,.800
Indianapolis Colts,8,2,0,.800
New England Patriots,8,2,0,.800
Los Angeles Rams,7,2,0,.778
Philadelphia Eagles,7,2,0,.778
Seattle Seahawks,7,2,0,.778
Los Angeles Chargers,7,3,0,.700
Buffalo Bills,6,3,0,.667
Chicago Bears,6,3,0,.667
Detroit Lions,6,3,0,.667
Tampa Bay Buccaneers,6,3,0,.667
Green Bay Packers,5,3,1,.611
San Francisco 49ers,6,4,0,.600
Jacksonville Jaguars,5,4,0,.556
Kansas City Chiefs,5,4,0,.556
Pittsburgh Steelers,5,4,0,.556
Carolina Panthers,5,5,0,.500
Baltimore Ravens,4,5,0,.444
Houston Texans,4,5,0,.444
Minnesota Vikings,4,5,0,.444
Dallas Cowboys,3,5,1,.389
Arizona Cardinals,3,6,0,.333
Atlanta Falcons,3,6,0,.333
Cincinnati Bengals,3,6,0,.333
Miami Dolphins,3,7,0,.300
Washington Commanders,3,7,0,.300
Cleveland Browns,2,7,0,.222
Las Vegas Raiders,2,7,0,.222
New York Jets,2,7,0,.222
New York Giants,2,8,0,.200
New Orleans Saints,2,8,0,.200
Tennessee Titans,1,8,0,.111
