Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,249,4084,862,4.7,25,8,241,276,471,2641,17,17,5.2,140,350,1443,11,4.1,71,101,801,30,25.9,14.2,63.60
Seattle Seahawks,279,4548,971,4.7,22,6,272,342,549,3137,20,16,5.3,165,380,1411,8,3.7,76,111,851,31,30.2,12.4,44.86
Philadelphia Eagles,289,4736,944,5.0,18,7,283,272,487,2884,13,11,5.5,137,420,1852,16,4.4,116,83,738,30,36.1,10.8,9.30
Kansas City Chiefs,294,4619,860,5.4,11,3,257,303,445,3068,17,8,6.4,141,384,1551,13,4.0,89,101,902,27,37.7,7.5,-32.53
Denver Broncos,295,4374,950,4.6,12,3,276,310,527,3021,17,9,5.1,160,360,1353,11,3.8,74,111,808,42,36.3,6.4,6.87
Los Angeles Rams,299,4906,966,5.1,24,9,290,341,537,3320,23,15,5.7,170,388,1586,7,4.1,97,108,835,23,33.3,15.4,15.28
New England Patriots,300,4532,856,5.3,16,8,275,314,468,3030,24,8,6.1,158,358,1502,10,4.2,92,96,713,25,34.0,10.0,-22.98
Los Angeles Chargers,301,4247,846,5.0,21,4,256,277,454,2690,14,17,5.4,137,351,1557,16,4.4,92,91,753,27,36.8,12.5,-3.99
Green Bay Packers,303,4524,923,4.9,13,6,277,323,498,2967,23,7,5.6,158,392,1557,10,4.0,90,91,802,29,40.4,8.5,-46.65
Jacksonville Jaguars,312,4764,928,5.1,28,9,296,359,571,3455,24,19,5.8,183,328,1309,11,4.0,75,101,889,38,32.7,15.8,15.54
San Francisco 49ers,320,4983,897,5.6,16,10,295,353,516,3440,27,6,6.4,172,363,1543,10,4.3,98,95,670,25,37.8,9.5,-83.60
Minnesota Vikings,320,4452,911,4.9,15,9,274,255,407,2538,14,6,5.7,119,464,1914,13,4.1,130,101,803,25,38.6,8.9,7.27
Carolina Panthers,337,4937,884,5.6,18,5,285,302,458,3144,18,13,6.5,160,401,1793,18,4.5,105,99,744,20,42.3,11.3,-90.85
New Orleans Saints,338,4552,920,4.9,18,9,281,273,419,2659,22,9,5.8,139,464,1893,12,4.1,115,107,836,27,39.4,11.6,-10.43
Buffalo Bills,344,4671,850,5.5,20,7,280,253,415,2507,17,13,5.6,133,401,2164,24,5.4,123,76,668,24,39.2,12.7,-52.06
Baltimore Ravens,348,5274,972,5.4,18,8,292,349,553,3640,21,10,6.3,172,393,1634,14,4.2,97,96,750,23,42.8,10.7,-31.93
Pittsburgh Steelers,350,5447,1014,5.4,24,12,329,368,572,3740,26,12,6.1,188,399,1707,10,4.3,115,92,759,26,41.7,14.1,-67.87
Indianapolis Colts,351,5238,982,5.3,19,6,329,357,558,3761,23,13,6.3,195,387,1477,13,3.8,104,90,785,30,41.9,12.3,-87.88
Chicago Bears,354,5221,885,5.9,31,10,289,304,458,3256,28,21,6.7,156,396,1965,12,5.0,105,84,588,28,36.6,19.3,-56.96
Cleveland Browns,355,4167,884,4.7,16,6,246,258,409,2461,22,10,5.4,136,426,1706,14,4.0,89,115,789,21,34.9,8.0,44.82
Atlanta Falcons,360,4850,926,5.2,18,6,293,286,456,2927,24,12,5.8,159,420,1923,11,4.6,110,85,672,24,43.5,10.4,-63.75
Miami Dolphins,369,5092,904,5.6,17,10,300,321,449,3137,26,7,6.5,164,419,1955,14,4.7,102,95,744,34,41.4,9.9,-94.96
Detroit Lions,374,5211,947,5.5,18,6,303,313,506,3487,29,12,6.4,181,400,1724,14,4.3,89,84,656,33,40.7,10.8,-78.73
Tampa Bay Buccaneers,377,5150,898,5.7,20,8,286,341,511,3630,26,12,6.6,187,352,1520,16,4.3,78,113,871,21,40.5,12.0,-54.85
Las Vegas Raiders,386,4892,947,5.2,14,6,298,319,463,3145,23,8,6.4,160,457,1747,19,3.8,111,103,792,27,42.1,9.2,-91.67
Tennessee Titans,403,5125,899,5.7,13,7,298,308,455,3344,25,6,6.8,167,406,1781,19,4.4,98,97,668,33,44.2,6.7,-98.09
Washington Commanders,404,5746,937,6.1,9,2,330,310,463,3626,30,7,7.3,190,441,2120,16,4.8,115,96,818,25,47.3,5.3,-174.31
New York Giants,412,5595,946,5.9,11,5,329,322,496,3331,24,6,6.3,179,415,2264,19,5.5,117,122,1008,33,45.3,6.8,-152.78
Arizona Cardinals,414,5257,945,5.6,19,9,326,323,496,3362,25,10,6.4,182,423,1895,16,4.5,115,88,764,29,46.9,11.3,-91.27
New York Jets,426,5135,946,5.4,4,4,314,292,461,3130,27,0,6.4,173,460,2005,18,4.4,111,86,746,30,48.2,1.8,-122.04
Dallas Cowboys,454,5701,933,6.1,11,5,331,344,500,3867,33,6,7.3,184,404,1834,21,4.5,124,117,1008,23,50.0,6.3,-184.51
Cincinnati Bengals,458,6042,942,6.4,20,7,330,316,475,3702,31,13,7.4,188,442,2340,18,5.3,121,94,787,21,44.6,12.7,-175.52
