Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,59,18,30.5,8,4,50.0,19,13,68.4
Minnesota Vikings,73,22,30.1,8,5,62.5,17,8,47.1
Houston Texans,75,24,32.0,6,4,66.7,15,10,66.7
Atlanta Falcons,68,26,38.2,8,6,75.0,11,8,72.7
Kansas City Chiefs,74,26,35.1,14,4,28.6,17,10,58.8
San Francisco 49ers,79,28,35.4,10,6,60.0,20,12,60.0
Denver Broncos,96,28,29.2,7,3,42.9,16,6,37.5
Buffalo Bills,71,29,40.8,7,4,57.1,18,10,55.6
New England Patriots,74,29,39.2,8,2,25.0,14,10,71.4
Arizona Cardinals,85,30,35.3,13,7,53.8,25,15,60.0
Green Bay Packers,84,31,36.9,14,8,57.1,18,11,61.1
Detroit Lions,85,32,37.6,13,6,46.2,22,14,63.6
Tampa Bay Buccaneers,87,32,36.8,14,6,42.9,18,12,66.7
New Orleans Saints,82,32,39.0,9,5,55.6,24,14,58.3
New York Jets,94,33,35.1,8,7,87.5,25,14,56.0
Carolina Panthers,83,33,39.8,11,7,63.6,21,12,57.1
New York Giants,89,34,38.2,6,5,83.3,22,14,63.6
Los Angeles Rams,100,34,34.0,23,14,60.9,20,8,40.0
Jacksonville Jaguars,88,34,38.6,7,4,57.1,21,13,61.9
Cleveland Browns,93,35,37.6,6,3,50.0,17,12,70.6
Los Angeles Chargers,89,35,39.3,12,9,75.0,26,13,50.0
Pittsburgh Steelers,86,36,41.9,17,11,64.7,23,11,47.8
Seattle Seahawks,101,36,35.6,14,8,57.1,22,11,50.0
Washington Commanders,92,36,39.1,10,5,50.0,24,14,58.3
Tennessee Titans,91,37,40.7,11,9,81.8,26,15,57.7
Baltimore Ravens,84,37,44.0,14,11,78.6,30,21,70.0
Miami Dolphins,84,39,46.4,9,8,88.9,31,16,51.6
Philadelphia Eagles,93,40,43.0,9,4,44.4,23,10,43.5
Las Vegas Raiders,89,40,44.9,8,6,75.0,26,16,61.5
Cincinnati Bengals,84,41,48.8,7,4,57.1,32,23,71.9
Indianapolis Colts,89,43,48.3,13,7,53.8,23,14,60.9
Dallas Cowboys,95,49,51.6,10,5,50.0,27,18,66.7
