Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,33,10,30.3,4,3,75.0,14,9,64.3
Tampa Bay Buccaneers,35,11,31.4,8,4,50.0,7,3,42.9
Minnesota Vikings,38,12,31.6,1,0,0.0,8,4,50.0
Washington Commanders,42,12,28.6,6,3,50.0,9,5,55.6
San Francisco 49ers,36,12,33.3,4,3,75.0,9,5,55.6
Arizona Cardinals,39,12,30.8,8,5,62.5,12,5,41.7
Las Vegas Raiders,35,13,37.1,3,2,66.7,9,4,44.4
Carolina Panthers,34,13,38.2,6,3,50.0,9,4,44.4
Los Angeles Rams,38,13,34.2,7,6,85.7,7,4,57.1
Tennessee Titans,35,13,37.1,5,3,60.0,13,6,46.2
New York Jets,37,13,35.1,2,2,100.0,12,6,50.0
Kansas City Chiefs,37,13,35.1,6,3,50.0,9,5,55.6
New England Patriots,32,13,40.6,3,1,33.3,6,5,83.3
Philadelphia Eagles,33,14,42.4,5,2,40.0,9,4,44.4
Green Bay Packers,44,14,31.8,9,5,55.6,7,3,42.9
Indianapolis Colts,33,14,42.4,4,2,50.0,6,6,100.0
Atlanta Falcons,36,14,38.9,5,4,80.0,5,3,60.0
Los Angeles Chargers,45,16,35.6,7,5,71.4,8,2,25.0
Denver Broncos,44,16,36.4,3,0,0.0,11,3,27.3
Buffalo Bills,37,16,43.2,4,4,100.0,7,5,71.4
New Orleans Saints,37,17,45.9,0,0,,10,8,80.0
Seattle Seahawks,44,17,38.6,6,3,50.0,10,4,40.0
Houston Texans,42,17,40.5,3,2,66.7,9,6,66.7
Detroit Lions,34,17,50.0,4,1,25.0,11,7,63.6
New York Giants,40,18,45.0,1,1,100.0,10,8,80.0
Jacksonville Jaguars,44,18,40.9,4,2,50.0,6,3,50.0
Pittsburgh Steelers,41,19,46.3,9,6,66.7,11,7,63.6
Cincinnati Bengals,41,19,46.3,5,3,60.0,14,9,64.3
Miami Dolphins,38,20,52.6,4,4,100.0,14,9,64.3
Cleveland Browns,44,20,45.5,1,1,100.0,9,6,66.7
Baltimore Ravens,47,21,44.7,7,5,71.4,14,11,78.6
Dallas Cowboys,41,22,53.7,3,2,66.7,11,6,54.5
