Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,109,58,53.2,7,6,85.7,31,18,58.1
Tampa Bay Buccaneers,110,57,51.8,6,3,50.0,34,24,70.6
Cincinnati Bengals,113,53,46.9,7,4,57.1,26,18,69.2
Washington Commanders,109,50,45.9,11,11,100.0,41,21,51.2
Houston Texans,125,48,38.4,10,7,70.0,30,17,56.7
New York Jets,115,46,40.0,6,2,33.3,28,16,57.1
New York Giants,127,46,36.2,19,12,63.2,25,10,40.0
New Orleans Saints,118,45,38.1,14,8,57.1,28,18,64.3
Los Angeles Chargers,113,45,39.8,4,2,50.0,19,10,52.6
Philadelphia Eagles,109,43,39.4,17,11,64.7,30,17,56.7
Pittsburgh Steelers,109,43,39.4,8,5,62.5,28,13,46.4
Baltimore Ravens,94,43,45.7,7,4,57.1,39,29,74.4
New England Patriots,122,42,34.4,12,8,66.7,22,12,54.5
San Francisco 49ers,97,42,43.3,7,3,42.9,35,17,48.6
Denver Broncos,122,41,33.6,16,9,56.3,30,16,53.3
Indianapolis Colts,112,41,36.6,11,7,63.6,26,14,53.8
Miami Dolphins,104,41,39.4,16,3,18.8,22,11,50.0
Green Bay Packers,107,40,37.4,7,4,57.1,34,16,47.1
Arizona Cardinals,97,40,41.2,9,3,33.3,25,15,60.0
Atlanta Falcons,104,40,38.5,15,11,73.3,28,16,57.1
Las Vegas Raiders,116,39,33.6,13,4,30.8,22,13,59.1
Buffalo Bills,102,39,38.2,9,9,100.0,39,25,64.1
Dallas Cowboys,103,39,37.9,17,6,35.3,22,10,45.5
Seattle Seahawks,108,38,35.2,14,7,50.0,23,12,52.2
Detroit Lions,89,37,41.6,12,7,58.3,33,21,63.6
Cleveland Browns,129,37,28.7,21,13,61.9,16,9,56.3
Minnesota Vikings,88,36,40.9,5,3,60.0,25,16,64.0
Los Angeles Rams,95,34,35.8,13,7,53.8,29,15,51.7
Chicago Bears,108,34,31.5,16,10,62.5,20,13,65.0
Carolina Panthers,105,34,32.4,18,5,27.8,22,14,63.6
Tennessee Titans,101,33,32.7,11,5,45.5,25,13,52.0
Jacksonville Jaguars,98,31,31.6,18,9,50.0,32,18,56.3
