Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,220,110,50.0,15,11,73.3,65,35,53.8
Tampa Bay Buccaneers,200,100,50.0,13,8,61.5,66,44,66.7
Cincinnati Bengals,201,95,47.3,18,10,55.6,57,38,66.7
Philadelphia Eagles,221,95,43.0,25,18,72.0,64,37,57.8
Washington Commanders,204,93,45.6,22,19,86.4,68,42,61.8
Detroit Lions,194,93,47.9,29,20,69.0,69,47,68.1
Pittsburgh Steelers,216,86,39.8,16,7,43.8,54,25,46.3
Baltimore Ravens,177,85,48.0,12,8,66.7,62,46,74.2
Buffalo Bills,187,83,44.4,18,15,83.3,65,46,70.8
Houston Texans,219,82,37.4,16,10,62.5,53,27,50.9
Los Angeles Chargers,207,82,39.6,15,9,60.0,44,25,56.8
Denver Broncos,216,81,37.5,20,13,65.0,51,31,60.8
San Francisco 49ers,184,79,42.9,14,7,50.0,61,34,55.7
Arizona Cardinals,182,79,43.4,16,6,37.5,53,28,52.8
Indianapolis Colts,204,78,38.2,27,17,63.0,49,27,55.1
New York Jets,198,78,39.4,22,9,40.9,50,26,52.0
New York Giants,218,78,35.8,33,18,54.5,43,19,44.2
Dallas Cowboys,211,77,36.5,26,9,34.6,44,22,50.0
Minnesota Vikings,187,77,41.2,10,6,60.0,57,34,59.6
Tennessee Titans,200,76,38.0,20,7,35.0,43,24,55.8
Las Vegas Raiders,215,76,35.3,23,13,56.5,43,21,48.8
Miami Dolphins,200,74,37.0,28,12,42.9,48,28,58.3
New Orleans Saints,203,73,36.0,24,13,54.2,41,24,58.5
Seattle Seahawks,199,73,36.7,19,10,52.6,39,21,53.8
Atlanta Falcons,195,73,37.4,28,19,67.9,48,25,52.1
Green Bay Packers,180,72,40.0,15,8,53.3,66,40,60.6
New England Patriots,203,71,35.0,23,13,56.5,44,21,47.7
Jacksonville Jaguars,190,71,37.4,25,14,56.0,47,27,57.4
Los Angeles Rams,187,69,36.9,21,14,66.7,59,31,52.5
Chicago Bears,217,69,31.8,37,22,59.5,36,22,61.1
Carolina Panthers,199,69,34.7,29,13,44.8,44,26,59.1
Cleveland Browns,225,66,29.3,42,24,57.1,34,17,50.0
