Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,103,1868,392,4.8,11,3,113,126,217,1249,6,8,5.4,66,159,619,7,3.9,32,52,382,15,22.4,14.5,29.52
Los Angeles Rams,117,2199,472,4.7,10,6,139,160,256,1458,8,4,5.2,75,190,741,2,3.9,49,65,523,15,31.9,13.9,22.55
Kansas City Chiefs,131,2222,423,5.3,9,3,131,155,223,1422,8,6,5.9,69,183,800,6,4.4,48,44,391,14,31.9,12.5,9.18
Seattle Seahawks,136,2141,460,4.7,8,0,136,180,276,1611,11,8,5.4,89,161,530,2,3.3,29,53,417,18,32.1,9.9,0.12
Buffalo Bills,146,2185,402,5.4,8,5,133,122,189,1133,7,3,5.4,65,191,1052,10,5.5,56,40,332,12,37.0,11.0,-18.16
New England Patriots,146,2403,443,5.4,11,4,145,177,251,1795,12,7,6.6,92,173,608,3,3.5,36,59,432,17,33.3,13.6,0.26
Green Bay Packers,150,2026,443,4.6,4,2,131,185,274,1474,12,2,5.0,82,148,552,3,3.7,32,46,392,17,42.0,5.8,-12.03
Denver Broncos,151,2251,494,4.6,7,3,145,146,257,1490,8,4,5.1,78,201,761,6,3.8,40,66,475,27,34.8,6.5,13.57
Detroit Lions,151,2100,416,5.0,11,4,132,150,238,1486,14,7,5.7,80,155,614,5,4.0,36,33,209,16,32.5,13.8,-2.00
Atlanta Falcons,154,1929,393,4.9,9,3,122,113,183,1044,11,6,5.2,60,194,885,4,4.6,52,40,358,10,42.6,10.3,-18.10
Indianapolis Colts,154,2761,511,5.4,12,2,172,204,313,2016,14,10,6.0,107,175,745,4,4.3,47,48,428,18,36.0,16.0,-44.46
Arizona Cardinals,154,2350,448,5.2,7,3,150,169,266,1644,8,4,5.9,91,170,706,7,4.2,41,52,484,18,41.1,8.2,-33.31
Jacksonville Jaguars,155,2358,427,5.5,14,4,139,159,257,1720,15,10,6.5,89,162,638,4,3.9,32,44,394,18,32.9,17.7,-10.54
Minnesota Vikings,162,2229,417,5.3,8,5,129,127,186,1316,11,3,6.5,58,213,913,5,4.3,59,52,424,12,36.4,10.4,-4.20
San Francisco 49ers,164,2697,493,5.5,7,6,157,182,270,1834,13,1,6.6,90,214,863,4,4.0,50,52,360,17,37.0,8.6,-48.58
Los Angeles Chargers,173,2375,456,5.2,8,1,139,154,252,1476,8,7,5.4,70,182,899,10,4.9,53,55,452,16,43.0,10.1,-31.18
Pittsburgh Steelers,175,2702,479,5.6,10,5,162,185,274,1913,13,5,6.5,92,183,789,5,4.3,56,39,346,14,45.1,12.7,-53.18
Tampa Bay Buccaneers,178,2571,495,5.2,12,5,150,188,279,1830,11,7,6.0,96,191,741,7,3.9,39,59,475,15,36.0,14.0,6.74
Las Vegas Raiders,180,2300,434,5.3,7,4,135,159,236,1576,11,3,6.3,79,183,724,9,4.0,45,50,366,11,43.5,10.1,-42.32
Cleveland Browns,184,2215,460,4.8,10,4,129,149,224,1461,15,6,5.9,76,212,754,3,3.6,39,68,437,14,36.0,10.1,24.95
Chicago Bears,185,2455,398,6.2,16,5,141,140,194,1452,16,11,7.0,68,190,1003,6,5.3,55,36,254,18,41.3,21.3,-41.40
Philadelphia Eagles,185,2690,501,5.4,7,2,161,159,268,1727,8,5,6.1,75,217,963,10,4.4,65,47,428,21,46.3,8.8,-39.29
Carolina Panthers,192,2480,451,5.5,7,1,133,155,244,1587,11,6,6.2,81,194,893,9,4.6,46,60,453,6,41.8,8.9,-37.35
Washington Commanders,198,2982,504,5.9,5,1,164,163,249,1952,15,4,7.2,97,233,1030,6,4.4,53,65,554,14,43.4,6.0,-61.40
New Orleans Saints,209,2562,491,5.2,10,6,163,153,227,1568,14,4,6.4,87,247,994,7,4.0,60,66,496,16,44.4,12.3,-25.93
Baltimore Ravens,210,2657,465,5.7,4,2,155,173,254,1755,14,2,6.7,92,202,902,10,4.5,53,45,333,10,52.7,5.4,-73.76
New York Giants,215,3059,522,5.9,5,1,182,190,295,1868,13,4,5.9,99,208,1191,10,5.7,61,74,633,22,43.7,5.7,-86.31
Miami Dolphins,215,2755,470,5.9,7,6,163,165,224,1595,11,1,6.7,84,231,1160,10,5.0,59,60,460,20,50.6,7.8,-72.06
New York Jets,221,2683,489,5.5,1,1,157,150,236,1597,15,0,6.5,89,242,1086,8,4.5,54,55,447,14,47.7,1.2,-60.71
Tennessee Titans,230,2867,485,5.9,9,5,159,171,236,1726,12,4,6.8,84,233,1141,14,4.9,59,42,289,16,44.2,8.1,-73.85
Dallas Cowboys,250,3237,521,6.2,7,3,188,183,267,2069,20,4,7.3,96,239,1168,10,4.9,77,70,642,15,49.4,8.0,-106.74
Cincinnati Bengals,253,3263,524,6.2,9,1,185,184,270,2048,19,8,7.3,106,243,1215,10,5.0,68,57,465,11,46.5,10.5,-109.53
