Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Philadelphia Eagles,32,17,53.1,1,1,100.0,7,5,71.4
New Orleans Saints,32,16,50.0,4,4,100.0,7,5,71.4
Chicago Bears,29,15,51.7,4,2,50.0,7,4,57.1
Dallas Cowboys,22,15,68.2,0,0,,7,6,85.7
Kansas City Chiefs,30,14,46.7,5,4,80.0,10,6,60.0
Washington Commanders,29,13,44.8,2,2,100.0,6,4,66.7
Cincinnati Bengals,29,13,44.8,0,0,,6,3,50.0
Buffalo Bills,21,12,57.1,1,0,0.0,8,6,75.0
Tampa Bay Buccaneers,26,12,46.2,1,0,0.0,8,3,37.5
San Francisco 49ers,19,12,63.2,0,0,,8,7,87.5
New York Giants,25,12,48.0,2,1,50.0,6,4,66.7
Houston Texans,33,12,36.4,6,2,33.3,9,4,44.4
Minnesota Vikings,28,11,39.3,1,1,100.0,5,4,80.0
Jacksonville Jaguars,22,10,45.5,0,0,,4,3,75.0
Carolina Panthers,23,10,43.5,3,1,33.3,10,7,70.0
New York Jets,31,10,32.3,3,2,66.7,6,4,66.7
Tennessee Titans,25,10,40.0,1,1,100.0,5,3,60.0
Detroit Lions,24,9,37.5,2,2,100.0,9,7,77.8
Miami Dolphins,25,9,36.0,3,1,33.3,5,1,20.0
New England Patriots,28,9,32.1,2,2,100.0,3,1,33.3
Arizona Cardinals,26,9,34.6,1,1,100.0,6,3,50.0
Las Vegas Raiders,27,9,33.3,3,2,66.7,7,5,71.4
Indianapolis Colts,22,8,36.4,3,2,66.7,6,5,83.3
Seattle Seahawks,24,8,33.3,4,2,50.0,7,3,42.9
Los Angeles Rams,18,7,38.9,3,1,33.3,6,4,66.7
Baltimore Ravens,18,7,38.9,1,0,0.0,6,4,66.7
Los Angeles Chargers,22,7,31.8,3,0,0.0,5,4,80.0
Cleveland Browns,21,6,28.6,3,1,33.3,5,1,20.0
Denver Broncos,23,6,26.1,1,0,0.0,7,3,42.9
Atlanta Falcons,25,6,24.0,2,1,50.0,0,0,
Pittsburgh Steelers,25,5,20.0,3,1,33.3,3,1,33.3
Green Bay Packers,21,4,19.0,3,0,0.0,8,3,37.5
