Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Indianapolis Colts,7,232,2662,419,6.4,4,1,165,153,217,1751,10,3,7.9,90,196,911,16,4.6,59,47,383,16,61.9,6.3,121.34
Dallas Cowboys,7,222,2734,447,6.1,6,2,161,188,264,1879,16,4,6.9,93,175,855,8,4.9,46,58,475,22,52.0,8.0,106.40
Detroit Lions,7,215,2501,424,5.9,5,2,139,153,204,1565,16,3,7.2,84,207,936,10,4.5,48,42,315,7,43.6,6.4,72.72
Seattle Seahawks,7,193,2454,407,6.0,12,7,136,133,196,1711,12,5,8.3,78,202,743,8,3.7,41,46,389,17,41.6,14.3,34.55
Kansas City Chiefs,7,186,2594,454,5.7,2,0,163,164,248,1730,14,2,6.7,91,195,864,8,4.4,62,47,388,10,52.3,3.1,85.26
New England Patriots,7,181,2403,420,5.7,7,5,140,153,204,1679,12,2,7.4,83,194,724,7,3.7,46,58,447,11,41.8,10.4,59.45
Washington Commanders,7,180,2415,414,5.8,8,5,136,124,204,1373,11,3,6.2,64,192,1042,9,5.4,53,53,429,19,40.8,11.3,36.99
Los Angeles Rams,7,175,2521,429,5.9,7,5,154,160,243,1797,17,2,7.1,92,175,724,4,4.1,42,38,314,20,41.3,9.3,60.67
Tampa Bay Buccaneers,7,174,2372,434,5.5,4,2,137,157,245,1675,13,2,6.5,78,175,697,5,4.0,40,46,372,19,41.6,5.2,37.93
Philadelphia Eagles,7,170,2008,401,5.0,3,2,120,136,195,1391,11,1,6.4,63,185,617,8,3.3,47,49,456,10,33.8,4.2,31.30
Buffalo Bills,6,167,2270,378,6.0,6,2,139,123,180,1364,11,4,7.1,73,186,906,9,4.9,50,44,351,16,46.9,9.4,65.09
Denver Broncos,7,163,2429,456,5.3,7,3,141,160,256,1506,11,4,5.7,78,192,923,8,4.8,45,61,575,18,35.0,7.5,30.54
Green Bay Packers,6,158,2060,363,5.7,3,1,125,122,176,1355,10,2,7.3,67,177,705,8,4.0,42,50,379,16,47.5,4.9,66.63
Arizona Cardinals,7,153,2172,441,4.9,8,4,133,162,242,1399,10,4,5.3,80,175,773,5,4.4,38,54,393,15,40.6,10.1,29.75
New York Giants,7,153,2356,463,5.1,9,3,152,137,230,1480,10,6,5.9,67,213,876,9,4.1,61,57,506,24,37.0,12.3,24.75
Chicago Bears,6,152,2079,374,5.6,5,2,116,115,188,1303,9,3,6.5,62,175,776,6,4.4,47,53,454,7,43.3,7.5,18.74
Los Angeles Chargers,7,151,2609,456,5.7,10,4,146,186,275,1831,13,6,6.2,91,160,778,2,4.9,41,52,379,14,44.1,13.2,30.89
Pittsburgh Steelers,6,150,1785,327,5.5,5,0,106,120,174,1218,14,5,6.7,54,144,567,3,3.9,40,36,253,12,42.9,7.9,38.52
Jacksonville Jaguars,7,146,2344,458,5.1,6,1,134,152,259,1506,9,5,5.4,76,179,838,6,4.7,45,65,528,13,32.1,7.7,8.73
San Francisco 49ers,7,145,2566,481,5.3,11,3,155,178,267,1899,10,8,6.8,100,200,667,3,3.3,43,44,358,12,43.1,15.3,27.21
Minnesota Vikings,6,145,1912,353,5.4,11,4,110,122,188,1289,8,7,6.1,64,142,623,5,4.4,36,47,367,10,39.4,15.2,-5.74
Carolina Panthers,7,145,2287,457,5.0,9,4,147,147,237,1306,12,5,5.2,78,208,981,3,4.7,53,42,350,16,38.6,11.4,15.95
Baltimore Ravens,6,144,1855,325,5.7,10,5,103,112,163,1098,10,5,6.0,55,142,757,6,5.3,38,38,274,10,40.3,16.1,4.43
Miami Dolphins,7,140,1953,379,5.2,12,2,112,150,222,1306,11,10,5.5,77,140,647,4,4.6,29,49,389,6,36.9,16.9,4.13
Cincinnati Bengals,7,136,1881,401,4.7,11,3,124,161,252,1399,13,8,5.2,73,131,482,2,3.7,31,38,254,20,33.3,14.7,-11.29
New York Jets,7,129,1899,419,4.5,10,7,123,129,204,1004,7,3,4.3,63,184,895,4,4.9,50,49,393,10,33.3,10.7,-36.91
Houston Texans,6,127,1826,362,5.0,6,2,108,127,197,1189,9,4,5.6,59,150,637,3,4.2,32,44,372,17,38.5,9.2,-4.58
New Orleans Saints,7,125,2085,437,4.8,8,3,136,160,239,1384,8,5,5.4,69,183,701,3,3.8,44,55,392,23,34.2,11.0,-1.29
Cleveland Browns,7,113,1895,460,4.1,8,2,122,157,267,1247,5,6,4.4,63,174,648,6,3.7,43,48,388,16,26.9,10.3,-47.15
Atlanta Falcons,6,110,2186,390,5.6,6,3,124,124,202,1368,5,3,6.5,69,179,818,6,4.6,43,33,230,12,34.9,9.5,17.80
Las Vegas Raiders,7,103,1935,393,4.9,12,2,111,135,204,1279,7,10,5.7,66,170,656,3,3.9,33,45,364,12,28.0,16.0,-33.65
Tennessee Titans,7,96,1649,405,4.1,12,7,107,136,236,1119,4,5,4.2,68,139,530,2,3.8,30,51,380,9,28.6,15.6,-74.30
