Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,143,68,47.6,11,8,72.7,35,18,51.4
San Francisco 49ers,129,60,46.5,15,8,53.3,35,21,60.0
Arizona Cardinals,125,56,44.8,13,6,46.2,37,21,56.8
Green Bay Packers,113,54,47.8,14,9,64.3,36,23,63.9
New York Giants,134,53,39.6,21,10,47.6,34,16,47.1
New England Patriots,119,50,42.0,15,12,80.0,35,20,57.1
New Orleans Saints,129,50,38.8,20,7,35.0,26,10,38.5
Denver Broncos,133,50,37.6,8,4,50.0,31,20,64.5
Chicago Bears,116,48,41.4,14,6,42.9,33,18,54.5
Buffalo Bills,107,47,43.9,8,4,50.0,32,21,65.6
Kansas City Chiefs,113,47,41.6,20,16,80.0,37,26,70.3
Indianapolis Colts,112,47,42.0,21,17,81.0,44,30,68.2
Dallas Cowboys,107,46,43.0,12,7,58.3,34,21,61.8
Houston Texans,123,45,36.6,15,10,66.7,27,12,44.4
Miami Dolphins,118,45,38.1,16,9,56.3,27,16,59.3
Carolina Panthers,121,45,37.2,22,15,68.2,29,17,58.6
Jacksonville Jaguars,121,44,36.4,18,11,61.1,31,16,51.6
Cleveland Browns,131,44,33.6,20,11,55.0,23,13,56.5
Cincinnati Bengals,109,44,40.4,6,5,83.3,26,17,65.4
Las Vegas Raiders,112,44,39.3,13,5,38.5,23,11,47.8
Baltimore Ravens,107,43,40.2,14,6,42.9,32,16,50.0
Tampa Bay Buccaneers,115,42,36.5,13,6,46.2,25,13,52.0
Washington Commanders,111,42,37.8,16,9,56.3,25,20,80.0
Detroit Lions,112,42,37.5,18,13,72.2,38,26,68.4
Los Angeles Rams,100,41,41.0,15,11,73.3,41,26,63.4
New York Jets,117,40,34.2,19,10,52.6,21,11,52.4
Seattle Seahawks,102,40,39.2,6,4,66.7,31,21,67.7
Philadelphia Eagles,109,38,34.9,16,11,68.8,21,17,81.0
Pittsburgh Steelers,100,36,36.0,7,3,42.9,26,17,65.4
Atlanta Falcons,107,36,33.6,18,8,44.4,26,15,57.7
Minnesota Vikings,110,35,31.8,13,7,53.8,30,17,56.7
Tennessee Titans,116,33,28.4,14,5,35.7,16,7,43.8
