Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,41,12,29.3,5,3,60.0,17,11,64.7
Atlanta Falcons,44,15,34.1,7,6,85.7,6,4,66.7
Carolina Panthers,43,16,37.2,7,4,57.1,13,8,61.5
Tampa Bay Buccaneers,49,16,32.7,9,4,44.4,10,6,60.0
San Francisco 49ers,50,16,32.0,5,4,80.0,11,6,54.5
Minnesota Vikings,48,16,33.3,2,0,0.0,13,6,46.2
Kansas City Chiefs,47,16,34.0,10,4,40.0,11,6,54.5
Los Angeles Rams,50,17,34.0,8,7,87.5,10,6,60.0
Philadelphia Eagles,46,17,37.0,8,3,37.5,11,4,36.4
New York Jets,49,17,34.7,3,3,100.0,16,9,56.3
Washington Commanders,54,18,33.3,7,4,57.1,15,9,60.0
New England Patriots,46,18,39.1,6,2,33.3,8,7,87.5
Green Bay Packers,55,18,32.7,10,6,60.0,12,7,58.3
Indianapolis Colts,45,18,40.0,6,3,50.0,9,8,88.9
Denver Broncos,55,18,32.7,3,0,0.0,12,3,25.0
Arizona Cardinals,52,18,34.6,9,5,55.6,15,7,46.7
Houston Texans,53,19,35.8,4,2,50.0,9,6,66.7
Tennessee Titans,50,19,38.0,8,6,75.0,15,8,53.3
Detroit Lions,48,20,41.7,5,2,40.0,13,8,61.5
New Orleans Saints,47,20,42.6,1,0,0.0,13,10,76.9
Las Vegas Raiders,51,20,39.2,4,3,75.0,13,5,38.5
Buffalo Bills,50,21,42.0,6,4,66.7,11,7,63.6
New York Giants,52,22,42.3,1,1,100.0,11,8,72.7
Pittsburgh Steelers,55,23,41.8,12,8,66.7,15,9,60.0
Los Angeles Chargers,60,23,38.3,8,5,62.5,13,4,30.8
Seattle Seahawks,59,23,39.0,7,4,57.1,13,6,46.2
Miami Dolphins,47,24,51.1,6,5,83.3,16,9,56.3
Baltimore Ravens,62,26,41.9,11,9,81.8,20,15,75.0
Cleveland Browns,58,26,44.8,2,1,50.0,12,9,75.0
Jacksonville Jaguars,57,26,45.6,5,2,40.0,9,4,44.4
Cincinnati Bengals,55,27,49.1,6,3,50.0,18,12,66.7
Dallas Cowboys,55,32,58.2,4,3,75.0,17,11,64.7
