Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
San Francisco 49ers,7,290,57,5.1,2,1,15,17,28,168,0,1,6.0,6,29,122,1,4.2,7,4,43,2,10.0,20.0,5.28
Seattle Seahawks,10,277,67,4.1,3,0,19,23,33,168,1,3,4.7,9,31,109,0,3.5,7,7,50,3,22.2,33.3,4.42
New York Jets,10,195,49,4.0,1,1,11,19,32,127,1,0,3.6,6,14,68,0,4.9,4,4,25,1,22.2,0.0,5.04
Jacksonville Jaguars,10,272,49,5.6,2,1,14,16,22,185,1,1,6.9,9,22,87,0,4.0,5,11,75,,22.2,22.2,8.67
Kansas City Chiefs,10,176,47,3.7,2,1,9,17,28,115,1,1,3.6,6,15,61,0,4.1,2,7,52,1,16.7,16.7,19.76
Las Vegas Raiders,13,259,50,5.2,2,1,13,15,27,185,0,1,5.8,7,18,74,1,4.1,4,8,61,2,27.3,18.2,7.85
Pittsburgh Steelers,13,238,57,4.2,2,0,16,12,22,118,1,2,4.5,4,31,120,0,3.9,9,9,96,3,23.1,15.4,18.66
New England Patriots,13,285,48,5.9,,0,13,17,24,188,1,0,7.2,9,22,97,0,4.4,4,10,98,,30.0,0.0,0.47
Arizona Cardinals,14,268,51,5.3,2,1,17,17,27,187,1,1,6.2,9,21,81,1,3.9,6,7,64,2,20.0,20.0,3.27
Atlanta Falcons,20,264,64,4.1,1,1,15,24,41,206,1,0,4.8,10,21,58,0,2.8,3,7,52,2,23.1,7.7,12.07
New York Giants,20,244,52,4.7,1,0,21,22,34,175,2,1,5.1,12,18,69,1,3.8,4,9,90,5,42.9,14.3,-16.87
Philadelphia Eagles,22,295,67,4.4,,0,20,18,34,163,2,0,4.7,10,32,132,1,4.1,9,6,45,1,33.3,0.0,-1.62
Minnesota Vikings,22,419,67,6.3,2,1,19,21,42,353,2,1,7.7,16,21,66,0,3.1,3,12,98,,41.7,16.7,5.14
Baltimore Ravens,23,251,53,4.7,2,1,17,19,31,149,1,1,4.5,8,20,102,2,5.1,8,4,29,1,33.3,16.7,6.54
Tennessee Titans,23,367,63,5.8,,0,19,19,24,215,0,0,9.0,7,39,152,2,3.9,11,8,48,1,45.5,0.0,-5.69
Washington Commanders,24,318,53,6.0,,0,10,14,25,182,3,0,6.5,6,25,136,0,5.4,4,5,40,,33.3,0.0,-3.42
Los Angeles Chargers,26,393,72,5.5,,0,23,27,37,277,1,0,7.3,15,34,116,1,3.4,7,8,111,1,55.6,0.0,-7.10
Miami Dolphins,27,290,67,4.3,2,0,21,21,30,160,3,2,5.3,10,37,130,0,3.5,9,6,29,2,45.5,18.2,-2.68
Los Angeles Rams,27,379,64,5.9,1,0,23,25,34,205,3,1,6.0,12,30,174,0,5.8,10,2,21,1,55.6,11.1,-15.01
Cincinnati Bengals,27,282,52,5.4,4,4,19,23,28,193,0,0,6.0,12,20,89,2,4.5,5,8,39,2,44.4,44.4,4.77
Dallas Cowboys,28,394,68,5.8,1,1,29,23,29,229,3,0,7.4,14,37,165,1,4.5,11,10,114,4,57.1,14.3,-25.13
Detroit Lions,30,469,86,5.5,3,1,29,35,56,378,3,2,6.2,19,25,91,1,3.6,7,6,53,3,35.7,21.4,-7.05
New Orleans Saints,31,369,73,5.1,1,1,26,26,39,204,2,0,5.1,10,33,165,2,5.0,14,8,61,2,35.7,7.1,-5.23
Denver Broncos,31,392,67,5.9,1,0,19,15,27,172,2,1,5.9,7,38,220,2,5.8,11,7,60,1,41.7,8.3,-7.59
Buffalo Bills,31,381,73,5.2,2,2,26,26,38,257,2,0,6.3,11,32,124,2,3.9,10,7,106,5,45.5,18.2,-10.75
Tampa Bay Buccaneers,33,351,63,5.6,1,0,26,25,35,245,1,1,6.8,14,27,106,1,3.9,10,7,47,2,66.7,11.1,-6.74
Cleveland Browns,34,360,56,6.4,,0,23,18,23,234,4,0,9.8,13,32,126,0,3.9,8,4,25,2,66.7,0.0,-17.94
Houston Texans,36,409,52,7.9,,0,20,20,29,323,2,0,10.4,13,21,86,2,4.1,5,10,85,2,58.3,0.0,-15.78
Chicago Bears,37,478,62,7.7,3,2,24,23,38,353,3,1,8.8,17,22,125,2,5.7,5,11,84,2,46.2,15.4,-14.56
Green Bay Packers,39,239,61,3.9,1,0,19,15,24,132,3,1,4.9,8,34,107,2,3.1,6,3,15,5,46.2,7.7,-8.00
Indianapolis Colts,41,506,64,7.9,1,1,23,17,25,304,1,0,11.3,11,37,202,4,5.5,12,10,86,,53.8,7.7,-15.09
Carolina Panthers,59,552,70,7.9,1,1,26,21,29,261,2,0,8.4,13,39,291,6,7.5,11,12,57,2,64.3,7.1,-31.04
