Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Tampa Bay Buccaneers,13,9,69.2,0,0,,5,3,60.0
Pittsburgh Steelers,17,8,47.1,1,0,0.0,2,0,0.0
Miami Dolphins,16,8,50.0,2,0,0.0,2,1,50.0
Baltimore Ravens,14,7,50.0,2,1,50.0,4,1,25.0
New York Giants,18,7,38.9,3,1,33.3,3,0,0.0
New Orleans Saints,13,7,53.8,0,0,,4,4,100.0
Houston Texans,14,7,50.0,2,2,100.0,3,3,100.0
Arizona Cardinals,13,7,53.8,1,0,0.0,4,2,50.0
Detroit Lions,13,6,46.2,1,1,100.0,4,2,50.0
New England Patriots,15,6,40.0,0,0,,4,1,25.0
New York Jets,10,6,60.0,1,0,0.0,2,2,100.0
San Francisco 49ers,13,6,46.2,0,0,,5,2,40.0
Denver Broncos,18,5,27.8,1,1,100.0,4,1,25.0
Indianapolis Colts,10,5,50.0,2,1,50.0,3,2,66.7
Los Angeles Rams,12,5,41.7,2,1,50.0,5,2,40.0
Las Vegas Raiders,14,5,35.7,1,0,0.0,1,0,0.0
Dallas Cowboys,14,4,28.6,0,0,,1,1,100.0
Kansas City Chiefs,9,4,44.4,0,0,,3,1,33.3
Los Angeles Chargers,15,4,26.7,0,0,,4,2,50.0
Cincinnati Bengals,11,4,36.4,1,0,0.0,2,1,50.0
Seattle Seahawks,12,4,33.3,0,0,,1,0,0.0
Philadelphia Eagles,14,4,28.6,1,1,100.0,6,3,50.0
Buffalo Bills,9,3,33.3,2,2,100.0,6,4,66.7
Tennessee Titans,14,3,21.4,2,1,50.0,2,1,50.0
Minnesota Vikings,10,3,30.0,1,1,100.0,2,2,100.0
Green Bay Packers,11,3,27.3,1,1,100.0,5,1,20.0
Jacksonville Jaguars,10,2,20.0,1,0,0.0,3,2,66.7
Cleveland Browns,15,2,13.3,5,3,60.0,2,2,100.0
Chicago Bears,13,2,15.4,2,2,100.0,1,0,0.0
Atlanta Falcons,9,2,22.2,1,1,100.0,2,1,50.0
Washington Commanders,8,2,25.0,1,1,100.0,3,3,100.0
Carolina Panthers,10,1,10.0,3,1,33.3,2,1,50.0
