Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,163,2581,565,4.6,16,6,161,181,314,1710,10,10,5.0,92,226,871,8,3.9,46,74,575,23,25.7,13.8,51.21
Los Angeles Rams,172,3230,651,5.0,18,8,199,237,364,2223,12,10,5.7,114,260,1007,4,3.9,67,83,648,18,33.3,17.6,28.21
Kansas City Chiefs,181,2968,548,5.4,9,3,170,202,287,1968,9,6,6.4,93,239,1000,10,4.2,62,58,578,15,35.9,9.8,-12.29
Denver Broncos,192,3018,686,4.4,9,3,189,214,369,2044,9,6,4.9,108,268,974,8,3.6,49,91,656,32,32.6,6.2,38.30
Seattle Seahawks,193,3015,645,4.7,13,4,188,233,371,2080,15,9,5.2,116,242,935,6,3.9,50,72,584,22,30.1,10.6,16.05
Green Bay Packers,196,2921,626,4.7,8,4,185,230,349,1953,13,4,5.2,106,253,968,8,3.8,57,64,569,22,38.9,8.4,-24.60
Philadelphia Eagles,201,3268,627,5.2,10,4,192,193,341,2127,9,6,5.9,95,265,1141,11,4.3,75,56,496,22,38.8,9.7,-13.68
Indianapolis Colts,206,3276,632,5.2,14,4,211,241,376,2353,16,10,5.8,127,227,923,8,4.1,62,59,509,22,35.6,13.9,-43.75
New England Patriots,206,3307,620,5.3,12,5,201,242,358,2375,19,7,6.2,124,238,932,4,3.9,58,77,575,19,33.3,10.8,-6.15
Detroit Lions,216,2918,595,4.9,12,4,182,194,313,1921,18,8,5.6,103,251,997,8,4.0,55,57,404,24,34.2,10.5,-1.61
Jacksonville Jaguars,226,3236,601,5.4,18,5,200,228,367,2369,21,13,6.2,127,219,867,6,4.0,48,67,600,25,35.5,15.9,-16.77
Buffalo Bills,229,3227,580,5.6,13,6,189,168,272,1697,10,7,5.7,90,282,1530,17,5.4,83,50,422,16,39.3,12.1,-43.57
Minnesota Vikings,232,3175,618,5.1,9,6,186,185,284,1905,14,3,6.1,84,308,1270,8,4.1,86,73,602,16,38.1,8.0,-9.66
Pittsburgh Steelers,232,3681,685,5.4,18,9,223,259,397,2617,16,9,6.1,125,255,1064,7,4.2,79,60,521,19,41.9,15.2,-35.29
Cleveland Browns,234,2735,567,4.8,14,5,158,169,260,1670,16,9,5.7,86,275,1065,5,3.9,55,79,524,17,36.0,10.8,37.23
Los Angeles Chargers,238,3147,619,5.1,12,2,190,196,326,1895,10,10,5.3,94,264,1252,14,4.7,76,67,546,20,39.1,10.0,-23.05
Atlanta Falcons,239,3265,610,5.4,13,5,192,182,283,1880,17,8,5.9,104,293,1385,8,4.7,78,57,478,10,43.7,10.7,-43.21
Carolina Panthers,249,3585,639,5.6,11,4,193,219,339,2341,13,7,6.6,114,284,1244,13,4.4,69,79,599,10,41.5,8.5,-62.09
New Orleans Saints,250,3175,618,5.1,12,7,206,194,284,1937,18,5,6.4,107,313,1238,9,4.0,78,70,533,21,41.6,11.9,-43.03
Tampa Bay Buccaneers,250,3420,607,5.6,16,6,185,223,340,2416,16,10,6.6,118,241,1004,12,4.2,48,71,569,19,38.5,13.8,-24.71
Baltimore Ravens,251,3541,642,5.5,11,5,200,229,362,2326,15,6,6.2,117,265,1215,11,4.6,68,68,521,15,44.4,9.3,-39.54
San Francisco 49ers,252,3882,687,5.7,10,7,231,277,396,2740,21,3,6.7,135,279,1142,8,4.1,74,74,513,22,39.3,8.9,-88.31
Las Vegas Raiders,253,3268,633,5.2,11,5,195,223,331,2195,16,6,6.3,109,283,1073,12,3.8,72,76,574,14,42.6,10.9,-48.24
Arizona Cardinals,256,3336,624,5.3,13,7,218,222,343,2214,13,6,6.1,124,262,1122,11,4.3,71,62,574,23,43.8,11.4,-44.03
Chicago Bears,264,3646,587,6.2,22,7,203,209,309,2313,21,15,7.0,111,257,1333,9,5.2,70,55,387,22,40.0,20.0,-58.29
New York Jets,268,3297,621,5.3,1,1,203,192,302,1988,18,0,6.2,113,301,1309,10,4.3,68,67,545,22,46.3,0.9,-72.11
Miami Dolphins,269,3848,655,5.9,12,9,223,231,317,2279,18,3,6.7,117,317,1569,10,4.9,79,77,614,27,44.9,9.3,-84.76
Tennessee Titans,273,3525,618,5.7,10,5,200,216,306,2178,15,5,6.6,109,286,1347,15,4.7,72,50,362,19,43.5,7.4,-77.91
Dallas Cowboys,293,3813,644,5.9,8,3,228,231,340,2499,23,5,6.9,122,280,1314,11,4.7,89,78,692,17,48.1,7.4,-107.95
Washington Commanders,296,4257,674,6.3,6,1,234,223,328,2744,22,5,7.8,137,321,1513,10,4.7,80,77,638,17,48.6,5.4,-123.43
New York Giants,300,4126,702,5.9,6,2,249,244,381,2477,19,4,6.1,134,298,1649,15,5.5,86,88,740,29,44.1,5.1,-128.78
Cincinnati Bengals,334,4182,660,6.3,9,1,237,227,338,2573,25,8,7.3,136,308,1609,12,5.2,85,72,584,16,49.5,8.6,-156.03
