Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,197,100,50.8,12,9,75.0,55,28,50.9
Philadelphia Eagles,192,86,44.8,21,14,66.7,55,32,58.2
Tampa Bay Buccaneers,174,84,48.3,12,8,66.7,55,36,65.5
Cincinnati Bengals,177,84,47.5,15,9,60.0,47,32,68.1
Washington Commanders,178,80,44.9,16,14,87.5,58,35,60.3
Baltimore Ravens,158,77,48.7,12,8,66.7,54,40,74.1
Detroit Lions,168,77,45.8,25,18,72.0,60,42,70.0
Pittsburgh Steelers,190,74,38.9,14,7,50.0,48,22,45.8
Denver Broncos,191,72,37.7,17,10,58.8,46,27,58.7
Buffalo Bills,162,71,43.8,16,14,87.5,61,42,68.9
Houston Texans,191,71,37.2,14,10,71.4,48,26,54.2
San Francisco 49ers,163,69,42.3,12,6,50.0,51,27,52.9
New York Jets,176,69,39.2,16,7,43.8,45,24,53.3
Miami Dolphins,177,68,38.4,27,12,44.4,43,25,58.1
Minnesota Vikings,163,68,41.7,9,5,55.6,51,30,58.8
New Orleans Saints,182,68,37.4,21,12,57.1,40,24,60.0
New York Giants,196,68,34.7,31,18,58.1,38,16,42.1
Arizona Cardinals,156,67,42.9,13,5,38.5,45,24,53.3
Dallas Cowboys,182,66,36.3,26,9,34.6,40,19,47.5
Seattle Seahawks,176,66,37.5,18,9,50.0,36,19,52.8
Los Angeles Chargers,178,66,37.1,12,7,58.3,36,20,55.6
Tennessee Titans,175,64,36.6,18,6,33.3,38,20,52.6
Indianapolis Colts,176,63,35.8,24,15,62.5,41,22,53.7
Atlanta Falcons,171,63,36.8,26,17,65.4,41,20,48.8
Las Vegas Raiders,183,62,33.9,23,13,56.5,36,17,47.2
Chicago Bears,192,62,32.3,31,18,58.1,32,21,65.6
New England Patriots,181,62,34.3,18,11,61.1,41,19,46.3
Carolina Panthers,176,61,34.7,26,11,42.3,39,22,56.4
Los Angeles Rams,162,58,35.8,21,14,66.7,52,28,53.8
Green Bay Packers,153,58,37.9,11,5,45.5,58,33,56.9
Jacksonville Jaguars,162,57,35.2,23,13,56.5,44,24,54.5
Cleveland Browns,196,56,28.6,35,23,65.7,28,16,57.1
