Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Los Angeles Rams,17,518,6709,1086,6.2,15,7,396,388,598,4557,46,8,7.3,236,465,2152,17,4.6,126,75,573,34,47.0,8.3,219.88
New England Patriots,17,490,6449,1044,6.2,16,8,360,361,502,4258,31,8,7.7,206,494,2191,22,4.4,128,99,854,26,46.0,9.2,195.86
Seattle Seahawks,17,483,5973,1015,5.9,28,13,340,325,481,3877,25,15,7.6,179,507,2096,19,4.1,125,100,793,36,45.9,14.2,80.50
Buffalo Bills,17,481,6397,1082,5.9,19,9,374,344,495,3683,29,10,6.9,196,547,2714,30,5.0,146,101,848,32,44.8,10.3,186.79
Detroit Lions,17,481,6344,1063,6.0,15,7,346,394,582,4303,35,8,6.9,224,442,2041,21,4.6,105,104,718,17,44.4,8.0,162.06
Jacksonville Jaguars,17,474,5735,1093,5.2,18,6,356,344,563,3779,29,12,6.3,196,489,1956,22,4.0,124,128,1080,36,42.9,9.5,74.21
Dallas Cowboys,17,471,6663,1120,5.9,21,9,393,419,624,4527,31,12,6.9,229,465,2136,18,4.6,120,133,1136,44,48.0,11.9,180.41
Indianapolis Colts,17,466,5880,1018,5.8,23,9,352,360,547,3873,25,14,6.7,199,442,2007,27,4.5,122,104,870,31,49.4,12.4,135.41
Chicago Bears,17,441,6282,1103,5.7,11,4,358,334,574,3826,28,7,6.4,190,505,2456,19,4.9,142,120,970,26,43.7,6.0,117.89
San Francisco 49ers,17,437,5974,1082,5.5,22,6,379,398,574,4157,33,16,6.9,237,481,1817,15,3.8,119,83,651,23,47.6,12.9,131.06
Baltimore Ravens,17,424,5647,974,5.8,23,12,314,278,422,2985,23,11,6.4,141,507,2662,23,5.3,146,99,746,27,42.7,12.4,82.25
Cincinnati Bengals,17,414,5596,1057,5.3,24,7,352,412,640,4005,36,17,5.9,213,381,1591,11,4.2,102,88,633,37,40.2,13.4,43.30
Houston Texans,17,404,5559,1088,5.1,12,3,323,364,582,3707,24,9,6.0,184,475,1852,9,3.9,99,118,989,40,42.9,5.8,42.13
Denver Broncos,17,401,5825,1092,5.3,17,6,334,388,613,3807,25,11,6.0,196,456,2018,18,4.4,111,124,1149,27,37.8,8.0,85.81
Pittsburgh Steelers,17,397,5196,988,5.3,15,6,301,365,550,3440,26,9,5.9,160,407,1756,16,4.3,109,101,803,32,39.0,7.9,63.15
Green Bay Packers,17,391,5654,1010,5.6,13,6,334,328,489,3617,26,7,7.0,180,492,2037,18,4.1,124,105,818,30,43.4,7.8,151.08
New York Giants,17,381,5669,1085,5.2,17,7,347,323,526,3474,21,10,6.1,160,511,2195,22,4.3,141,128,1075,46,38.8,9.4,75.75
Tampa Bay Buccaneers,17,380,5447,1068,5.1,16,5,332,351,558,3500,26,11,5.9,174,472,1947,13,4.1,115,95,737,43,39.4,8.9,44.21
Philadelphia Eagles,17,379,5291,1010,5.2,15,8,306,318,497,3303,26,7,6.2,166,478,1988,17,4.2,114,117,1073,26,35.0,6.8,60.81
Los Angeles Chargers,17,368,5675,1095,5.2,21,7,331,367,569,3608,26,14,5.7,185,466,2067,10,4.4,117,104,787,29,42.3,10.9,31.86
Kansas City Chiefs,17,362,5451,1061,5.1,15,3,337,363,584,3639,23,12,5.8,189,430,1812,15,4.2,122,119,951,26,42.0,8.9,86.16
Washington Commanders,17,356,5419,990,5.5,23,11,323,287,469,3129,19,12,6.2,159,484,2290,20,4.7,123,117,913,41,37.0,12.7,54.87
Arizona Cardinals,17,355,5538,1074,5.2,21,10,332,427,649,3955,29,11,5.6,216,366,1583,9,4.3,91,115,842,25,36.8,11.1,36.49
Atlanta Falcons,17,353,5661,1048,5.4,18,10,330,332,545,3523,19,8,6.2,185,477,2138,17,4.5,113,108,819,32,37.2,8.7,32.51
Miami Dolphins,17,347,5112,949,5.4,24,6,291,322,479,3068,23,18,5.9,174,432,2044,14,4.7,104,101,811,13,36.6,13.1,17.51
Minnesota Vikings,17,344,4675,954,4.9,30,9,293,298,484,2834,18,21,5.2,157,410,1841,15,4.5,102,111,886,34,36.5,14.9,-40.41
Carolina Panthers,17,311,5025,1011,5.0,23,11,306,329,515,3048,24,12,5.5,170,461,1977,9,4.3,109,95,762,27,34.5,13.3,4.49
New Orleans Saints,17,306,5331,1075,5.0,24,12,319,397,591,3728,19,12,5.8,183,435,1603,9,3.7,101,118,920,35,33.0,13.1,-19.68
New York Jets,17,300,4481,1010,4.4,23,10,272,298,494,2385,15,13,4.3,136,456,2096,11,4.6,115,110,909,21,29.8,11.6,-104.52
Tennessee Titans,17,284,4413,1004,4.4,19,11,261,340,570,2824,15,8,4.5,156,378,1589,9,4.2,85,130,1011,20,29.3,9.9,-113.92
Cleveland Browns,17,279,4456,1030,4.3,25,7,268,323,558,2807,16,18,4.6,134,421,1649,10,3.9,100,108,840,34,25.6,12.3,-149.86
Las Vegas Raiders,17,241,4168,948,4.4,23,4,256,340,515,2851,20,19,4.9,161,369,1317,5,3.6,67,108,901,28,26.0,12.2,-119.29
