Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
New Orleans Saints,4,127,1396,243,5.7,5,2,83,72,101,806,6,3,7.7,33,138,590,9,4.3,45,24,220,5,61.3,6.5,43.13
Buffalo Bills,4,122,1223,220,5.6,2,2,73,72,104,782,7,0,7.2,37,111,441,7,4.0,29,20,155,7,60.0,3.3,43.57
Washington Commanders,4,121,1529,249,6.1,1,0,95,87,106,852,3,1,7.4,45,134,677,10,5.1,42,25,197,8,64.0,0.0,80.70
Minnesota Vikings,4,116,1363,229,6.0,7,4,75,73,106,868,11,3,7.4,40,112,495,2,4.4,28,26,201,7,43.8,12.5,24.69
Baltimore Ravens,4,106,1718,251,6.8,3,2,92,73,109,837,5,1,7.4,42,138,881,7,6.4,45,39,357,5,40.6,6.3,56.21
Green Bay Packers,4,104,1640,258,6.4,6,2,78,74,122,942,8,4,7.4,40,130,698,2,5.4,32,34,264,6,48.4,6.5,14.26
San Francisco 49ers,4,103,1653,262,6.3,5,3,92,84,122,1086,5,2,8.2,54,129,567,4,4.4,29,21,224,9,51.7,10.3,42.68
Cincinnati Bengals,4,102,1353,231,5.9,4,3,85,95,134,944,7,1,6.6,50,89,409,4,4.6,28,20,144,7,56.0,8.0,37.17
Dallas Cowboys,4,97,1323,247,5.4,3,1,75,97,152,1022,6,2,6.3,48,85,301,2,3.5,19,32,244,8,45.5,6.8,3.64
Tampa Bay Buccaneers,4,97,1276,238,5.4,3,1,82,91,129,892,8,2,6.2,53,94,384,3,4.1,20,19,120,9,40.0,10.0,29.86
Arizona Cardinals,4,96,1332,233,5.7,4,3,76,75,108,719,6,1,6.1,34,115,613,3,5.3,35,18,195,7,48.3,10.3,27.22
Kansas City Chiefs,4,92,1313,239,5.5,7,2,78,83,121,863,6,5,6.7,43,111,450,3,4.1,28,21,190,7,48.3,17.2,13.79
Philadelphia Eagles,4,86,1462,265,5.5,8,4,83,90,132,847,4,4,5.8,43,120,615,6,5.1,35,28,196,5,40.0,20.0,17.39
Indianapolis Colts,4,85,1305,214,6.1,6,0,70,55,103,778,5,6,7.1,31,105,527,6,5.0,33,20,156,6,29.0,19.4,15.64
Houston Texans,4,79,1458,268,5.4,4,2,84,102,152,1031,6,2,6.2,60,102,427,2,4.2,19,40,326,5,35.3,8.8,11.34
Las Vegas Raiders,4,78,1155,233,5.0,6,3,69,96,135,850,4,3,5.7,48,84,305,4,3.6,13,17,133,8,29.7,13.5,-18.08
Chicago Bears,4,77,1012,257,3.9,6,2,69,87,141,663,3,4,4.2,37,100,349,3,3.5,20,30,224,12,26.5,14.7,-27.48
New York Jets,4,76,1179,245,4.8,3,2,73,88,136,813,6,1,5.6,46,99,366,3,3.7,22,31,276,5,37.9,6.9,4.63
Los Angeles Rams,4,75,1250,239,5.2,4,2,80,89,131,897,2,2,6.2,43,95,353,5,3.7,28,22,179,9,37.9,6.9,14.35
Atlanta Falcons,4,75,1237,215,5.8,5,1,70,77,119,826,4,4,6.6,39,90,411,1,4.6,23,23,194,8,34.5,13.8,-3.37
Pittsburgh Steelers,4,75,1271,257,4.9,3,2,75,77,109,757,3,1,6.4,33,138,514,3,3.7,30,28,206,12,41.9,3.2,5.83
Carolina Panthers,4,73,1164,241,4.8,5,1,66,82,135,730,5,4,5.1,37,98,434,3,4.4,24,28,258,5,27.8,11.1,-17.97
Seattle Seahawks,3,73,1032,186,5.5,4,1,58,77,103,740,3,3,6.7,35,75,292,5,3.9,17,23,183,6,37.8,8.1,5.27
Los Angeles Chargers,4,68,1055,217,4.9,2,1,54,61,93,544,5,1,5.3,30,115,511,2,4.4,21,26,185,3,34.3,5.7,-15.63
Cleveland Browns,4,66,985,255,3.9,5,2,64,91,148,606,4,3,3.6,31,88,379,2,4.3,25,34,250,8,24.3,10.8,-43.79
Detroit Lions,3,62,1199,212,5.7,4,0,70,71,107,710,3,4,6.4,34,101,489,4,4.8,31,19,206,5,36.4,12.1,18.22
Denver Broncos,4,62,1064,245,4.3,7,3,56,83,138,639,1,4,4.5,25,103,425,3,4.1,30,27,309,1,33.3,16.7,-38.59
New York Giants,4,60,1187,253,4.7,6,3,69,91,145,846,4,3,5.5,44,99,341,2,3.4,21,27,218,4,32.5,12.5,-17.91
Jacksonville Jaguars,4,60,1142,231,4.9,3,2,71,70,130,637,4,1,4.5,38,88,505,2,5.7,26,27,213,7,25.8,9.7,-11.87
New England Patriots,4,52,955,240,4.0,4,3,59,65,109,449,2,1,3.6,29,114,506,2,4.4,24,16,172,6,30.0,3.3,-29.14
Tennessee Titans,3,48,781,174,4.5,8,3,54,64,94,478,4,5,4.4,27,65,303,2,4.7,21,15,110,6,22.9,22.9,-23.39
Miami Dolphins,3,33,956,196,4.9,3,0,51,68,108,671,2,3,5.6,31,77,285,1,3.7,15,27,238,5,21.2,9.1,-28.67
