Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Baltimore Ravens,2,81,674,103,6.5,1,1,33,33,48,391,6,0,7.4,18,50,283,3,5.7,12,13,79,3,56.5,4.3,21.80
Buffalo Bills,2,71,900,149,6.0,,0,54,48,73,568,2,0,7.6,27,74,332,6,4.5,21,11,107,6,60.9,0.0,36.10
Detroit Lions,2,65,757,123,6.2,1,0,41,54,67,534,6,1,7.5,28,52,223,2,4.3,12,10,68,1,52.4,4.8,31.43
Indianapolis Colts,2,62,891,137,6.5,,0,53,45,63,568,2,0,8.7,30,72,323,3,4.5,17,15,113,6,82.4,0.0,35.02
Dallas Cowboys,2,60,785,139,5.6,2,1,54,59,86,531,2,1,6.0,27,50,254,4,5.1,15,16,148,12,54.5,9.1,34.61
Green Bay Packers,2,54,670,110,6.1,,0,36,35,53,457,4,0,8.3,22,55,213,2,3.9,10,14,117,4,47.6,0.0,20.45
Jacksonville Jaguars,2,53,778,133,5.8,3,0,40,43,73,439,4,3,5.9,24,59,339,1,5.7,15,17,148,1,50.0,13.6,14.67
Pittsburgh Steelers,2,51,538,113,4.8,2,0,32,42,65,413,5,2,5.7,20,41,125,0,3.0,8,6,41,4,43.5,8.7,3.36
Cincinnati Bengals,2,48,491,114,4.3,3,0,35,42,68,397,4,3,5.4,24,40,94,2,2.4,8,10,62,3,38.1,14.3,3.72
Denver Broncos,2,48,641,125,5.1,5,2,43,47,70,372,4,3,5.2,20,54,269,2,5.0,12,14,128,11,34.8,17.4,7.41
Arizona Cardinals,2,47,569,109,5.2,1,0,35,38,54,341,3,1,5.7,21,49,228,1,4.7,10,21,150,4,47.1,5.9,12.65
Los Angeles Rams,2,47,735,116,6.3,2,1,40,44,62,514,3,1,7.8,25,50,221,3,4.4,11,11,89,4,40.0,10.0,18.92
Los Angeles Chargers,2,47,711,117,6.1,1,1,37,44,61,540,5,0,8.2,24,51,171,0,3.4,12,12,82,1,47.4,5.3,12.85
New England Patriots,2,46,669,123,5.4,1,0,36,49,69,487,3,1,6.4,24,47,182,1,3.9,10,20,145,2,40.0,5.0,13.89
Chicago Bears,2,45,656,127,5.2,3,2,39,42,68,403,3,1,5.4,21,53,253,2,4.8,14,20,177,4,25.0,12.5,-3.55
Philadelphia Eagles,2,44,518,120,4.3,,0,36,34,45,238,0,0,5.0,10,72,280,5,3.9,23,15,158,3,44.4,0.0,13.25
Seattle Seahawks,2,44,625,114,5.5,4,2,35,38,56,424,2,2,7.2,19,55,201,2,3.7,14,6,40,2,33.3,19.0,0.52
San Francisco 49ers,2,43,728,140,5.2,3,1,47,52,74,532,5,2,6.8,30,62,196,0,3.2,12,14,101,5,36.4,13.6,16.90
New York Giants,2,43,737,127,5.8,1,0,39,47,78,579,3,1,7.0,24,44,158,1,3.6,10,20,195,5,42.9,4.8,10.21
Tampa Bay Buccaneers,2,43,620,128,4.8,,0,41,42,70,350,5,0,4.7,22,53,270,1,5.1,14,12,105,5,35.0,0.0,17.89
Atlanta Falcons,2,42,684,134,5.1,1,1,42,40,63,397,1,0,5.9,21,67,287,2,4.3,16,13,84,5,47.6,4.8,8.56
New York Jets,2,42,548,109,5.0,2,2,34,26,44,266,2,0,5.4,14,60,282,3,4.7,18,12,109,2,40.0,5.0,0.93
Washington Commanders,2,39,662,130,5.1,,0,40,43,72,391,3,0,4.9,21,51,271,2,5.3,14,17,119,5,28.6,0.0,2.23
Kansas City Chiefs,2,38,641,115,5.6,1,0,35,40,68,422,2,1,5.9,16,43,219,2,5.1,17,16,116,2,47.1,5.9,7.40
Miami Dolphins,2,35,569,98,5.8,4,1,28,45,63,430,3,3,6.1,24,27,139,0,5.1,4,13,80,,33.3,26.7,1.77
New Orleans Saints,2,34,622,136,4.6,1,1,42,52,80,394,3,0,4.7,24,52,228,1,4.4,11,20,134,7,28.6,4.8,5.37
Minnesota Vikings,2,33,452,95,4.8,5,2,24,24,41,254,2,3,5.1,12,45,198,1,4.4,9,16,100,3,30.4,17.4,-21.55
Cleveland Browns,2,33,649,143,4.5,4,1,39,59,93,485,3,3,5.0,23,46,164,1,3.6,12,13,95,4,27.3,18.2,-13.89
Carolina Panthers,2,32,607,138,4.4,5,2,41,53,90,445,4,3,4.7,27,44,162,0,3.7,9,11,118,5,30.0,25.0,-9.76
Tennessee Titans,2,31,385,119,3.2,3,3,25,31,61,205,1,0,2.8,15,47,180,0,3.8,9,23,193,1,36.0,12.0,-31.69
Las Vegas Raiders,2,29,607,127,4.8,4,0,36,48,77,483,1,4,5.8,25,43,124,1,2.9,8,14,124,3,31.8,18.2,-9.08
Houston Texans,2,28,531,103,5.2,2,1,30,32,51,333,1,1,5.8,14,46,198,1,4.3,11,17,125,5,36.8,10.5,-6.87
