Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,210,107,51.0,14,10,71.4,60,31,51.7
Tampa Bay Buccaneers,186,90,48.4,13,8,61.5,58,39,67.2
Philadelphia Eagles,208,89,42.8,24,17,70.8,59,34,57.6
Cincinnati Bengals,188,88,46.8,15,9,60.0,50,34,68.0
Washington Commanders,191,87,45.5,19,16,84.2,62,38,61.3
Detroit Lions,180,84,46.7,26,18,69.2,65,44,67.7
Baltimore Ravens,168,81,48.2,12,8,66.7,59,43,72.9
Pittsburgh Steelers,200,78,39.0,15,7,46.7,50,24,48.0
Houston Texans,204,78,38.2,14,10,71.4,51,27,52.9
Denver Broncos,204,77,37.7,19,12,63.2,49,30,61.2
Buffalo Bills,173,75,43.4,17,15,88.2,62,43,69.4
San Francisco 49ers,176,74,42.0,13,6,46.2,56,29,51.8
New York Jets,189,74,39.2,21,9,42.9,48,25,52.1
Arizona Cardinals,169,73,43.2,14,6,42.9,49,27,55.1
Miami Dolphins,189,72,38.1,27,12,44.4,46,26,56.5
Los Angeles Chargers,190,72,37.9,13,7,53.8,40,23,57.5
Dallas Cowboys,197,71,36.0,26,9,34.6,42,21,50.0
Atlanta Falcons,185,71,38.4,26,17,65.4,45,22,48.9
Indianapolis Colts,191,71,37.2,25,16,64.0,44,24,54.5
New York Giants,205,71,34.6,32,18,56.3,40,17,42.5
Minnesota Vikings,175,71,40.6,10,6,60.0,53,32,60.4
New England Patriots,193,69,35.8,20,13,65.0,44,21,47.7
Tennessee Titans,186,69,37.1,18,6,33.3,41,23,56.1
New Orleans Saints,182,68,37.4,21,12,57.1,40,24,60.0
Seattle Seahawks,186,68,36.6,19,10,52.6,38,21,55.3
Carolina Panthers,190,67,35.3,28,13,46.4,43,25,58.1
Las Vegas Raiders,197,66,33.5,23,13,56.5,39,19,48.7
Chicago Bears,202,64,31.7,35,21,60.0,35,22,62.9
Los Angeles Rams,172,63,36.6,21,14,66.7,57,30,52.6
Jacksonville Jaguars,177,63,35.6,25,14,56.0,45,25,55.6
Cleveland Browns,208,59,28.4,38,24,63.2,31,17,54.8
Green Bay Packers,153,58,37.9,11,5,45.5,58,33,56.9
