Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
New Orleans Saints,2,91,811,118,6.9,2,1,46,30,40,441,5,1,10.5,15,76,370,6,4.9,28,15,135,3,76.2,4.8,45.94
Arizona Cardinals,2,69,759,122,6.2,2,2,42,38,52,404,4,0,7.1,19,65,355,2,5.5,21,10,83,2,61.1,11.1,29.80
Buffalo Bills,2,65,599,103,5.8,1,1,36,31,42,361,3,0,8.2,16,59,238,4,4.0,15,10,70,5,50.0,5.0,22.10
Tampa Bay Buccaneers,2,57,608,108,5.6,1,0,36,36,49,426,5,1,7.7,24,53,182,1,3.4,7,11,81,5,55.0,5.0,22.18
Philadelphia Eagles,2,55,775,142,5.5,4,1,47,43,64,445,3,3,6.6,26,75,330,3,4.4,18,16,110,3,50.0,20.0,18.40
Kansas City Chiefs,2,53,639,109,5.9,4,1,40,38,53,418,3,3,7.3,22,52,221,2,4.3,13,10,89,5,47.4,21.1,11.89
Dallas Cowboys,2,52,618,126,4.9,2,0,35,47,74,448,2,2,5.6,21,46,170,1,3.7,12,15,111,2,45.8,8.3,-10.08
Minnesota Vikings,2,51,715,105,6.8,4,2,34,36,50,458,4,2,8.3,17,50,257,1,5.1,15,14,116,2,38.1,19.0,11.99
San Francisco 49ers,2,49,800,137,5.8,2,1,48,47,65,518,1,1,7.0,29,63,282,3,4.5,15,8,70,4,55.0,10.0,12.10
Seattle Seahawks,2,49,662,126,5.3,2,1,37,51,69,470,2,1,6.4,22,52,192,3,3.7,10,12,91,5,40.0,4.0,4.50
Houston Texans,2,48,727,137,5.3,1,1,41,47,68,439,3,0,5.9,24,62,288,1,4.6,15,17,145,2,47.8,4.3,9.75
Los Angeles Chargers,2,48,665,119,5.6,2,1,32,31,46,270,3,1,5.6,14,71,395,2,5.6,15,10,65,3,40.0,8.0,1.57
Green Bay Packers,2,45,797,125,6.4,2,1,38,29,49,373,3,1,7.3,15,74,424,1,5.7,20,16,121,3,47.6,9.5,14.12
Baltimore Ravens,2,43,835,137,6.1,2,1,46,47,75,499,2,1,6.4,25,59,336,2,5.7,18,18,173,3,40.9,9.1,15.54
New York Jets,2,43,531,105,5.1,2,1,30,37,59,362,4,1,5.8,20,43,169,2,3.9,9,10,80,1,33.3,9.5,3.00
Detroit Lions,2,42,826,144,5.7,3,0,47,53,84,524,1,3,6.1,23,58,302,3,5.2,19,10,127,5,40.9,13.6,12.70
Washington Commanders,2,41,724,125,5.8,,0,44,40,53,371,0,0,6.2,18,65,353,3,5.4,21,17,120,5,58.8,0.0,21.65
Chicago Bears,2,37,353,119,3.0,3,1,26,37,66,198,0,2,2.6,12,44,155,1,3.5,9,16,115,5,27.3,9.1,-26.30
Indianapolis Colts,2,37,641,96,6.7,4,0,33,26,53,397,3,4,7.1,14,40,244,2,6.1,17,7,40,2,31.6,21.1,5.71
New England Patriots,2,36,600,130,4.6,,0,36,30,51,245,1,0,4.5,15,75,355,2,4.7,19,8,82,2,38.1,0.0,3.78
Las Vegas Raiders,2,36,556,119,4.7,4,2,32,55,71,458,2,2,5.7,26,39,98,1,2.5,2,5,30,4,32.0,16.0,-15.37
Cincinnati Bengals,2,35,544,109,5.0,3,3,31,44,65,400,2,0,5.6,18,38,144,1,3.8,11,10,89,2,44.4,11.1,-3.33
Cleveland Browns,2,35,527,135,3.9,2,0,32,46,79,309,1,2,3.6,15,48,218,2,4.5,12,24,164,5,30.4,8.7,-19.54
Tennessee Titans,2,34,544,121,4.5,5,2,36,38,60,274,2,3,4.1,13,54,270,2,5.0,18,13,95,5,25.0,20.8,-13.58
Atlanta Falcons,2,32,611,108,5.7,3,1,37,36,55,370,3,2,6.4,19,50,241,0,4.8,15,8,74,3,36.8,15.8,-4.98
Pittsburgh Steelers,2,31,521,124,4.2,,0,32,30,43,243,1,0,5.2,13,77,278,0,3.6,13,19,138,6,42.9,0.0,-7.45
Los Angeles Rams,2,30,632,126,5.0,2,1,40,53,76,496,1,1,6.0,24,43,136,2,3.2,12,8,60,4,30.0,10.0,-0.11
Miami Dolphins,2,30,751,140,5.4,3,0,38,48,76,531,2,3,6.6,23,59,220,1,3.7,13,16,153,2,28.6,14.3,-8.28
Jacksonville Jaguars,2,30,590,105,5.6,1,1,35,26,51,335,1,0,5.8,17,47,255,2,5.4,14,14,123,4,28.6,4.8,2.02
Denver Broncos,2,26,526,125,4.2,5,1,26,46,77,363,0,4,4.5,14,44,163,1,3.7,12,17,184,,23.1,19.2,-26.69
New York Giants,2,24,544,119,4.6,3,1,32,38,70,341,2,2,4.5,19,43,203,1,4.7,10,14,115,3,27.8,16.7,-14.19
Carolina Panthers,2,13,352,101,3.5,4,1,18,31,57,204,0,3,3.2,10,38,148,1,3.9,6,15,170,2,12.5,16.7,-39.49
