Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,179,93,52.0,11,9,81.8,51,26,51.0
Philadelphia Eagles,175,76,43.4,20,13,65.0,49,29,59.2
Tampa Bay Buccaneers,159,75,47.2,11,7,63.6,51,35,68.6
Cincinnati Bengals,164,74,45.1,15,9,60.0,42,29,69.0
Washington Commanders,161,71,44.1,15,13,86.7,55,33,60.0
Pittsburgh Steelers,180,71,39.4,14,7,50.0,46,21,45.7
Detroit Lions,155,71,45.8,22,15,68.2,55,37,67.3
Baltimore Ravens,147,68,46.3,12,8,66.7,52,39,75.0
Buffalo Bills,152,66,43.4,15,13,86.7,54,37,68.5
San Francisco 49ers,151,66,43.7,12,6,50.0,51,27,52.9
Los Angeles Chargers,172,66,38.4,10,7,70.0,33,18,54.5
New York Giants,184,66,35.9,26,15,57.7,36,15,41.7
Houston Texans,178,66,37.1,13,9,69.2,45,24,53.3
Denver Broncos,174,66,37.9,17,10,58.8,44,25,56.8
New Orleans Saints,171,65,38.0,20,11,55.0,38,23,60.5
New York Jets,166,65,39.2,15,6,40.0,42,22,52.4
Miami Dolphins,164,64,39.0,25,10,40.0,41,24,58.5
New England Patriots,175,62,35.4,16,10,62.5,38,17,44.7
Seattle Seahawks,163,62,38.0,18,9,50.0,35,19,54.3
Chicago Bears,180,61,33.9,28,17,60.7,29,20,69.0
Minnesota Vikings,149,61,40.9,8,5,62.5,47,27,57.4
Dallas Cowboys,170,60,35.3,26,9,34.6,36,16,44.4
Atlanta Falcons,158,59,37.3,26,17,65.4,41,20,48.8
Indianapolis Colts,161,59,36.6,20,13,65.0,40,22,55.0
Tennessee Titans,167,59,35.3,18,6,33.3,34,16,47.1
Las Vegas Raiders,169,58,34.3,21,11,52.4,35,16,45.7
Carolina Panthers,165,58,35.2,25,10,40.0,37,21,56.8
Arizona Cardinals,141,57,40.4,13,5,38.5,41,21,51.2
Los Angeles Rams,147,54,36.7,20,13,65.0,49,28,57.1
Green Bay Packers,141,53,37.6,10,5,50.0,54,31,57.4
Cleveland Browns,184,52,28.3,34,23,67.6,28,16,57.1
Jacksonville Jaguars,147,49,33.3,23,13,56.5,40,22,55.0
