Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,79,27,34.2,10,6,60.0,29,18,62.1
New England Patriots,95,32,33.7,14,5,35.7,20,15,75.0
Houston Texans,99,33,33.3,7,4,57.1,18,12,66.7
Arizona Cardinals,97,35,36.1,16,7,43.8,28,16,57.1
Denver Broncos,124,35,28.2,9,5,55.6,23,8,34.8
Buffalo Bills,95,36,37.9,11,7,63.6,23,13,56.5
Los Angeles Rams,109,36,33.0,25,14,56.0,23,9,39.1
Minnesota Vikings,103,36,35.0,11,8,72.7,24,12,50.0
Green Bay Packers,104,36,34.6,17,11,64.7,22,14,63.6
Detroit Lions,97,36,37.1,13,6,46.2,27,17,63.0
New York Jets,103,37,35.9,9,7,77.8,29,17,58.6
Cleveland Browns,104,38,36.5,6,3,50.0,23,14,60.9
Los Angeles Chargers,109,39,35.8,14,9,64.3,29,14,48.3
Kansas City Chiefs,98,40,40.8,17,4,23.5,22,14,63.6
Tampa Bay Buccaneers,103,40,38.8,18,8,44.4,19,12,63.2
Atlanta Falcons,93,40,43.0,10,7,70.0,20,14,70.0
Jacksonville Jaguars,98,41,41.8,8,4,50.0,25,16,64.0
New Orleans Saints,109,42,38.5,13,8,61.5,31,19,61.3
San Francisco 49ers,107,42,39.3,11,7,63.6,28,15,53.6
New York Giants,108,42,38.9,9,8,88.9,30,21,70.0
Seattle Seahawks,114,42,36.8,16,9,56.3,24,13,54.2
Philadelphia Eagles,105,45,42.9,10,5,50.0,26,12,46.2
Baltimore Ravens,109,45,41.3,18,13,72.2,36,22,61.1
Miami Dolphins,108,46,42.6,14,11,78.6,36,20,55.6
Tennessee Titans,113,47,41.6,12,10,83.3,34,21,61.8
Washington Commanders,113,47,41.6,12,7,58.3,30,20,66.7
Pittsburgh Steelers,112,47,42.0,23,17,73.9,30,16,53.3
Carolina Panthers,108,47,43.5,14,9,64.3,29,15,51.7
Las Vegas Raiders,105,49,46.7,11,9,81.8,31,19,61.3
Indianapolis Colts,116,53,45.7,18,9,50.0,32,19,59.4
Cincinnati Bengals,114,56,49.1,12,8,66.7,43,30,69.8
Dallas Cowboys,116,61,52.6,11,5,45.5,36,25,69.4
