Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,155,71,45.8,14,9,64.3,36,18,50.0
San Francisco 49ers,151,70,46.4,17,10,58.8,43,27,62.8
New York Giants,164,68,41.5,28,14,50.0,42,20,47.6
Green Bay Packers,138,68,49.3,14,9,64.3,44,29,65.9
Arizona Cardinals,155,67,43.2,16,7,43.8,45,25,55.6
Chicago Bears,147,62,42.2,15,7,46.7,38,22,57.9
New England Patriots,144,61,42.4,17,13,76.5,42,23,54.8
Kansas City Chiefs,142,59,41.5,23,18,78.3,47,28,59.6
Buffalo Bills,134,58,43.3,15,8,53.3,38,24,63.2
Tampa Bay Buccaneers,148,58,39.2,19,8,42.1,32,16,50.0
Denver Broncos,148,57,38.5,8,4,50.0,36,21,58.3
Dallas Cowboys,129,55,42.6,17,8,47.1,44,27,61.4
New Orleans Saints,145,55,37.9,25,9,36.0,29,10,34.5
Cincinnati Bengals,137,54,39.4,10,7,70.0,29,18,62.1
Jacksonville Jaguars,142,52,36.6,24,14,58.3,42,24,57.1
New York Jets,142,52,36.6,22,10,45.5,25,13,52.0
Indianapolis Colts,125,52,41.6,21,17,81.0,48,32,66.7
Carolina Panthers,145,52,35.9,27,18,66.7,37,19,51.4
Houston Texans,148,51,34.5,17,11,64.7,34,15,44.1
Pittsburgh Steelers,127,51,40.2,11,5,45.5,33,22,66.7
Las Vegas Raiders,141,51,36.2,19,8,42.1,27,13,48.1
Detroit Lions,137,50,36.5,23,13,56.5,43,28,65.1
Baltimore Ravens,131,50,38.2,17,9,52.9,41,19,46.3
Cleveland Browns,157,49,31.2,21,11,52.4,28,15,53.6
Seattle Seahawks,125,49,39.2,8,5,62.5,39,24,61.5
Washington Commanders,124,48,38.7,18,10,55.6,28,20,71.4
Miami Dolphins,127,48,37.8,18,9,50.0,32,17,53.1
Los Angeles Rams,121,47,38.8,19,13,68.4,47,31,66.0
Philadelphia Eagles,136,47,34.6,17,11,64.7,27,21,77.8
Tennessee Titans,148,45,30.4,21,10,47.6,20,10,50.0
Atlanta Falcons,130,43,33.1,19,9,47.4,31,19,61.3
Minnesota Vikings,130,40,30.8,15,8,53.3,34,19,55.9
