Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Cleveland Browns,47,20,42.6,8,4,50.0,7,5,71.4
Los Angeles Chargers,41,19,46.3,3,2,66.7,10,4,40.0
Miami Dolphins,35,19,54.3,5,2,40.0,6,5,83.3
Green Bay Packers,40,19,47.5,2,1,50.0,11,7,63.6
Philadelphia Eagles,41,18,43.9,6,5,83.3,8,8,100.0
Chicago Bears,39,18,46.2,4,1,25.0,7,6,85.7
Buffalo Bills,40,18,45.0,3,3,100.0,15,10,66.7
Atlanta Falcons,43,17,39.5,7,3,42.9,7,2,28.6
Tampa Bay Buccaneers,41,17,41.5,2,2,100.0,9,4,44.4
San Francisco 49ers,39,17,43.6,4,3,75.0,11,5,45.5
Las Vegas Raiders,45,17,37.8,6,3,50.0,7,3,42.9
Kansas City Chiefs,41,17,41.5,6,5,83.3,8,4,50.0
New England Patriots,39,17,43.6,7,6,85.7,11,6,54.5
Cincinnati Bengals,39,16,41.0,1,1,100.0,8,6,75.0
Dallas Cowboys,36,16,44.4,5,3,60.0,10,6,60.0
Detroit Lions,39,16,41.0,8,7,87.5,16,11,68.8
Carolina Panthers,41,16,39.0,8,5,62.5,8,5,62.5
Indianapolis Colts,36,15,41.7,7,5,71.4,16,7,43.8
Los Angeles Rams,35,15,42.9,3,2,66.7,13,6,46.2
Baltimore Ravens,34,15,44.1,2,1,50.0,11,6,54.5
Jacksonville Jaguars,40,15,37.5,4,2,50.0,14,7,50.0
Washington Commanders,37,14,37.8,3,1,33.3,8,6,75.0
New Orleans Saints,40,14,35.0,6,2,33.3,10,5,50.0
Arizona Cardinals,37,14,37.8,3,3,100.0,10,5,50.0
Tennessee Titans,43,13,30.2,4,2,50.0,7,3,42.9
Pittsburgh Steelers,34,13,38.2,2,1,50.0,8,7,87.5
Seattle Seahawks,33,12,36.4,2,1,50.0,11,7,63.6
Denver Broncos,37,12,32.4,4,2,50.0,8,5,62.5
New York Giants,40,11,27.5,8,3,37.5,10,2,20.0
Minnesota Vikings,35,11,31.4,3,2,66.7,9,6,66.7
New York Jets,36,10,27.8,8,5,62.5,8,6,75.0
Houston Texans,33,8,24.2,3,2,66.7,4,0,0.0
