Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,164,58,35.4,22,12,54.5,43,22,51.2
Chicago Bears,156,59,37.8,19,9,47.4,43,26,60.5
San Francisco 49ers,157,60,38.2,18,10,55.6,44,25,56.8
New England Patriots,160,60,37.5,23,8,34.8,32,24,75.0
Houston Texans,177,60,33.9,20,9,45.0,34,20,58.8
New York Jets,173,61,35.3,13,10,76.9,54,34,63.0
Denver Broncos,191,61,31.9,20,10,50.0,39,15,38.5
New Orleans Saints,169,62,36.7,26,13,50.0,40,23,57.5
Seattle Seahawks,194,64,33.0,35,19,54.3,43,22,51.2
Arizona Cardinals,164,64,39.0,18,8,44.4,56,33,58.9
Detroit Lions,174,64,36.8,28,18,64.3,47,29,61.7
New York Giants,166,66,39.8,14,10,71.4,48,32,66.7
Miami Dolphins,173,66,38.2,24,17,70.8,48,25,52.1
Minnesota Vikings,187,67,35.8,19,13,68.4,44,20,45.5
Buffalo Bills,163,68,41.7,15,9,60.0,40,24,60.0
Tampa Bay Buccaneers,168,68,40.5,28,12,42.9,36,26,72.2
Los Angeles Rams,191,69,36.1,40,22,55.0,44,20,45.5
Atlanta Falcons,176,70,39.8,25,15,60.0,43,25,58.1
Washington Commanders,170,70,41.2,23,14,60.9,54,35,64.8
Tennessee Titans,175,71,40.6,16,12,75.0,52,33,63.5
Baltimore Ravens,196,71,36.2,34,20,58.8,54,28,51.9
Green Bay Packers,183,72,39.3,32,17,53.1,40,25,62.5
Cleveland Browns,192,72,37.5,12,6,50.0,41,24,58.5
Kansas City Chiefs,174,74,42.5,18,5,27.8,41,22,53.7
Carolina Panthers,165,74,44.8,21,14,66.7,46,26,56.5
Jacksonville Jaguars,179,75,41.9,24,9,37.5,41,24,58.5
Indianapolis Colts,181,75,41.4,25,13,52.0,53,28,52.8
Philadelphia Eagles,191,78,40.8,24,7,29.2,39,19,48.7
Dallas Cowboys,170,79,46.5,20,13,65.0,54,39,72.2
Cincinnati Bengals,168,79,47.0,20,13,65.0,57,36,63.2
Pittsburgh Steelers,198,84,42.4,33,25,75.8,50,27,54.0
Las Vegas Raiders,184,90,48.9,19,11,57.9,55,33,60.0
