Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Detroit Lions,16,533,6568,1052,6.2,13,3,386,372,518,4258,38,10,7.8,228,503,2310,26,4.6,135,99,939,23,52.0,7.6,247.86
Buffalo Bills,16,509,5846,960,6.1,8,2,344,311,488,3746,29,6,7.5,174,458,2100,31,4.6,132,106,798,38,50.9,4.9,227.65
Baltimore Ravens,16,483,6787,988,6.9,11,7,373,302,445,3818,39,4,8.1,187,519,2969,19,5.7,156,122,1037,30,47.6,6.5,251.80
Tampa Bay Buccaneers,16,475,6398,1030,6.2,22,7,375,387,539,4041,39,15,7.0,213,452,2357,15,5.2,131,96,749,31,48.0,12.9,184.15
Washington Commanders,16,462,6015,1046,5.8,15,6,362,344,494,3509,27,9,6.5,181,508,2506,24,4.9,148,106,905,33,50.6,8.4,200.99
Cincinnati Bengals,16,453,5900,1009,5.8,20,12,355,423,606,4394,42,8,6.8,238,359,1506,11,4.2,83,95,755,34,43.5,10.6,153.34
Philadelphia Eagles,16,443,5939,1046,5.7,15,9,339,276,407,2942,22,6,6.5,153,596,2997,29,5.0,161,102,793,25,44.8,7.0,151.51
Green Bay Packers,16,438,5936,966,6.1,17,6,323,291,454,3623,28,11,7.7,164,493,2313,21,4.7,129,107,791,30,46.2,9.5,144.96
Minnesota Vikings,16,423,5636,992,5.7,21,9,339,346,507,3901,35,12,7.0,203,438,1735,9,4.0,97,104,815,39,42.2,11.1,106.26
Denver Broncos,16,387,5039,983,5.1,19,7,286,353,541,3289,26,12,5.8,157,418,1750,11,4.2,110,103,900,19,36.8,10.4,18.31
Kansas City Chiefs,16,385,5472,1058,5.2,14,3,345,394,583,3709,26,11,6.0,215,439,1763,15,4.0,106,91,814,24,45.3,8.7,118.91
Los Angeles Chargers,16,368,5038,945,5.3,9,6,290,308,474,3293,21,3,6.4,163,428,1745,16,4.1,99,89,678,28,41.3,4.7,83.30
San Francisco 49ers,16,365,5961,953,6.3,24,10,326,320,490,3936,21,14,7.5,188,429,2025,16,4.7,111,98,758,27,42.3,12.9,110.91
Pittsburgh Steelers,16,363,5237,1023,5.1,16,10,302,304,468,3145,20,6,6.1,150,510,2092,13,4.1,116,99,803,36,40.3,9.1,19.41
Arizona Cardinals,16,353,5697,974,5.8,20,9,330,349,508,3397,17,11,6.3,177,436,2300,16,5.3,128,91,801,25,42.9,12.8,108.17
Indianapolis Colts,16,351,5263,964,5.5,29,10,291,266,473,3109,19,19,6.2,150,462,2154,19,4.7,118,90,669,23,35.7,15.9,3.75
Atlanta Falcons,16,351,5750,1009,5.7,23,5,328,343,521,3758,19,18,6.8,187,457,1992,15,4.4,113,92,773,28,38.4,13.8,72.78
Houston Texans,16,349,5061,1000,5.1,18,6,290,339,542,3359,19,12,5.6,189,405,1702,14,4.2,81,113,933,20,37.2,9.3,-0.41
Seattle Seahawks,16,345,5311,977,5.4,24,8,311,393,566,3810,17,16,6.2,198,359,1501,17,4.2,83,116,964,30,34.3,10.5,13.25
Los Angeles Rams,16,342,5230,975,5.4,13,5,322,340,518,3549,20,8,6.5,176,429,1681,15,3.9,116,89,788,30,37.7,8.2,80.05
Dallas Cowboys,16,331,5189,1029,5.0,28,14,304,378,603,3634,23,14,5.7,180,390,1555,5,4.0,89,117,854,35,35.8,15.1,-44.76
Miami Dolphins,16,325,5198,1014,5.1,17,9,323,388,550,3538,21,8,6.0,207,425,1660,11,3.9,83,110,894,33,39.4,9.4,4.73
New Orleans Saints,16,319,5150,969,5.3,19,7,285,314,509,3260,20,12,6.0,153,425,1890,15,4.4,107,102,926,25,33.7,9.9,14.72
New York Jets,16,306,4900,948,5.2,18,8,292,362,570,3457,27,10,5.7,187,341,1443,8,4.2,76,131,1099,29,33.5,10.6,19.79
Tennessee Titans,16,297,4858,972,5.0,33,12,295,320,504,3088,21,21,5.6,155,418,1770,11,4.2,107,125,962,33,30.4,17.1,-53.07
Jacksonville Jaguars,16,297,4887,924,5.3,23,9,279,323,514,3271,18,14,6.0,164,380,1616,12,4.3,97,95,730,18,32.9,13.4,10.54
Carolina Panthers,16,297,4641,928,5.0,22,7,268,315,512,2918,19,15,5.3,152,380,1723,15,4.5,90,116,917,26,31.4,12.6,-34.89
Las Vegas Raiders,16,289,4890,1017,4.8,28,13,294,385,599,3572,17,15,5.5,198,368,1318,10,3.6,75,93,779,21,32.6,15.5,-76.79
Chicago Bears,16,286,4596,1008,4.6,14,8,280,332,536,2945,19,6,4.9,162,405,1651,12,4.1,92,103,822,26,30.0,7.1,-34.83
New England Patriots,16,266,4655,966,4.8,22,11,282,320,499,2763,17,11,5.0,153,416,1892,10,4.5,96,104,857,33,29.8,13.1,-38.84
New York Giants,16,260,4773,1009,4.7,22,10,291,344,562,3090,14,12,5.1,166,399,1683,13,4.2,98,106,888,27,27.6,12.1,-75.99
Cleveland Browns,16,248,4884,1063,4.6,32,11,290,377,627,3332,18,21,4.8,171,372,1552,8,4.2,92,116,895,27,22.8,15.9,-143.59
