Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
New York Jets,37,21,56.8,1,0,0.0,8,6,75.0
Pittsburgh Steelers,44,19,43.2,1,0,0.0,8,2,25.0
Detroit Lions,42,19,45.2,7,4,57.1,13,5,38.5
New Orleans Saints,34,18,52.9,1,0,0.0,12,9,75.0
Green Bay Packers,42,18,42.9,1,1,100.0,11,3,27.3
Chicago Bears,51,17,33.3,9,7,77.8,5,3,60.0
Dallas Cowboys,40,17,42.5,4,1,25.0,8,4,50.0
Minnesota Vikings,35,16,45.7,2,2,100.0,10,7,70.0
Miami Dolphins,43,16,37.2,10,1,10.0,8,2,25.0
Los Angeles Chargers,42,16,38.1,0,0,,7,3,42.9
Philadelphia Eagles,41,16,39.0,7,4,57.1,14,6,42.9
New York Giants,40,15,37.5,6,3,50.0,10,6,60.0
Houston Texans,42,15,35.7,7,5,71.4,7,5,71.4
Arizona Cardinals,33,15,45.5,3,0,0.0,9,6,66.7
Baltimore Ravens,34,14,41.2,3,2,66.7,10,6,60.0
Seattle Seahawks,38,14,36.8,2,1,50.0,6,3,50.0
San Francisco 49ers,34,14,41.2,4,2,50.0,12,6,50.0
Tampa Bay Buccaneers,34,14,41.2,2,0,0.0,9,5,55.6
Washington Commanders,31,14,45.2,5,5,100.0,12,6,50.0
New England Patriots,42,14,33.3,3,3,100.0,9,3,33.3
Cincinnati Bengals,34,14,41.2,4,3,75.0,10,5,50.0
Las Vegas Raiders,37,12,32.4,5,1,20.0,7,5,71.4
Los Angeles Rams,35,12,34.3,7,4,57.1,13,6,46.2
Buffalo Bills,29,12,41.4,5,5,100.0,13,10,76.9
Kansas City Chiefs,31,11,35.5,3,3,100.0,9,4,44.4
Tennessee Titans,35,11,31.4,4,1,25.0,8,4,50.0
Denver Broncos,43,11,25.6,6,4,66.7,11,3,27.3
Indianapolis Colts,31,10,32.3,5,2,40.0,8,5,62.5
Cleveland Browns,43,8,18.6,11,7,63.6,4,4,100.0
Jacksonville Jaguars,32,7,21.9,9,4,44.4,11,4,36.4
Carolina Panthers,34,7,20.6,6,2,33.3,7,4,57.1
Atlanta Falcons,27,6,22.2,6,3,50.0,9,4,44.4
