Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,208,3462,746,4.6,22,7,207,233,408,2236,12,15,5.0,118,302,1226,10,4.1,62,90,682,27,25.4,14.8,66.31
Seattle Seahawks,226,3747,825,4.5,21,6,232,295,473,2562,16,15,5.0,140,311,1185,7,3.8,64,100,783,28,27.6,13.8,55.90
Los Angeles Rams,227,4095,841,4.9,21,8,247,294,462,2750,18,13,5.5,142,343,1345,4,3.9,85,99,770,20,31.8,15.9,33.84
Denver Broncos,235,3666,819,4.5,10,3,235,263,451,2509,13,7,5.0,136,313,1157,9,3.7,62,99,716,37,33.8,6.1,25.87
New England Patriots,241,3853,735,5.2,14,6,235,279,420,2690,21,8,6.0,138,288,1163,5,4.0,75,87,670,22,32.3,10.0,3.43
Green Bay Packers,247,3733,798,4.7,12,5,236,281,430,2415,17,7,5.2,133,335,1318,9,3.9,78,75,637,25,38.8,9.1,-27.05
Kansas City Chiefs,252,3948,728,5.4,10,3,217,263,388,2655,14,7,6.4,121,315,1293,12,4.1,74,84,770,22,37.3,7.9,-25.40
San Francisco 49ers,269,4365,790,5.5,14,9,258,312,451,3016,23,5,6.5,151,323,1349,8,4.2,85,82,568,22,36.2,10.0,-68.11
Los Angeles Chargers,271,3668,731,5.0,18,3,221,235,389,2251,12,15,5.3,115,307,1417,15,4.6,82,77,649,24,37.5,10.0,-2.49
Philadelphia Eagles,271,4441,851,5.2,16,7,261,245,439,2725,13,9,5.8,126,381,1716,14,4.5,107,75,655,28,37.8,10.2,-8.11
Jacksonville Jaguars,272,4035,795,5.1,23,8,256,309,491,2957,22,15,5.7,158,279,1078,9,3.9,64,89,784,34,32.6,14.9,12.40
Minnesota Vikings,281,3888,794,4.9,14,9,237,225,356,2240,14,5,5.8,106,405,1648,11,4.1,111,83,671,20,37.6,9.2,5.52
Indianapolis Colts,285,4484,857,5.2,18,6,286,310,488,3202,18,12,6.1,166,334,1282,13,3.8,90,83,715,30,38.8,13.4,-64.62
Buffalo Bills,293,3992,735,5.4,17,7,239,219,362,2234,16,10,5.7,119,345,1758,19,5.1,98,64,559,22,38.4,12.3,-38.12
Miami Dolphins,296,4349,781,5.6,17,10,255,272,389,2634,20,7,6.3,137,361,1715,10,4.8,88,89,709,30,39.7,11.5,-54.62
Carolina Panthers,297,4304,760,5.7,17,5,238,260,399,2761,16,12,6.6,137,343,1543,16,4.5,90,82,610,11,41.6,12.0,-75.88
Cleveland Browns,301,3547,770,4.6,16,6,209,229,362,2147,20,10,5.3,118,364,1400,9,3.8,71,106,729,20,34.2,9.2,55.34
Detroit Lions,304,4211,808,5.2,16,5,250,262,427,2876,26,11,6.2,147,344,1335,9,3.9,73,74,559,30,38.4,11.0,-41.04
Pittsburgh Steelers,311,4801,897,5.4,23,12,290,312,490,3172,21,11,6.0,154,371,1629,10,4.4,112,79,688,24,43.0,15.6,-58.32
Atlanta Falcons,313,4192,809,5.2,16,6,249,251,391,2489,21,10,5.7,134,375,1703,10,4.5,99,76,633,16,42.2,10.4,-45.26
New Orleans Saints,315,4076,801,5.1,15,7,254,236,360,2374,21,8,6.1,126,413,1702,11,4.1,103,89,679,25,41.2,11.0,-25.89
Baltimore Ravens,320,4523,830,5.4,14,7,250,293,470,3068,19,7,6.3,145,341,1455,13,4.3,85,87,670,20,45.0,9.3,-38.69
Tampa Bay Buccaneers,325,4399,778,5.7,19,7,243,290,435,3091,21,12,6.6,159,311,1308,15,4.2,65,89,716,19,38.8,12.9,-36.99
Las Vegas Raiders,332,4235,820,5.2,14,6,255,281,410,2754,19,8,6.3,138,384,1481,18,3.9,95,96,728,22,41.4,10.5,-66.50
Chicago Bears,335,4645,759,6.1,27,9,256,269,399,2922,27,18,6.9,139,336,1723,12,5.1,92,74,527,25,38.6,19.3,-74.51
Arizona Cardinals,348,4516,809,5.6,17,8,279,280,432,2916,20,9,6.4,158,353,1600,15,4.5,96,79,704,25,44.3,11.4,-67.00
New York Jets,349,4285,809,5.3,2,2,267,239,379,2472,20,0,6.2,140,408,1813,17,4.4,99,78,656,28,45.5,0.7,-97.40
Washington Commanders,354,4972,804,6.2,7,1,282,268,396,3210,26,6,7.5,167,378,1762,13,4.7,96,85,695,19,49.6,5.4,-154.57
Tennessee Titans,357,4562,786,5.8,12,6,261,271,401,2970,22,6,6.9,144,353,1592,18,4.5,88,81,579,29,42.8,6.9,-88.41
New York Giants,367,5015,830,6.0,7,2,293,296,454,3010,23,5,6.2,161,347,2005,17,5.8,102,100,851,30,45.7,5.0,-160.77
Dallas Cowboys,386,4922,819,6.0,10,5,286,306,447,3317,29,5,7.0,158,343,1605,17,4.7,108,110,957,20,47.9,6.4,-145.95
Cincinnati Bengals,413,5336,844,6.3,16,6,296,288,433,3314,29,10,7.3,168,390,2022,15,5.2,107,89,757,21,46.7,11.7,-163.39
