Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Miami Dolphins,31,15,48.4,7,1,14.3,6,2,33.3
Arizona Cardinals,24,14,58.3,1,0,0.0,8,5,62.5
Los Angeles Chargers,31,13,41.9,0,0,,6,3,50.0
Detroit Lions,30,13,43.3,6,4,66.7,11,3,27.3
Green Bay Packers,28,13,46.4,1,1,100.0,8,2,25.0
New England Patriots,31,12,38.7,0,0,,8,3,37.5
New Orleans Saints,21,12,57.1,0,0,,9,8,88.9
Pittsburgh Steelers,30,12,40.0,1,0,0.0,4,1,25.0
Tampa Bay Buccaneers,23,11,47.8,0,0,,7,4,57.1
New York Giants,26,11,42.3,5,2,40.0,6,3,50.0
New York Jets,22,11,50.0,1,0,0.0,4,3,75.0
Houston Texans,28,11,39.3,3,3,100.0,5,4,80.0
Seattle Seahawks,27,11,40.7,2,1,50.0,4,1,25.0
Philadelphia Eagles,27,10,37.0,4,3,75.0,11,5,45.5
Dallas Cowboys,27,10,37.0,3,1,33.3,4,1,25.0
Baltimore Ravens,25,10,40.0,3,2,66.7,7,3,42.9
Minnesota Vikings,22,10,45.5,1,1,100.0,5,3,60.0
Las Vegas Raiders,26,9,34.6,2,0,0.0,4,2,50.0
Washington Commanders,22,9,40.9,2,2,100.0,9,3,33.3
Tennessee Titans,26,8,30.8,3,1,33.3,6,2,33.3
Cincinnati Bengals,24,8,33.3,3,2,66.7,6,3,50.0
Chicago Bears,30,8,26.7,4,3,75.0,2,1,50.0
San Francisco 49ers,23,8,34.8,3,1,33.3,9,4,44.4
Denver Broncos,30,7,23.3,3,2,66.7,7,1,14.3
Indianapolis Colts,19,7,36.8,4,2,50.0,5,3,60.0
Los Angeles Rams,23,7,30.4,5,2,40.0,8,3,37.5
Buffalo Bills,18,6,33.3,3,3,100.0,8,6,75.0
Kansas City Chiefs,17,5,29.4,2,2,100.0,5,2,40.0
Jacksonville Jaguars,19,5,26.3,1,0,0.0,7,3,42.9
Cleveland Browns,29,4,13.8,8,6,75.0,3,3,100.0
Atlanta Falcons,18,4,22.2,3,2,66.7,5,2,40.0
Carolina Panthers,22,2,9.1,6,2,33.3,2,1,50.0
