Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,121,2139,453,4.7,13,4,128,144,254,1420,8,9,5.2,75,182,719,7,4.0,38,56,423,15,22.5,13.5,31.22
Los Angeles Rams,127,2423,512,4.7,12,7,149,175,281,1625,9,5,5.3,83,204,798,2,3.9,50,70,556,16,30.9,14.8,31.03
Seattle Seahawks,150,2431,522,4.7,10,1,155,196,298,1744,11,9,5.4,97,197,687,4,3.5,38,61,504,20,31.1,10.0,-2.59
Kansas City Chiefs,159,2626,487,5.4,9,3,154,178,249,1685,9,6,6.3,82,218,941,9,4.3,57,48,431,15,32.9,11.0,-8.89
Green Bay Packers,166,2291,497,4.6,5,2,150,196,294,1576,12,3,5.0,88,181,715,5,4.0,43,51,431,19,42.1,6.6,-18.95
Denver Broncos,166,2519,566,4.5,7,3,160,169,297,1681,8,4,5.0,89,229,838,6,3.7,42,70,504,29,34.9,5.7,26.57
Buffalo Bills,167,2490,459,5.4,9,5,149,137,223,1359,7,4,5.5,75,211,1131,12,5.4,61,43,357,13,37.3,10.8,-20.89
New England Patriots,169,2691,497,5.4,11,4,162,199,288,2012,15,7,6.5,105,189,679,3,3.6,39,64,473,18,34.1,12.1,-2.97
Arizona Cardinals,171,2683,513,5.2,10,5,172,193,305,1854,9,5,5.8,105,191,829,7,4.3,49,58,539,18,39.0,11.0,-30.33
Atlanta Falcons,178,2260,461,4.9,11,4,145,132,212,1265,13,7,5.4,74,227,995,5,4.4,61,42,373,10,41.8,11.4,-21.90
Detroit Lions,178,2358,475,5.0,12,4,152,164,263,1602,16,8,5.5,88,184,756,6,4.1,43,40,265,21,33.7,13.0,-5.11
Tampa Bay Buccaneers,178,2571,495,5.2,12,5,150,188,279,1830,11,7,6.0,96,191,741,7,3.9,39,59,475,15,36.0,14.0,6.74
Indianapolis Colts,181,2986,572,5.2,13,3,189,229,348,2203,15,10,5.9,117,198,783,6,4.0,52,56,474,20,36.4,14.8,-41.05
Jacksonville Jaguars,184,2689,487,5.5,15,4,165,188,296,1994,19,11,6.5,106,181,695,4,3.8,37,51,449,22,35.2,17.0,-22.90
Cleveland Browns,184,2215,460,4.8,10,4,129,149,224,1461,15,6,5.9,76,212,754,3,3.6,39,68,437,14,36.0,10.1,24.95
Philadelphia Eagles,185,2690,501,5.4,7,2,161,159,268,1727,8,5,6.1,75,217,963,10,4.4,65,47,428,21,46.3,8.8,-39.29
Minnesota Vikings,186,2534,479,5.3,9,6,144,152,223,1556,13,3,6.3,69,233,978,6,4.2,62,62,500,13,36.4,10.2,-7.27
San Francisco 49ers,188,2993,549,5.5,7,6,176,206,303,2013,15,1,6.4,97,235,980,5,4.2,60,57,383,19,37.4,7.7,-57.43
Los Angeles Chargers,193,2581,500,5.2,8,1,149,166,273,1594,8,7,5.3,77,201,987,10,4.9,56,62,512,16,40.9,9.1,-19.68
Pittsburgh Steelers,195,3070,553,5.6,16,8,188,216,324,2226,14,8,6.3,109,202,844,6,4.2,62,44,399,17,43.9,17.1,-51.19
Carolina Panthers,205,2849,514,5.5,9,2,153,181,281,1852,11,7,6.3,94,219,997,10,4.6,53,67,495,6,41.9,10.5,-42.63
Las Vegas Raiders,210,2667,511,5.2,8,4,161,182,270,1792,11,4,6.3,88,225,875,12,3.9,60,59,446,13,46.2,10.3,-54.91
Baltimore Ravens,216,2989,527,5.7,7,4,172,198,294,2000,14,3,6.6,104,222,989,10,4.5,57,50,378,11,48.2,8.2,-63.32
New York Jets,221,2683,489,5.5,1,1,157,150,236,1597,15,0,6.5,89,242,1086,8,4.5,54,55,447,14,47.7,1.2,-60.71
Chicago Bears,227,2950,463,6.4,19,6,167,171,241,1901,20,13,7.4,90,205,1049,6,5.1,58,43,303,19,42.5,21.8,-61.06
Washington Commanders,236,3400,552,6.2,6,1,185,184,273,2282,19,5,7.7,110,257,1118,7,4.4,58,70,598,17,45.2,6.5,-86.93
New Orleans Saints,243,3000,568,5.3,10,6,193,177,259,1835,18,4,6.6,101,290,1165,8,4.0,73,69,528,19,45.1,11.0,-53.54
Miami Dolphins,243,3093,526,5.9,7,6,181,183,247,1783,15,1,6.8,95,262,1310,10,5.0,66,65,516,20,48.9,6.8,-82.92
New York Giants,249,3439,587,5.9,6,2,207,209,319,2089,15,4,6.1,112,247,1350,12,5.5,71,80,667,24,44.9,6.1,-102.98
Tennessee Titans,257,3210,550,5.8,10,5,180,190,265,1938,14,5,6.8,96,263,1272,15,4.8,67,45,309,17,44.3,8.2,-80.17
Dallas Cowboys,277,3577,586,6.1,7,3,211,204,298,2290,22,4,7.2,110,268,1287,11,4.8,85,72,652,16,49.5,7.2,-116.12
Cincinnati Bengals,300,3839,600,6.4,9,1,215,206,307,2341,23,8,7.3,123,280,1498,12,5.4,79,64,508,13,49.5,9.3,-142.16
