Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,205,95,46.3,15,9,60.0,46,23,50.0
San Francisco 49ers,183,90,49.2,18,11,61.1,54,34,63.0
Green Bay Packers,175,88,50.3,20,13,65.0,51,33,64.7
Chicago Bears,193,85,44.0,22,10,45.5,49,29,59.2
Buffalo Bills,174,80,46.0,22,14,63.6,53,34,64.2
Arizona Cardinals,187,79,42.2,22,8,36.4,54,31,57.4
Cincinnati Bengals,183,75,41.0,17,11,64.7,39,22,56.4
Denver Broncos,186,75,40.3,16,8,50.0,48,30,62.5
New York Giants,187,74,39.6,35,16,45.7,46,23,50.0
Kansas City Chiefs,182,74,40.7,29,22,75.9,55,33,60.0
Houston Texans,192,72,37.5,19,11,57.9,49,22,44.9
New England Patriots,167,72,43.1,19,14,73.7,50,26,52.0
Dallas Cowboys,172,72,41.9,24,14,58.3,56,32,57.1
Tampa Bay Buccaneers,186,72,38.7,27,11,40.7,41,22,53.7
New Orleans Saints,179,70,39.1,29,10,34.5,37,16,43.2
New York Jets,185,68,36.8,28,13,46.4,33,16,48.5
Jacksonville Jaguars,179,66,36.9,27,16,59.3,55,33,60.0
Detroit Lions,172,66,38.4,27,15,55.6,55,37,67.3
Indianapolis Colts,159,66,41.5,24,17,70.8,57,37,64.9
Carolina Panthers,174,66,37.9,33,23,69.7,39,20,51.3
Philadelphia Eagles,174,65,37.4,18,11,61.1,36,25,69.4
Pittsburgh Steelers,163,64,39.3,16,9,56.3,42,28,66.7
Seattle Seahawks,166,63,38.0,10,7,70.0,47,27,57.4
Washington Commanders,162,62,38.3,24,14,58.3,36,24,66.7
Baltimore Ravens,166,62,37.3,23,13,56.5,50,22,44.0
Cleveland Browns,196,62,31.6,26,11,42.3,32,18,56.3
Las Vegas Raiders,170,59,34.7,25,9,36.0,31,16,51.6
Tennessee Titans,186,56,30.1,27,13,48.1,26,14,53.8
Miami Dolphins,157,56,35.7,20,10,50.0,40,23,57.5
Los Angeles Rams,143,54,37.8,22,16,72.7,63,42,66.7
Atlanta Falcons,166,53,31.9,22,11,50.0,42,26,61.9
Minnesota Vikings,160,50,31.3,22,13,59.1,43,26,60.5
