Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Pittsburgh Steelers,57,25,43.9,3,0,0.0,12,5,41.7
New York Jets,54,25,46.3,2,0,0.0,10,6,60.0
New Orleans Saints,47,25,53.2,3,1,33.3,16,12,75.0
Washington Commanders,43,23,53.5,6,6,100.0,17,10,58.8
Philadelphia Eagles,54,22,40.7,9,5,55.6,17,8,47.1
Green Bay Packers,54,22,40.7,3,1,33.3,16,7,43.8
Houston Texans,55,22,40.0,7,5,71.4,11,8,72.7
San Francisco 49ers,47,21,44.7,4,2,50.0,16,8,50.0
Cincinnati Bengals,47,21,44.7,4,3,75.0,13,8,61.5
Minnesota Vikings,46,20,43.5,3,2,66.7,15,10,66.7
Tampa Bay Buccaneers,47,20,42.6,3,1,33.3,15,9,60.0
Los Angeles Chargers,55,20,36.4,1,0,0.0,9,4,44.4
New York Giants,56,20,35.7,10,6,60.0,12,6,50.0
Kansas City Chiefs,47,20,42.6,3,3,100.0,11,5,45.5
Chicago Bears,60,20,33.3,9,7,77.8,9,5,55.6
Dallas Cowboys,50,20,40.0,5,2,40.0,9,5,55.6
Baltimore Ravens,43,19,44.2,3,2,66.7,14,10,71.4
Detroit Lions,42,19,45.2,7,4,57.1,13,5,38.5
New England Patriots,58,19,32.8,6,4,66.7,11,4,36.4
Arizona Cardinals,44,19,43.2,6,2,33.3,11,8,72.7
Indianapolis Colts,46,18,39.1,5,2,40.0,13,8,61.5
Los Angeles Rams,46,17,37.0,7,4,57.1,17,7,41.2
Miami Dolphins,43,16,37.2,10,1,10.0,8,2,25.0
Las Vegas Raiders,49,16,32.7,5,1,20.0,10,7,70.0
Buffalo Bills,42,15,35.7,6,6,100.0,15,11,73.3
Denver Broncos,57,14,24.6,6,4,66.7,12,4,33.3
Seattle Seahawks,38,14,36.8,2,1,50.0,6,3,50.0
Carolina Panthers,48,14,29.2,9,3,33.3,10,6,60.0
Tennessee Titans,35,11,31.4,4,1,25.0,8,4,50.0
Cleveland Browns,53,11,20.8,12,7,58.3,6,5,83.3
Jacksonville Jaguars,44,11,25.0,10,4,40.0,14,6,42.9
Atlanta Falcons,38,10,26.3,6,3,50.0,10,4,40.0
