Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Indianapolis Colts,10,321,3969,619,6.4,12,5,237,224,324,2516,15,7,7.3,131,274,1453,22,5.3,87,62,524,19,56.7,11.3,152.94
Detroit Lions,9,283,3352,554,6.1,6,3,184,203,276,2125,21,3,7.2,114,260,1227,13,4.7,62,55,392,8,46.9,6.1,113.15
Seattle Seahawks,9,275,3244,514,6.3,16,9,179,164,232,2215,17,7,9.2,97,272,1029,11,3.8,60,54,453,22,44.9,15.3,64.51
New England Patriots,10,265,3591,612,5.9,12,7,202,206,288,2414,19,5,7.5,117,289,1177,10,4.1,70,72,565,15,41.2,11.8,81.89
Dallas Cowboys,9,263,3406,580,5.9,11,4,207,234,338,2320,18,7,6.6,119,227,1086,10,4.8,62,73,610,26,47.4,11.6,106.89
Los Angeles Rams,9,251,3360,573,5.9,7,5,215,208,311,2339,25,2,7.2,126,248,1021,7,4.1,64,41,346,25,44.2,7.4,119.10
Buffalo Bills,9,248,3460,567,6.1,9,4,205,188,269,2081,15,5,7.2,108,278,1379,16,5.0,75,61,518,22,45.3,9.5,101.17
Los Angeles Chargers,10,240,3685,660,5.6,12,4,214,243,362,2454,19,8,6.2,123,264,1231,5,4.7,74,71,500,17,46.5,10.9,58.03
Chicago Bears,9,239,3418,576,5.9,6,2,188,182,299,2092,14,4,6.7,103,263,1326,11,5.0,71,74,601,14,45.5,6.1,60.86
Denver Broncos,10,235,3346,631,5.3,12,4,191,213,350,2060,18,8,5.7,107,270,1286,10,4.8,64,83,736,20,33.9,8.5,39.34
Kansas City Chiefs,9,235,3331,578,5.8,5,0,205,204,316,2240,17,5,6.7,117,245,1091,11,4.5,75,59,508,13,50.0,6.0,108.25
Baltimore Ravens,9,229,2869,506,5.7,10,5,168,164,237,1633,16,5,6.2,83,244,1236,9,5.1,69,54,437,16,43.2,10.5,37.09
Washington Commanders,10,223,3253,579,5.6,12,6,183,177,278,1901,14,6,6.3,90,275,1352,12,4.9,71,72,612,22,37.1,11.3,38.86
Tampa Bay Buccaneers,9,220,2955,556,5.3,5,3,175,200,312,2057,16,2,6.2,100,225,898,6,4.0,54,56,437,21,41.2,5.2,35.99
San Francisco 49ers,10,220,3562,650,5.5,15,5,216,249,362,2614,17,10,6.9,139,270,948,6,3.5,63,61,467,14,42.6,14.9,50.20
Philadelphia Eagles,9,218,2729,518,5.3,4,3,156,166,241,1725,16,1,6.5,81,252,1004,9,4.0,63,61,547,12,35.6,4.4,52.77
New York Giants,10,217,3329,639,5.2,10,4,205,197,323,2099,13,6,5.9,94,285,1230,13,4.3,83,79,652,28,37.9,9.7,38.48
Cincinnati Bengals,9,216,2774,524,5.3,14,4,174,213,333,2065,19,10,5.8,106,169,709,5,4.2,46,47,318,22,38.1,14.4,27.93
Green Bay Packers,9,213,3144,555,5.7,7,4,185,197,286,2137,13,3,7.1,106,255,1007,11,3.9,61,66,488,18,43.3,7.8,87.29
Pittsburgh Steelers,9,212,2526,495,5.1,10,3,150,185,276,1755,18,7,6.0,80,201,771,5,3.8,53,54,393,17,40.4,9.1,17.04
Miami Dolphins,10,210,2993,559,5.4,17,4,172,211,310,1921,17,13,5.8,108,229,1072,6,4.7,53,63,523,11,38.1,16.5,25.72
Jacksonville Jaguars,9,205,2924,590,5.0,9,2,179,188,316,1841,10,7,5.4,92,248,1083,10,4.4,66,83,698,21,37.1,9.3,8.76
Houston Texans,9,204,2981,578,5.2,9,3,173,207,321,1980,13,6,5.8,103,236,1001,5,4.2,48,67,536,22,41.4,8.1,17.89
Arizona Cardinals,9,202,2847,579,4.9,10,6,177,205,318,1826,14,4,5.2,107,227,1021,7,4.5,53,61,440,17,39.6,9.9,24.56
Minnesota Vikings,9,201,2699,520,5.2,16,5,160,174,286,1780,12,11,5.6,90,200,919,7,4.6,50,75,591,20,37.4,14.1,-15.85
New York Jets,9,195,2570,536,4.8,11,7,160,157,248,1294,10,4,4.6,77,254,1276,6,5.0,69,60,479,14,36.5,9.4,-22.28
Carolina Panthers,10,177,2971,620,4.8,15,7,198,191,306,1640,12,8,5.0,101,292,1331,7,4.6,74,52,414,23,33.7,14.3,-0.30
Atlanta Falcons,9,168,2977,553,5.4,8,5,174,179,298,1903,9,3,6.1,99,241,1074,9,4.5,59,49,381,16,33.0,8.2,15.61
New Orleans Saints,10,155,2972,615,4.8,15,7,180,226,343,2044,11,8,5.6,99,249,928,3,3.7,57,74,525,24,30.4,13.7,-22.03
Cleveland Browns,9,146,2386,582,4.1,10,2,157,195,334,1512,9,8,4.2,78,222,874,6,3.9,57,63,497,22,26.5,9.8,-65.05
Las Vegas Raiders,9,139,2454,511,4.8,14,2,147,180,270,1667,11,12,5.6,89,214,787,4,3.7,42,63,502,16,27.8,14.4,-43.06
Tennessee Titans,9,130,2196,516,4.3,13,7,137,170,295,1465,5,6,4.4,88,183,731,3,4.0,38,61,474,11,26.8,13.4,-81.62
