Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Los Angeles Rams,15,457,5951,953,6.2,12,7,355,341,520,4057,40,5,7.5,210,414,1894,17,4.6,112,67,518,33,46.9,7.5,202.71
Detroit Lions,15,452,5680,927,6.1,8,3,304,349,511,3829,33,5,7.1,195,385,1851,21,4.8,94,93,658,15,46.1,4.8,169.57
Seattle Seahawks,15,443,5324,882,6.0,26,12,298,287,428,3571,24,14,7.9,160,432,1753,16,4.1,106,91,728,32,46.6,14.7,76.52
Buffalo Bills,15,434,5596,937,6.0,18,8,324,299,431,3213,25,10,6.9,169,471,2383,27,5.1,126,94,780,29,46.1,11.0,165.96
Dallas Cowboys,15,424,5897,979,6.0,19,8,347,386,563,4115,29,11,7.0,208,391,1782,15,4.6,101,113,953,38,48.4,12.1,158.11
Indianapolis Colts,15,419,5322,899,5.9,18,7,317,321,481,3460,22,11,6.8,179,392,1862,25,4.8,110,92,744,28,50.7,10.8,142.45
New England Patriots,15,410,5552,926,6.0,16,8,310,322,455,3759,25,8,7.5,182,424,1793,17,4.2,107,93,782,21,44.7,10.5,141.91
Jacksonville Jaguars,15,410,5046,967,5.2,16,5,311,297,494,3275,26,11,6.2,167,436,1771,19,4.1,111,119,1005,33,41.4,9.5,55.39
San Francisco 49ers,15,392,5305,972,5.5,20,6,338,355,514,3741,30,14,7.0,212,435,1564,12,3.6,105,75,565,21,48.7,13.2,115.77
Chicago Bears,15,387,5572,987,5.6,10,4,316,289,499,3291,24,6,6.3,164,465,2281,17,4.9,131,109,906,21,44.0,6.0,88.13
Pittsburgh Steelers,15,365,4515,850,5.3,15,6,262,313,464,2990,25,9,6.1,137,359,1525,14,4.2,96,92,724,29,39.7,9.0,60.80
Green Bay Packers,15,364,5170,916,5.6,11,5,304,303,453,3340,25,6,7.0,167,440,1830,16,4.2,110,96,733,27,45.6,7.5,156.39
Denver Broncos,15,362,5282,963,5.5,16,6,299,348,552,3508,24,10,6.2,178,393,1774,17,4.5,95,118,1087,26,37.5,8.3,83.88
Cincinnati Bengals,15,359,4803,917,5.2,22,6,299,356,565,3474,31,16,5.8,180,321,1329,8,4.1,84,77,555,35,39.6,13.8,24.21
Baltimore Ravens,15,359,4874,852,5.7,22,12,272,251,384,2656,19,10,6.2,130,427,2218,19,5.2,118,84,623,24,40.9,13.2,45.16
Los Angeles Chargers,15,349,5183,967,5.4,18,6,302,326,493,3303,25,12,6.1,167,423,1880,9,4.4,109,96,737,26,46.4,10.6,59.84
Philadelphia Eagles,15,349,4794,894,5.4,14,8,277,284,430,2968,24,6,6.4,147,433,1826,16,4.2,105,105,914,25,35.9,7.1,73.45
Tampa Bay Buccaneers,15,347,4729,939,5.0,12,4,290,302,492,2975,23,8,5.7,148,414,1754,13,4.2,103,84,647,39,39.8,7.5,33.38
Houston Texans,15,346,4858,962,5.0,10,3,285,331,522,3258,21,7,5.9,167,409,1600,8,3.9,84,103,842,34,41.9,5.4,37.02
Kansas City Chiefs,15,337,5144,957,5.4,13,1,317,332,531,3498,22,12,6.1,179,388,1646,15,4.2,113,110,896,25,43.8,8.9,116.32
Arizona Cardinals,15,321,4988,967,5.2,19,9,303,383,580,3526,25,10,5.6,194,338,1462,9,4.3,84,103,746,25,37.3,11.1,35.02
Miami Dolphins,15,317,4634,841,5.5,22,5,265,292,432,2798,20,17,6.0,161,377,1836,14,4.9,92,84,682,12,37.9,13.7,34.87
New York Giants,15,313,4946,953,5.2,16,6,300,279,463,3067,19,10,6.1,137,448,1879,18,4.2,122,113,954,41,35.5,9.9,46.14
Washington Commanders,15,309,4817,886,5.4,21,10,281,258,424,2808,18,11,6.1,140,427,2009,16,4.7,109,103,823,32,35.9,13.1,35.10
Atlanta Falcons,15,307,5108,934,5.5,17,10,301,301,493,3238,17,7,6.3,165,419,1870,16,4.5,106,96,735,30,36.6,9.3,37.32
Minnesota Vikings,15,305,4151,839,4.9,29,8,259,268,437,2605,18,21,5.3,141,351,1546,12,4.4,88,106,846,30,35.6,16.3,-36.90
Carolina Panthers,15,287,4601,910,5.1,18,8,280,291,456,2742,22,10,5.6,154,421,1859,8,4.4,102,87,696,24,36.8,11.8,26.19
New York Jets,15,282,4052,901,4.5,22,10,249,267,438,2189,14,12,4.4,125,405,1863,10,4.6,105,101,829,19,31.3,12.3,-84.29
New Orleans Saints,15,255,4568,958,4.8,21,10,287,352,529,3176,16,11,5.6,162,386,1392,7,3.6,91,106,796,34,32.5,13.0,-26.66
Tennessee Titans,15,251,3883,879,4.4,17,10,233,299,497,2479,13,7,4.5,139,331,1404,8,4.2,75,120,909,19,28.9,10.1,-91.01
Cleveland Browns,15,246,3994,928,4.3,22,6,246,295,513,2541,15,16,4.6,121,372,1453,10,3.9,93,98,755,32,25.7,12.0,-130.90
Las Vegas Raiders,15,217,3733,833,4.5,19,3,230,307,459,2597,19,16,5.0,148,317,1136,5,3.6,57,101,850,25,25.6,11.9,-89.18
