Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Indianapolis Colts,10,321,3969,619,6.4,12,5,237,224,324,2516,15,7,7.3,131,274,1453,22,5.3,87,62,524,19,56.7,11.3,152.94
Dallas Cowboys,10,296,3787,645,5.9,12,5,231,259,371,2587,22,7,6.7,135,258,1200,10,4.7,69,79,660,27,47.6,11.4,116.14
Seattle Seahawks,10,294,3658,593,6.2,20,9,205,193,276,2494,17,11,8.7,112,307,1164,12,3.8,69,60,500,24,44.5,17.3,57.66
Buffalo Bills,10,292,3874,620,6.2,12,5,224,207,299,2398,18,7,7.5,121,301,1476,19,4.9,79,68,563,24,47.2,10.4,120.50
New England Patriots,11,292,3927,674,5.8,12,7,225,231,322,2685,20,5,7.5,133,316,1242,12,3.9,74,74,585,18,42.0,10.7,96.52
Detroit Lions,10,292,3669,614,6.0,7,3,197,217,313,2368,22,4,7.1,124,281,1301,13,4.6,65,60,440,8,43.2,6.3,94.97
Los Angeles Rams,10,272,3609,623,5.8,8,6,227,223,339,2469,27,2,7.0,132,270,1140,8,4.2,69,47,389,26,42.5,7.5,115.03
San Francisco 49ers,11,261,3843,702,5.5,15,5,240,268,388,2800,20,10,6.9,152,295,1043,8,3.5,71,62,482,17,45.1,13.3,59.47
Chicago Bears,10,258,3738,649,5.8,6,2,207,198,331,2272,14,4,6.5,109,302,1466,12,4.9,84,80,641,14,45.0,5.4,56.93
Denver Broncos,11,257,3688,692,5.3,12,4,207,237,388,2343,18,8,5.8,118,291,1345,11,4.6,69,93,883,20,35.9,7.8,42.74
Kansas City Chiefs,10,254,3642,640,5.7,6,0,224,233,361,2489,18,6,6.5,130,259,1153,12,4.5,78,69,577,16,48.9,6.4,118.29
Tampa Bay Buccaneers,10,252,3322,624,5.3,7,4,196,216,340,2222,17,3,6.2,106,264,1100,9,4.2,67,58,467,23,41.8,6.4,41.14
Baltimore Ravens,10,252,3220,566,5.7,13,6,185,178,262,1800,16,7,6.2,92,274,1420,11,5.2,77,58,463,16,43.0,11.2,32.88
Los Angeles Chargers,11,246,3820,705,5.4,13,4,222,256,388,2547,19,9,6.0,127,280,1273,5,4.5,77,76,571,18,44.5,10.9,37.90
Pittsburgh Steelers,10,246,2869,555,5.2,10,3,172,206,307,1987,20,7,6.1,93,229,882,5,3.9,59,62,469,20,41.1,8.4,30.91
Green Bay Packers,10,240,3440,606,5.7,7,4,204,212,312,2305,16,3,7.0,117,278,1135,12,4.1,68,71,536,19,43.9,7.1,104.95
Jacksonville Jaguars,10,240,3269,659,5.0,10,2,209,202,338,1994,11,8,5.5,103,295,1275,14,4.3,82,84,703,24,38.3,9.3,27.29
New York Giants,11,237,3665,708,5.2,12,5,227,216,352,2293,13,7,6.0,104,323,1372,16,4.2,93,85,729,30,37.5,10.7,49.16
Washington Commanders,11,236,3632,643,5.6,14,7,205,197,308,2108,15,7,6.3,100,308,1524,12,4.9,80,78,643,25,37.1,11.4,44.05
Philadelphia Eagles,10,234,3001,587,5.1,4,3,172,180,269,1849,16,1,6.3,87,292,1152,10,3.9,70,70,625,15,35.0,3.9,42.50
Cincinnati Bengals,10,228,3071,587,5.2,16,5,191,236,373,2257,20,11,5.7,115,191,814,5,4.3,52,55,385,24,37.4,15.0,13.92
Miami Dolphins,11,226,3304,613,5.4,17,4,191,225,330,2063,17,13,5.8,116,260,1241,7,4.8,64,67,562,11,38.7,15.1,24.86
Arizona Cardinals,10,224,3335,650,5.1,13,7,201,252,375,2278,16,6,5.6,125,241,1057,8,4.4,58,78,570,18,39.2,11.8,24.62
Houston Texans,10,220,3296,646,5.1,9,3,193,233,362,2220,14,6,5.7,116,259,1076,5,4.2,53,72,589,24,40.9,7.3,15.63
Minnesota Vikings,10,218,2964,574,5.2,18,5,175,190,318,1930,13,13,5.5,100,222,1034,8,4.7,54,77,606,21,36.0,14.4,-20.47
New York Jets,10,209,2815,593,4.7,12,8,175,172,275,1399,11,4,4.5,82,282,1416,7,5.0,79,67,541,14,35.2,9.5,-25.71
Carolina Panthers,11,207,3457,695,5.0,15,7,220,222,351,2059,15,8,5.4,121,317,1398,7,4.4,76,60,463,23,35.5,12.7,9.97
Atlanta Falcons,10,195,3325,611,5.4,9,6,197,198,328,2126,9,3,6.2,110,269,1199,12,4.5,67,55,425,20,34.3,7.4,25.76
Cleveland Browns,10,162,2573,636,4.0,11,2,167,206,360,1593,9,9,4.1,82,247,980,6,4.0,62,68,538,23,26.3,9.6,-86.40
New Orleans Saints,10,155,2972,615,4.8,15,7,180,226,343,2044,11,8,5.6,99,249,928,3,3.7,57,74,525,24,30.4,13.7,-22.03
Las Vegas Raiders,10,155,2690,569,4.7,15,2,164,207,312,1876,12,13,5.5,101,226,814,4,3.6,46,69,542,17,28.7,13.9,-51.23
Tennessee Titans,10,143,2425,573,4.2,14,8,151,194,332,1636,6,6,4.4,98,200,789,3,3.9,40,70,536,13,27.1,13.1,-89.05
