Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,69,22,31.9,9,5,55.6,25,16,64.0
Houston Texans,84,27,32.1,7,4,57.1,17,12,70.6
Arizona Cardinals,85,30,35.3,13,7,53.8,25,15,60.0
New England Patriots,85,31,36.5,11,3,27.3,17,12,70.6
Minnesota Vikings,86,31,36.0,8,5,62.5,21,11,52.4
Atlanta Falcons,81,32,39.5,10,7,70.0,16,11,68.8
Green Bay Packers,94,32,34.0,15,9,60.0,19,12,63.2
Denver Broncos,107,32,29.9,8,4,50.0,20,8,40.0
Detroit Lions,85,32,37.6,13,6,46.2,22,14,63.6
Buffalo Bills,82,33,40.2,8,5,62.5,20,11,55.0
Kansas City Chiefs,86,33,38.4,16,4,25.0,19,11,57.9
Jacksonville Jaguars,88,34,38.6,7,4,57.1,21,13,61.9
Los Angeles Rams,100,34,34.0,23,14,60.9,20,8,40.0
New Orleans Saints,95,35,36.8,11,6,54.5,26,15,57.7
Seattle Seahawks,101,36,35.6,14,8,57.1,22,11,50.0
New York Giants,97,36,37.1,8,7,87.5,25,17,68.0
San Francisco 49ers,95,37,38.9,11,7,63.6,25,13,52.0
New York Jets,103,37,35.9,9,7,77.8,29,17,58.6
Cleveland Browns,104,38,36.5,6,3,50.0,23,14,60.9
Los Angeles Chargers,100,38,38.0,13,9,69.2,27,14,51.9
Tennessee Titans,100,40,40.0,12,10,83.3,30,18,60.0
Washington Commanders,102,40,39.2,12,7,58.3,28,18,64.3
Tampa Bay Buccaneers,103,40,38.8,18,8,44.4,19,12,63.2
Las Vegas Raiders,89,40,44.9,8,6,75.0,26,16,61.5
Carolina Panthers,95,40,42.1,11,7,63.6,24,14,58.3
Pittsburgh Steelers,98,41,41.8,18,12,66.7,28,14,50.0
Miami Dolphins,95,41,43.2,13,10,76.9,33,17,51.5
Baltimore Ravens,97,43,44.3,15,11,73.3,33,22,66.7
Philadelphia Eagles,105,45,42.9,10,5,50.0,26,12,46.2
Cincinnati Bengals,99,48,48.5,10,6,60.0,37,26,70.3
Indianapolis Colts,104,49,47.1,16,8,50.0,26,16,61.5
Dallas Cowboys,103,54,52.4,10,5,50.0,32,22,68.8
