Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,184,65,35.3,25,13,52.0,46,23,50.0
New Orleans Saints,199,69,34.7,33,17,51.5,44,24,54.5
San Francisco 49ers,179,71,39.7,21,12,57.1,49,28,57.1
New England Patriots,187,72,38.5,29,10,34.5,37,26,70.3
Chicago Bears,178,72,40.4,23,11,47.8,53,31,58.5
Houston Texans,206,72,35.0,20,9,45.0,40,23,57.5
Seattle Seahawks,225,73,32.4,43,23,53.5,51,26,51.0
New York Jets,199,73,36.7,17,13,76.5,62,39,62.9
Denver Broncos,217,73,33.6,22,11,50.0,45,20,44.4
Los Angeles Rams,202,73,36.1,40,22,55.0,47,22,46.8
Minnesota Vikings,211,74,35.1,24,16,66.7,48,21,43.8
Detroit Lions,203,75,36.9,30,20,66.7,51,30,58.8
New York Giants,191,76,39.8,20,15,75.0,53,34,64.2
Tennessee Titans,195,77,39.5,16,12,75.0,55,35,63.6
Cleveland Browns,215,77,35.8,17,6,35.3,46,26,56.5
Atlanta Falcons,189,77,40.7,25,15,60.0,45,25,55.6
Baltimore Ravens,214,78,36.4,39,22,56.4,59,30,50.8
Miami Dolphins,198,78,39.4,27,20,74.1,57,33,57.9
Tampa Bay Buccaneers,192,78,40.6,28,12,42.9,41,28,68.3
Buffalo Bills,190,79,41.6,16,9,56.3,46,27,58.7
Arizona Cardinals,193,81,42.0,24,11,45.8,64,41,64.1
Washington Commanders,199,82,41.2,29,20,69.0,59,40,67.8
Jacksonville Jaguars,204,84,41.2,28,10,35.7,46,27,58.7
Green Bay Packers,208,84,40.4,35,19,54.3,48,30,62.5
Cincinnati Bengals,191,84,44.0,26,17,65.4,61,39,63.9
Philadelphia Eagles,216,86,39.8,28,10,35.7,45,23,51.1
Dallas Cowboys,187,87,46.5,21,13,61.9,61,42,68.9
Indianapolis Colts,206,89,43.2,28,15,53.6,64,34,53.1
Carolina Panthers,195,91,46.7,22,14,63.6,55,31,56.4
Kansas City Chiefs,209,94,45.0,21,6,28.6,49,27,55.1
Pittsburgh Steelers,224,94,42.0,36,26,72.2,55,28,50.9
Las Vegas Raiders,212,103,48.6,20,12,60.0,62,37,59.7
