Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,148,78,52.7,11,9,81.8,43,24,55.8
Tampa Bay Buccaneers,135,68,50.4,9,5,55.6,43,30,69.8
Cincinnati Bengals,146,66,45.2,14,9,64.3,33,23,69.7
Philadelphia Eagles,151,65,43.0,19,12,63.2,43,24,55.8
Washington Commanders,147,62,42.2,14,12,85.7,48,28,58.3
Baltimore Ravens,132,62,47.0,10,7,70.0,47,37,78.7
Pittsburgh Steelers,157,61,38.9,14,7,50.0,38,17,44.7
Houston Texans,165,61,37.0,12,8,66.7,42,23,54.8
Denver Broncos,161,60,37.3,17,10,58.8,40,23,57.5
Detroit Lions,126,59,46.8,16,10,62.5,45,31,68.9
Miami Dolphins,141,59,41.8,18,5,27.8,33,19,57.6
New York Giants,153,58,37.9,21,12,57.1,31,12,38.7
Los Angeles Chargers,148,57,38.5,8,6,75.0,28,16,57.1
San Francisco 49ers,129,57,44.2,9,3,33.3,42,21,50.0
New York Jets,141,56,39.7,10,3,30.0,34,18,52.9
New England Patriots,164,56,34.1,16,10,62.5,32,15,46.9
Buffalo Bills,131,55,42.0,14,12,85.7,47,30,63.8
New Orleans Saints,141,55,39.0,16,9,56.3,34,21,61.8
Indianapolis Colts,150,54,36.0,17,10,58.8,36,19,52.8
Minnesota Vikings,129,52,40.3,7,4,57.1,39,21,53.8
Las Vegas Raiders,144,51,35.4,17,8,47.1,30,15,50.0
Seattle Seahawks,135,51,37.8,16,8,50.0,27,15,55.6
Chicago Bears,155,50,32.3,26,17,65.4,26,17,65.4
Dallas Cowboys,143,49,34.3,23,8,34.8,28,12,42.9
Atlanta Falcons,131,49,37.4,19,14,73.7,32,17,53.1
Arizona Cardinals,116,48,41.4,11,4,36.4,32,19,59.4
Green Bay Packers,125,47,37.6,10,5,50.0,44,24,54.5
Tennessee Titans,139,46,33.1,14,6,42.9,30,15,50.0
Carolina Panthers,133,45,33.8,20,7,35.0,31,18,58.1
Cleveland Browns,152,41,27.0,28,18,64.3,21,12,57.1
Los Angeles Rams,123,39,31.7,17,11,64.7,40,20,50.0
Jacksonville Jaguars,119,38,31.9,20,10,50.0,34,19,55.9
