Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
New England Patriots,146,52,35.6,22,7,31.8,26,19,73.1
Los Angeles Chargers,151,52,34.4,22,12,54.5,40,21,52.5
Denver Broncos,178,55,30.9,17,9,52.9,35,14,40.0
New Orleans Saints,155,55,35.5,23,11,47.8,39,22,56.4
Houston Texans,165,55,33.3,17,8,47.1,31,18,58.1
Chicago Bears,142,55,38.7,18,9,50.0,42,26,61.9
San Francisco 49ers,148,57,38.5,16,8,50.0,41,23,56.1
Arizona Cardinals,151,57,37.7,18,8,44.4,50,30,60.0
New York Jets,164,57,34.8,13,10,76.9,48,30,62.5
Seattle Seahawks,181,59,32.6,35,19,54.3,42,21,50.0
Detroit Lions,165,62,37.6,25,15,60.0,41,25,61.0
Tennessee Titans,160,62,38.8,15,11,73.3,46,29,63.0
Miami Dolphins,160,62,38.8,21,14,66.7,45,22,48.9
New York Giants,155,63,40.6,14,10,71.4,47,31,66.0
Tampa Bay Buccaneers,157,63,40.1,27,11,40.7,32,22,68.8
Buffalo Bills,153,63,41.2,14,9,64.3,37,22,59.5
Los Angeles Rams,177,64,36.2,38,20,52.6,40,17,42.5
Minnesota Vikings,175,65,37.1,15,10,66.7,39,18,46.2
Atlanta Falcons,167,66,39.5,25,15,60.0,40,22,55.0
Jacksonville Jaguars,164,67,40.9,21,8,38.1,39,23,59.0
Cleveland Browns,179,67,37.4,10,5,50.0,37,21,56.8
Green Bay Packers,172,68,39.5,28,15,53.6,36,21,58.3
Baltimore Ravens,181,68,37.6,29,17,58.6,53,28,52.8
Carolina Panthers,154,68,44.2,19,13,68.4,43,24,55.8
Washington Commanders,158,68,43.0,19,12,63.2,50,32,64.0
Kansas City Chiefs,160,69,43.1,18,5,27.8,39,21,53.8
Indianapolis Colts,168,73,43.5,24,12,50.0,51,28,54.9
Philadelphia Eagles,179,75,41.9,23,7,30.4,39,19,48.7
Dallas Cowboys,161,77,47.8,17,10,58.8,50,36,72.0
Cincinnati Bengals,161,77,47.8,20,13,65.0,56,36,64.3
Las Vegas Raiders,171,80,46.8,18,11,61.1,50,30,60.0
Pittsburgh Steelers,190,82,43.2,32,24,75.0,48,25,52.1
