Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Jacksonville Jaguars,8,1,12.5,2,1,50.0,2,0,0.0
Tennessee Titans,12,2,16.7,2,2,100.0,3,2,66.7
San Francisco 49ers,9,2,22.2,3,1,33.3,3,1,33.3
Pittsburgh Steelers,12,2,16.7,0,0,,0,0,
New England Patriots,11,2,18.2,1,1,100.0,2,0,0.0
Kansas City Chiefs,12,2,16.7,1,0,0.0,2,1,50.0
Arizona Cardinals,8,2,25.0,3,0,0.0,3,2,66.7
Las Vegas Raiders,10,2,20.0,1,0,0.0,3,1,33.3
Atlanta Falcons,13,3,23.1,2,0,0.0,2,1,50.0
Minnesota Vikings,12,3,25.0,2,0,0.0,4,1,25.0
Houston Texans,9,3,33.3,1,0,0.0,3,1,33.3
Baltimore Ravens,10,3,30.0,1,0,0.0,3,3,100.0
Indianapolis Colts,9,3,33.3,1,0,0.0,4,3,75.0
Chicago Bears,9,4,44.4,1,0,0.0,4,4,100.0
New York Jets,12,4,33.3,0,0,,1,1,100.0
Seattle Seahawks,16,5,31.3,2,2,100.0,2,1,50.0
Miami Dolphins,13,5,38.5,1,1,100.0,4,3,75.0
Cleveland Browns,10,5,50.0,0,0,,2,2,100.0
New Orleans Saints,13,5,38.5,0,0,,5,4,80.0
Cincinnati Bengals,10,5,50.0,0,0,,4,2,50.0
Philadelphia Eagles,15,5,33.3,2,2,100.0,3,3,100.0
Los Angeles Chargers,14,6,42.9,0,0,,5,2,40.0
Washington Commanders,14,6,42.9,0,0,,3,2,66.7
Los Angeles Rams,12,7,58.3,0,0,,3,2,66.7
Buffalo Bills,16,7,43.8,2,2,100.0,5,4,80.0
New York Giants,11,8,72.7,0,0,,3,3,100.0
Green Bay Packers,15,8,53.3,0,0,,4,4,100.0
Detroit Lions,17,8,47.1,2,2,100.0,5,4,80.0
Tampa Bay Buccaneers,14,8,57.1,0,0,,5,2,40.0
Denver Broncos,17,9,52.9,3,2,66.7,5,3,60.0
Dallas Cowboys,11,9,81.8,0,0,,4,4,100.0
Carolina Panthers,14,10,71.4,1,0,0.0,4,4,100.0
