Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,164,85,51.8,11,9,81.8,48,25,52.1
Washington Commanders,161,71,44.1,15,13,86.7,55,33,60.0
Tampa Bay Buccaneers,147,70,47.6,10,6,60.0,48,32,66.7
Cincinnati Bengals,154,70,45.5,14,9,64.3,38,27,71.1
Philadelphia Eagles,163,69,42.3,20,13,65.0,46,26,56.5
Baltimore Ravens,147,68,46.3,12,8,66.7,52,39,75.0
Denver Broncos,174,66,37.9,17,10,58.8,44,25,56.8
Houston Texans,178,66,37.1,13,9,69.2,45,24,53.3
Pittsburgh Steelers,166,65,39.2,14,7,50.0,42,19,45.2
Detroit Lions,140,64,45.7,17,11,64.7,50,33,66.0
Miami Dolphins,155,63,40.6,23,8,34.8,37,21,56.8
New England Patriots,175,62,35.4,16,10,62.5,38,17,44.7
Buffalo Bills,143,61,42.7,15,13,86.7,51,34,66.7
New York Jets,154,61,39.6,13,4,30.8,37,20,54.1
New York Giants,165,61,37.0,22,13,59.1,33,14,42.4
New Orleans Saints,156,60,38.5,19,11,57.9,36,21,58.3
San Francisco 49ers,139,60,43.2,10,4,40.0,45,22,48.9
Los Angeles Chargers,159,60,37.7,9,6,66.7,30,16,53.3
Indianapolis Colts,161,59,36.6,20,13,65.0,40,22,55.0
Chicago Bears,170,57,33.5,28,17,60.7,27,18,66.7
Dallas Cowboys,158,56,35.4,24,8,33.3,32,14,43.8
Seattle Seahawks,148,55,37.2,18,9,50.0,30,17,56.7
Las Vegas Raiders,156,54,34.6,18,8,44.4,31,15,48.4
Minnesota Vikings,137,53,38.7,8,5,62.5,43,23,53.5
Arizona Cardinals,129,53,41.1,12,4,33.3,38,20,52.6
Atlanta Falcons,145,52,35.9,23,16,69.6,36,18,50.0
Green Bay Packers,136,52,38.2,10,5,50.0,49,27,55.1
Tennessee Titans,151,51,33.8,15,6,40.0,32,16,50.0
Carolina Panthers,149,51,34.2,20,7,35.0,35,19,54.3
Cleveland Browns,171,50,29.2,30,20,66.7,25,15,60.0
Los Angeles Rams,132,43,32.6,19,12,63.2,43,23,53.5
Jacksonville Jaguars,134,43,32.1,22,12,54.5,38,21,55.3
