Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,51,1122,241,4.7,3,1,70,76,133,713,3,2,5.0,40,97,409,4,4.2,20,27,210,10,19.0,7.1,8.81
Seattle Seahawks,67,1188,265,4.5,7,0,76,101,152,829,6,7,5.1,46,101,359,0,3.6,19,29,199,11,30.4,15.2,2.92
Denver Broncos,67,1141,245,4.7,4,3,71,77,134,744,2,1,5.0,41,96,397,2,4.1,17,38,289,13,37.8,6.7,14.26
Los Angeles Chargers,71,1080,240,4.5,3,0,62,76,128,635,3,3,4.5,28,99,445,3,4.5,27,33,251,7,39.0,7.3,12.57
Jacksonville Jaguars,72,1265,248,5.1,13,4,74,93,156,934,7,9,5.7,50,85,331,1,3.9,15,19,184,9,28.9,28.9,15.28
Arizona Cardinals,74,1406,272,5.2,4,2,86,107,168,1022,5,2,5.8,56,96,384,2,4.0,19,31,315,11,40.0,7.5,-10.68
San Francisco 49ers,75,1122,244,4.6,3,3,69,84,123,660,5,0,5.2,34,116,462,2,4.0,27,28,195,8,31.0,7.1,-0.96
Kansas City Chiefs,76,1251,234,5.3,4,1,75,81,121,743,4,3,5.7,37,103,508,4,4.9,30,25,235,8,40.5,10.8,-6.21
Minnesota Vikings,80,1127,231,4.9,7,5,70,71,105,606,3,2,5.2,27,115,521,4,4.5,33,26,236,10,31.9,14.9,27.31
Los Angeles Rams,81,1138,240,4.7,7,4,72,83,125,744,5,3,5.4,37,101,394,2,3.9,27,37,280,8,35.7,16.7,8.46
New England Patriots,81,1276,228,5.6,3,0,75,89,125,966,7,3,7.2,48,93,310,2,3.3,19,32,230,8,32.5,7.5,-15.55
Indianapolis Colts,83,1279,235,5.4,6,2,80,93,140,895,8,4,6.0,46,85,384,2,4.5,25,26,229,9,37.8,16.2,-17.57
Green Bay Packers,84,1133,254,4.5,2,0,72,107,157,823,6,2,4.9,47,86,310,3,3.6,18,31,255,7,37.5,5.0,-4.42
Atlanta Falcons,86,976,208,4.7,6,3,58,60,104,540,5,3,4.7,32,94,436,2,4.6,22,25,215,4,44.7,10.5,-2.14
Detroit Lions,88,1172,230,5.1,6,3,70,74,118,796,7,3,6.0,41,98,376,4,3.8,22,21,144,7,33.3,13.3,0.90
Philadelphia Eagles,88,1333,247,5.4,5,2,79,78,137,829,5,3,5.8,33,105,504,3,4.8,32,19,168,14,43.9,12.2,-10.40
Buffalo Bills,90,1160,221,5.2,4,2,71,64,103,503,6,2,4.5,31,109,657,5,6.0,37,22,184,3,40.0,10.0,-11.70
Washington Commanders,91,1424,251,5.7,1,0,80,75,123,994,7,1,7.5,49,118,430,3,3.6,24,27,211,7,39.5,2.3,-21.55
Carolina Panthers,95,1310,225,5.8,5,1,68,73,117,793,4,4,6.7,38,106,517,5,4.9,28,33,266,2,38.5,12.8,-13.10
Tampa Bay Buccaneers,97,1091,238,4.6,2,1,72,81,126,751,6,1,5.5,46,102,340,3,3.3,17,29,264,9,37.2,4.7,3.82
Pittsburgh Steelers,98,1530,269,5.7,10,5,93,96,138,1042,7,5,6.9,50,117,488,4,4.2,37,24,220,6,40.0,22.5,-16.09
Las Vegas Raiders,99,1324,241,5.5,4,2,66,86,131,913,5,2,6.6,40,102,411,4,4.0,21,29,217,5,43.2,9.1,-9.70
New York Giants,101,1554,271,5.7,3,0,96,102,160,942,5,3,5.5,50,101,612,6,6.1,31,46,387,15,42.2,6.7,-40.72
Cleveland Browns,102,890,219,4.1,2,0,55,67,104,609,8,2,5.3,33,104,281,2,2.7,15,33,171,7,35.6,4.4,10.72
Chicago Bears,117,1518,226,6.7,9,2,79,84,114,860,10,7,7.2,40,107,658,4,6.1,32,20,139,7,43.5,19.6,-27.53
Miami Dolphins,118,1515,239,6.3,3,3,91,83,107,883,7,0,7.7,47,124,632,5,5.1,36,32,256,8,61.8,5.9,-58.45
Cincinnati Bengals,119,1591,279,5.7,5,0,94,100,153,1048,8,5,6.6,55,120,543,5,4.5,31,33,285,8,40.9,11.4,-36.32
New York Jets,120,1321,245,5.4,,0,82,73,111,799,7,0,6.8,47,128,522,4,4.1,23,30,259,12,54.8,0.0,-37.09
Tennessee Titans,120,1474,248,5.9,5,2,84,88,126,908,6,3,7.0,40,118,566,7,4.8,32,20,147,12,48.8,9.3,-38.79
New Orleans Saints,121,1296,240,5.4,3,2,84,79,111,821,9,1,6.7,47,118,475,4,4.0,26,33,219,11,48.8,7.3,-33.11
Dallas Cowboys,132,1682,263,6.4,2,1,93,99,135,1189,10,1,8.5,48,123,493,6,4.0,38,36,364,7,56.1,4.9,-75.69
Baltimore Ravens,133,1627,286,5.7,2,1,94,106,159,1062,9,1,6.5,54,123,565,7,4.6,36,24,188,4,53.3,4.4,-47.14
