Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Los Angeles Rams,179,3423,718,4.8,20,8,213,254,398,2293,13,12,5.3,119,289,1130,4,3.9,74,85,658,20,31.0,17.7,47.91
Houston Texans,182,2907,631,4.6,19,7,175,205,348,1893,10,12,5.0,101,250,1014,9,4.1,51,80,629,23,25.8,15.0,57.71
Denver Broncos,192,3018,686,4.4,9,3,189,214,369,2044,9,6,4.9,108,268,974,8,3.6,49,91,656,32,32.6,6.2,38.30
Kansas City Chiefs,201,3223,598,5.4,9,3,180,221,318,2149,11,6,6.3,99,258,1074,10,4.2,66,69,661,15,35.9,8.7,-10.43
Green Bay Packers,202,3066,670,4.6,11,5,195,242,368,2005,13,6,5.1,109,273,1061,8,3.9,64,66,598,22,37.5,9.6,-10.20
Seattle Seahawks,217,3311,713,4.6,13,4,206,261,413,2312,16,9,5.1,128,264,999,7,3.8,55,82,647,23,30.6,9.9,12.36
Philadelphia Eagles,225,3741,695,5.4,12,5,217,216,377,2475,11,7,6.2,111,296,1266,12,4.3,81,64,565,25,38.3,10.4,-16.88
New England Patriots,226,3614,682,5.3,13,5,221,262,396,2562,20,8,6.1,134,261,1052,4,4.0,66,83,640,21,33.1,10.7,-1.61
Indianapolis Colts,229,3770,723,5.2,16,5,244,270,422,2699,16,11,5.9,142,268,1071,9,4.0,75,66,566,27,37.5,14.3,-52.12
Los Angeles Chargers,238,3147,619,5.1,12,2,190,196,326,1895,10,10,5.3,94,264,1252,14,4.7,76,67,546,20,39.1,10.0,-23.05
Detroit Lions,243,3435,672,5.1,13,4,207,213,350,2316,21,9,6.1,119,290,1119,8,3.9,61,64,463,27,34.9,10.3,-17.76
Cleveland Browns,244,3003,642,4.7,15,6,177,199,304,1878,17,9,5.4,101,296,1125,5,3.8,57,92,633,19,33.3,10.3,53.84
Atlanta Falcons,249,3558,688,5.2,15,6,213,212,328,2094,17,9,5.7,115,321,1464,8,4.6,86,61,514,12,40.7,11.5,-30.67
Jacksonville Jaguars,250,3562,677,5.3,18,5,225,262,417,2640,22,13,6.0,142,239,922,7,3.9,54,74,653,29,34.5,14.3,-16.61
Buffalo Bills,252,3488,636,5.5,13,6,204,184,302,1850,12,7,5.6,97,308,1638,17,5.3,89,55,462,18,39.5,10.9,-42.73
Minnesota Vikings,255,3463,683,5.1,9,6,208,200,306,2047,14,3,6.1,92,350,1416,10,4.0,99,75,612,17,38.7,7.3,-14.46
Baltimore Ravens,261,3823,699,5.5,13,6,215,246,390,2530,16,7,6.2,127,291,1293,11,4.4,73,74,602,15,42.4,10.2,-30.98
San Francisco 49ers,261,4112,730,5.6,12,7,243,295,425,2901,22,5,6.6,144,292,1211,8,4.1,77,78,543,22,38.0,9.9,-77.42
Pittsburgh Steelers,263,4009,746,5.4,20,11,242,278,432,2846,19,9,6.1,136,280,1163,8,4.2,86,67,604,20,41.9,15.4,-39.54
Miami Dolphins,269,3848,655,5.9,12,9,223,231,317,2279,18,3,6.7,117,317,1569,10,4.9,79,77,614,27,44.9,9.3,-84.76
Carolina Panthers,269,3925,709,5.5,14,4,216,242,371,2534,14,10,6.5,125,322,1391,14,4.3,81,81,605,10,41.4,10.3,-67.51
New Orleans Saints,274,3477,673,5.2,13,7,219,210,307,2118,20,6,6.4,114,342,1359,9,4.0,84,79,615,21,41.6,11.5,-35.90
Las Vegas Raiders,277,3538,681,5.2,13,6,206,234,351,2401,17,7,6.5,113,310,1137,14,3.7,76,84,651,17,40.5,11.2,-40.76
Arizona Cardinals,283,3707,685,5.4,17,8,236,240,373,2451,16,9,6.2,137,290,1256,11,4.3,76,69,634,23,42.9,13.4,-34.40
Tampa Bay Buccaneers,284,3753,662,5.7,16,6,205,248,375,2679,19,10,6.7,134,260,1074,12,4.1,52,75,601,19,39.8,12.7,-33.83
New York Jets,291,3538,679,5.2,1,1,219,205,325,2131,18,0,6.2,120,335,1407,12,4.2,74,72,575,25,46.2,0.8,-74.78
Chicago Bears,292,3991,656,6.1,24,8,225,233,340,2472,22,16,6.8,119,293,1519,11,5.2,82,61,428,24,39.2,20.0,-62.95
Washington Commanders,296,4257,674,6.3,6,1,234,223,328,2744,22,5,7.8,137,321,1513,10,4.7,80,77,638,17,48.6,5.4,-123.43
Tennessee Titans,303,3878,665,5.8,10,5,219,232,332,2417,17,5,6.7,118,306,1461,16,4.8,80,61,431,21,44.9,6.8,-89.88
Dallas Cowboys,314,4152,702,5.9,10,5,247,258,379,2775,24,5,6.9,136,298,1377,13,4.6,93,92,788,18,46.2,7.6,-110.16
New York Giants,334,4620,767,6.0,7,2,272,272,423,2734,21,5,6.1,147,318,1886,17,5.9,95,97,821,30,44.6,5.4,-147.05
Cincinnati Bengals,360,4574,727,6.3,10,1,258,249,373,2858,26,9,7.4,148,339,1716,12,5.1,92,76,636,18,49.6,8.7,-158.85
