Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
San Francisco 49ers,70,32,45.7,8,6,75.0,19,8,42.1
Los Angeles Chargers,69,32,46.4,5,3,60.0,13,5,38.5
Green Bay Packers,54,29,53.7,3,2,66.7,17,12,70.6
Miami Dolphins,60,28,46.7,7,4,57.1,13,10,76.9
Indianapolis Colts,58,27,46.6,8,6,75.0,25,15,60.0
Arizona Cardinals,68,27,39.7,4,4,100.0,17,10,58.8
Las Vegas Raiders,67,27,40.3,9,4,44.4,14,5,35.7
Tampa Bay Buccaneers,65,27,41.5,5,3,60.0,17,8,47.1
Kansas City Chiefs,65,27,41.5,10,9,90.0,19,12,63.2
New Orleans Saints,68,26,38.2,9,3,33.3,17,7,41.2
Buffalo Bills,59,26,44.1,4,3,75.0,22,14,63.6
Carolina Panthers,66,26,39.4,13,8,61.5,15,10,66.7
Cleveland Browns,76,26,34.2,12,8,66.7,12,8,66.7
Dallas Cowboys,60,26,43.3,6,4,66.7,19,13,68.4
Chicago Bears,55,25,45.5,5,2,40.0,11,7,63.6
Denver Broncos,67,25,37.3,5,2,40.0,15,10,66.7
Philadelphia Eagles,66,25,37.9,7,5,71.4,13,12,92.3
Jacksonville Jaguars,63,24,38.1,6,3,50.0,20,11,55.0
Seattle Seahawks,55,24,43.6,4,2,50.0,18,13,72.2
Detroit Lions,61,24,39.3,9,7,77.8,25,19,76.0
New England Patriots,57,23,40.4,8,7,87.5,19,12,63.2
Los Angeles Rams,57,23,40.4,8,5,62.5,21,11,52.4
Atlanta Falcons,55,23,41.8,8,4,50.0,13,6,46.2
Cincinnati Bengals,61,22,36.1,1,1,100.0,11,8,72.7
New York Jets,61,21,34.4,13,7,53.8,13,8,61.5
New York Giants,65,21,32.3,14,6,42.9,19,6,31.6
Baltimore Ravens,52,21,40.4,6,2,33.3,15,8,53.3
Houston Texans,60,21,35.0,7,6,85.7,11,6,54.5
Tennessee Titans,69,20,29.0,6,2,33.3,9,4,44.4
Minnesota Vikings,58,18,31.0,6,4,66.7,15,10,66.7
Pittsburgh Steelers,44,17,38.6,3,1,33.3,13,9,69.2
Washington Commanders,52,17,32.7,6,4,66.7,14,10,71.4
