Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Cleveland Browns,16,9,56.3,3,2,66.7,3,2,66.7
Philadelphia Eagles,13,8,61.5,0,0,,3,3,100.0
Carolina Panthers,15,8,53.3,2,0,0.0,1,0,0.0
Tampa Bay Buccaneers,14,7,50.0,1,1,100.0,1,1,100.0
New York Jets,14,7,50.0,2,1,50.0,4,3,75.0
Los Angeles Rams,13,7,53.8,1,1,100.0,3,2,66.7
Los Angeles Chargers,13,7,53.8,1,1,100.0,4,2,50.0
San Francisco 49ers,14,7,50.0,2,2,100.0,5,2,40.0
Dallas Cowboys,11,7,63.6,1,0,0.0,3,2,66.7
Indianapolis Colts,15,7,46.7,3,3,100.0,6,3,50.0
Cincinnati Bengals,14,7,50.0,0,0,,3,2,66.7
Buffalo Bills,15,7,46.7,1,1,100.0,7,5,71.4
Denver Broncos,15,6,40.0,2,0,0.0,3,1,33.3
Arizona Cardinals,13,6,46.2,0,0,,3,2,66.7
Baltimore Ravens,11,6,54.5,0,0,,3,1,33.3
Atlanta Falcons,15,6,40.0,4,3,75.0,2,1,50.0
Detroit Lions,15,5,33.3,4,3,75.0,4,1,25.0
Jacksonville Jaguars,12,5,41.7,2,2,100.0,5,2,40.0
Kansas City Chiefs,14,5,35.7,3,3,100.0,3,1,33.3
Miami Dolphins,10,5,50.0,2,1,50.0,1,1,100.0
New Orleans Saints,14,5,35.7,2,1,50.0,4,1,25.0
Las Vegas Raiders,13,5,38.5,1,1,100.0,1,1,100.0
Washington Commanders,11,4,36.4,0,0,,4,3,75.0
Pittsburgh Steelers,10,4,40.0,0,0,,3,3,100.0
New York Giants,16,4,25.0,2,1,50.0,2,0,0.0
New England Patriots,14,4,28.6,1,1,100.0,3,1,33.3
Green Bay Packers,10,4,40.0,1,1,100.0,5,3,60.0
Minnesota Vikings,12,3,25.0,0,0,,3,2,66.7
Seattle Seahawks,10,3,30.0,0,0,,3,1,33.3
Chicago Bears,12,3,25.0,1,0,0.0,2,2,100.0
Tennessee Titans,14,2,14.3,1,0,0.0,2,0,0.0
Houston Texans,9,2,22.2,1,1,100.0,1,0,0.0
