Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Washington Commanders,60,31,51.7,8,8,100.0,23,13,56.5
New York Jets,71,30,42.3,3,0,0.0,13,8,61.5
Houston Texans,71,30,42.3,8,5,62.5,13,9,69.2
Cincinnati Bengals,61,29,47.5,4,3,75.0,17,11,64.7
Baltimore Ravens,58,29,50.0,4,3,75.0,20,15,75.0
Dallas Cowboys,65,29,44.6,6,3,50.0,13,6,46.2
New Orleans Saints,57,29,50.9,5,1,20.0,17,13,76.5
Pittsburgh Steelers,69,28,40.6,5,2,40.0,14,7,50.0
San Francisco 49ers,58,27,46.6,5,2,40.0,22,9,40.9
New York Giants,72,27,37.5,11,6,54.5,16,7,43.8
Tampa Bay Buccaneers,58,26,44.8,3,1,33.3,18,11,61.1
Kansas City Chiefs,61,26,42.6,4,4,100.0,18,7,38.9
Indianapolis Colts,60,25,41.7,6,3,50.0,18,11,61.1
Los Angeles Rams,62,25,40.3,11,6,54.5,20,9,45.0
Minnesota Vikings,59,24,40.7,4,2,50.0,16,11,68.8
Chicago Bears,71,24,33.8,10,7,70.0,13,8,61.5
New England Patriots,71,23,32.4,7,4,57.1,13,4,30.8
Green Bay Packers,62,23,37.1,3,1,33.3,19,9,47.4
Las Vegas Raiders,64,23,35.9,6,1,16.7,12,8,66.7
Detroit Lions,48,22,45.8,7,4,57.1,19,10,52.6
Philadelphia Eagles,54,22,40.7,9,5,55.6,17,8,47.1
Arizona Cardinals,54,22,40.7,7,3,42.9,14,9,64.3
Seattle Seahawks,59,22,37.3,6,2,33.3,11,7,63.6
Miami Dolphins,66,20,30.3,14,2,14.3,11,4,36.4
Los Angeles Chargers,55,20,36.4,1,0,0.0,9,4,44.4
Buffalo Bills,56,18,32.1,7,7,100.0,18,12,66.7
Denver Broncos,69,17,24.6,7,5,71.4,16,7,43.8
Carolina Panthers,60,17,28.3,12,4,33.3,12,6,50.0
Atlanta Falcons,52,16,30.8,9,5,55.6,14,6,42.9
Jacksonville Jaguars,54,14,25.9,12,5,41.7,18,8,44.4
Tennessee Titans,47,13,27.7,5,2,40.0,11,6,54.5
Cleveland Browns,66,12,18.2,15,9,60.0,8,6,75.0
