Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,93,32,34.4,14,7,50.0,33,19,57.6
New England Patriots,108,37,34.3,15,5,33.3,23,17,73.9
Houston Texans,110,37,33.6,7,4,57.1,22,14,63.6
Detroit Lions,107,38,35.5,16,9,56.3,30,20,66.7
Buffalo Bills,104,39,37.5,11,7,63.6,24,14,58.3
Los Angeles Rams,117,39,33.3,28,15,53.6,28,13,46.4
Denver Broncos,139,39,28.1,10,5,50.0,24,9,37.5
Kansas City Chiefs,98,40,40.8,17,4,23.5,22,14,63.6
Los Angeles Chargers,120,41,34.2,15,9,60.0,30,14,46.7
Cleveland Browns,115,41,35.7,6,3,50.0,25,14,56.0
Arizona Cardinals,107,41,38.3,16,7,43.8,32,18,56.3
Minnesota Vikings,118,42,35.6,11,8,72.7,29,14,48.3
Atlanta Falcons,105,42,40.0,14,9,64.3,24,16,66.7
Green Bay Packers,120,43,35.8,19,11,57.9,23,14,60.9
New York Jets,119,43,36.1,10,7,70.0,31,18,58.1
Tampa Bay Buccaneers,117,45,38.5,21,10,47.6,21,13,61.9
New Orleans Saints,118,45,38.1,14,8,57.1,33,20,60.6
New York Giants,119,45,37.8,13,9,69.2,34,24,70.6
San Francisco 49ers,116,47,40.5,12,8,66.7,34,20,58.8
Tennessee Titans,113,47,41.6,12,10,83.3,34,21,61.8
Seattle Seahawks,130,48,36.9,21,11,52.4,30,16,53.3
Baltimore Ravens,123,48,39.0,23,15,65.2,39,24,61.5
Philadelphia Eagles,118,50,42.4,13,6,46.2,27,13,48.1
Jacksonville Jaguars,113,51,45.1,10,5,50.0,30,20,66.7
Miami Dolphins,123,51,41.5,16,12,75.0,37,20,54.1
Washington Commanders,123,52,42.3,14,9,64.3,36,24,66.7
Pittsburgh Steelers,129,53,41.1,24,18,75.0,33,18,54.5
Indianapolis Colts,124,53,42.7,18,9,50.0,35,22,62.9
Las Vegas Raiders,120,54,45.0,11,9,81.8,34,20,58.8
Carolina Panthers,125,55,44.0,17,11,64.7,31,15,48.4
Cincinnati Bengals,114,56,49.1,12,8,66.7,43,30,69.8
Dallas Cowboys,116,61,52.6,11,5,45.5,36,25,69.4
