Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Washington Commanders,72,35,48.6,9,9,100.0,26,15,57.7
Baltimore Ravens,68,35,51.5,4,3,75.0,24,18,75.0
Houston Texans,82,34,41.5,8,5,62.5,16,12,75.0
Cincinnati Bengals,72,33,45.8,4,3,75.0,17,11,64.7
New Orleans Saints,70,33,47.1,6,2,33.3,21,15,71.4
Pittsburgh Steelers,82,32,39.0,6,3,50.0,18,9,50.0
New York Giants,87,32,36.8,16,9,56.3,18,8,44.4
Tampa Bay Buccaneers,68,32,47.1,3,1,33.3,23,15,65.2
Dallas Cowboys,78,32,41.0,10,4,40.0,16,6,37.5
Indianapolis Colts,75,32,42.7,7,4,57.1,21,12,57.1
San Francisco 49ers,70,32,45.7,5,2,40.0,27,12,44.4
Los Angeles Chargers,73,31,42.5,1,0,0.0,12,5,41.7
Green Bay Packers,74,30,40.5,4,2,50.0,22,11,50.0
New York Jets,71,30,42.3,3,0,0.0,13,8,61.5
Seattle Seahawks,75,29,38.7,9,4,44.4,14,9,64.3
Chicago Bears,82,29,35.4,11,8,72.7,17,12,70.6
Philadelphia Eagles,68,27,39.7,11,7,63.6,18,8,44.4
Detroit Lions,58,26,44.8,9,5,55.6,23,13,56.5
Kansas City Chiefs,61,26,42.6,4,4,100.0,18,7,38.9
Arizona Cardinals,64,26,40.6,7,3,42.9,17,10,58.8
New England Patriots,84,26,31.0,9,6,66.7,14,5,35.7
Los Angeles Rams,62,25,40.3,11,6,54.5,20,9,45.0
Las Vegas Raiders,75,25,33.3,9,2,22.2,15,10,66.7
Minnesota Vikings,59,24,40.7,4,2,50.0,16,11,68.8
Atlanta Falcons,64,22,34.4,9,5,55.6,22,10,45.5
Carolina Panthers,71,22,31.0,13,4,30.8,15,8,53.3
Jacksonville Jaguars,69,21,30.4,14,7,50.0,21,10,47.6
Miami Dolphins,66,20,30.3,14,2,14.3,11,4,36.4
Denver Broncos,80,20,25.0,9,7,77.8,18,9,50.0
Buffalo Bills,56,18,32.1,7,7,100.0,18,12,66.7
Tennessee Titans,58,17,29.3,6,3,50.0,13,7,53.8
Cleveland Browns,78,15,19.2,16,10,62.5,9,6,66.7
