Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,198,3188,682,4.7,19,7,192,219,375,2088,12,12,5.1,110,273,1100,9,4.0,56,85,662,26,26.4,14.0,54.25
Los Angeles Rams,210,3781,780,4.8,20,8,230,269,418,2487,16,12,5.5,127,329,1294,4,3.9,83,92,728,20,32.2,16.5,33.63
Seattle Seahawks,217,3473,763,4.6,18,5,217,280,443,2408,16,13,5.0,134,280,1065,7,3.8,58,92,727,25,27.6,12.7,43.74
Denver Broncos,218,3437,771,4.5,10,3,219,242,419,2320,11,7,4.9,125,301,1117,9,3.7,59,96,691,35,33.6,6.4,29.35
Green Bay Packers,226,3418,730,4.7,11,5,215,262,395,2238,15,6,5.2,121,303,1180,9,3.9,71,71,620,23,38.4,8.9,-21.31
Kansas City Chiefs,232,3680,663,5.6,10,3,203,248,357,2469,13,7,6.5,114,284,1211,11,4.3,69,76,711,20,38.1,8.8,-30.38
New England Patriots,241,3853,735,5.2,14,6,235,279,420,2690,21,8,6.0,138,288,1163,5,4.0,75,87,670,22,32.3,10.0,3.43
Indianapolis Colts,249,4134,794,5.2,17,5,268,292,457,2955,16,12,6.0,156,302,1179,11,3.9,82,75,651,30,37.7,13.9,-59.99
Philadelphia Eagles,249,4166,780,5.3,13,5,245,233,413,2619,12,8,6.0,121,343,1547,14,4.5,98,68,600,26,37.8,10.2,-22.80
Los Angeles Chargers,252,3303,665,5.0,13,2,202,214,349,2020,12,11,5.3,103,282,1283,14,4.5,77,71,596,22,37.5,10.0,-14.95
Jacksonville Jaguars,253,3750,732,5.1,20,7,236,286,455,2761,22,13,5.8,146,253,989,7,3.9,59,84,739,31,32.6,14.0,3.51
Buffalo Bills,259,3654,679,5.4,15,7,214,194,326,1958,12,8,5.5,101,326,1696,18,5.2,94,60,529,19,37.2,11.6,-27.95
San Francisco 49ers,269,4365,790,5.5,14,9,258,312,451,3016,23,5,6.5,151,323,1349,8,4.2,85,82,568,22,36.2,10.0,-68.11
Cleveland Browns,270,3255,706,4.6,15,6,196,215,334,2039,18,9,5.4,112,329,1216,7,3.7,64,95,644,20,34.3,9.5,49.07
Detroit Lions,274,3794,732,5.2,13,4,225,231,380,2550,25,9,6.2,130,320,1244,8,3.9,66,67,483,29,36.3,9.6,-38.84
Atlanta Falcons,276,3827,751,5.1,15,6,229,231,361,2253,18,9,5.6,123,349,1574,10,4.5,93,70,573,13,40.5,10.3,-30.96
Minnesota Vikings,281,3682,745,4.9,11,8,225,214,332,2141,14,3,5.9,100,382,1541,11,4.0,107,79,637,18,39.6,7.5,-8.70
Miami Dolphins,286,4142,724,5.7,14,10,243,257,355,2492,20,4,6.6,129,344,1650,10,4.8,85,83,659,29,42.9,10.1,-75.07
Pittsburgh Steelers,289,4381,820,5.3,22,12,268,293,455,2969,20,10,6.1,145,331,1412,9,4.3,102,74,649,21,42.4,16.0,-49.52
Baltimore Ravens,293,4205,779,5.4,14,7,237,270,436,2784,18,7,6.1,138,324,1421,11,4.4,81,80,637,18,44.6,10.0,-30.76
New Orleans Saints,295,3775,732,5.2,14,7,235,222,330,2252,20,7,6.3,122,374,1523,10,4.1,92,82,630,21,41.6,11.2,-31.00
Carolina Panthers,297,4304,760,5.7,17,5,238,260,399,2761,16,12,6.6,137,343,1543,16,4.5,90,82,610,11,41.6,12.0,-75.88
Tampa Bay Buccaneers,301,4139,723,5.7,18,7,227,277,415,2970,21,11,6.7,150,279,1169,12,4.2,58,79,634,19,39.1,13.3,-36.61
Arizona Cardinals,303,3986,742,5.4,17,8,249,258,401,2635,17,9,6.2,145,317,1351,12,4.3,81,74,674,23,42.6,12.4,-35.72
Chicago Bears,307,4308,707,6.1,26,9,239,252,374,2702,24,17,6.8,130,310,1606,11,5.2,84,68,472,25,38.2,19.8,-60.17
Las Vegas Raiders,308,3879,748,5.2,14,6,228,250,372,2550,19,8,6.5,124,353,1329,16,3.8,84,88,678,20,41.3,11.1,-53.74
New York Jets,315,3927,746,5.3,2,2,244,226,358,2353,19,0,6.2,132,367,1574,14,4.3,85,73,602,27,45.4,0.8,-87.65
Washington Commanders,323,4659,743,6.3,7,1,257,252,373,3059,23,6,7.7,154,344,1600,12,4.7,86,82,671,17,48.8,5.8,-134.98
Tennessee Titans,328,4150,722,5.7,10,5,239,248,359,2619,19,5,6.7,131,333,1531,17,4.6,83,74,529,25,43.8,6.2,-88.61
Dallas Cowboys,342,4514,762,5.9,10,5,266,281,413,3018,28,5,6.8,148,321,1496,13,4.7,100,102,907,18,46.1,7.0,-125.90
New York Giants,367,5015,830,6.0,7,2,293,296,454,3010,23,5,6.2,161,347,2005,17,5.8,102,100,851,30,45.7,5.0,-160.77
Cincinnati Bengals,374,4920,784,6.3,15,5,274,266,405,3081,26,10,7.3,155,361,1839,14,5.1,100,83,689,19,46.1,11.7,-143.57
