Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Buffalo Bills,1,41,497,78,6.4,,0,29,33,46,389,2,0,8.3,18,31,108,3,3.5,9,5,38,2,66.7,0.0,21.93
Baltimore Ravens,1,40,432,50,8.6,1,1,19,14,19,194,2,0,9.2,8,29,238,3,8.2,10,7,51,1,63.6,9.1,19.52
Pittsburgh Steelers,1,34,271,54,5.0,,0,19,22,30,218,4,0,6.4,14,20,53,0,2.7,2,4,26,3,54.5,0.0,11.44
Indianapolis Colts,1,33,418,70,6.0,,0,27,22,29,262,1,0,8.7,14,40,156,2,3.9,11,4,45,2,100.0,0.0,19.66
New York Jets,1,32,394,62,6.4,1,1,23,16,22,212,1,0,9.2,9,39,182,3,4.7,13,7,74,1,60.0,0.0,10.83
Minnesota Vikings,1,27,254,49,5.2,1,0,14,13,20,134,2,1,5.8,5,26,120,1,4.6,6,8,50,3,38.5,7.7,-6.40
Los Angeles Chargers,1,27,394,62,6.4,,0,22,25,34,304,3,0,8.2,16,25,90,0,3.6,6,6,49,,62.5,0.0,11.87
Green Bay Packers,1,27,266,47,5.7,,0,14,16,22,188,2,0,8.5,8,25,78,1,3.1,4,4,40,2,55.6,0.0,11.63
Jacksonville Jaguars,1,26,378,63,6.0,1,0,19,19,31,178,1,1,5.7,9,32,200,1,6.3,10,11,93,,60.0,10.0,8.42
Chicago Bears,1,24,317,63,5.0,1,1,20,21,35,198,1,0,5.4,10,26,119,1,4.6,7,12,127,3,25.0,8.3,-1.47
Philadelphia Eagles,1,24,302,62,4.9,,0,20,19,23,144,0,0,6.0,6,38,158,3,4.2,14,9,110,,50.0,0.0,13.04
Tampa Bay Buccaneers,1,23,260,56,4.6,,0,16,17,32,159,3,0,4.8,10,23,101,0,4.4,5,5,60,1,40.0,0.0,7.74
Washington Commanders,1,21,432,65,6.6,,0,25,19,30,212,1,0,6.4,11,32,220,2,6.9,11,12,89,3,30.0,0.0,15.03
Kansas City Chiefs,1,21,347,58,6.0,,0,18,24,39,249,1,0,6.1,9,17,98,1,5.8,8,10,71,1,62.5,0.0,8.20
Denver Broncos,1,20,317,71,4.5,4,2,20,25,40,166,1,2,4.0,9,30,151,1,5.0,5,6,45,6,28.6,21.4,-8.07
Las Vegas Raiders,1,20,389,62,6.3,1,0,21,24,34,333,1,1,8.8,17,24,56,1,2.3,3,9,81,1,33.3,8.3,7.21
Atlanta Falcons,1,20,358,71,5.0,,0,23,27,42,289,1,0,6.7,16,28,69,1,2.5,4,8,55,3,40.0,0.0,9.79
Arizona Cardinals,1,20,276,61,4.5,,0,19,21,29,130,2,0,3.8,11,27,146,0,5.4,5,9,54,3,44.4,0.0,5.26
Dallas Cowboys,1,20,307,56,5.5,1,1,22,21,34,188,0,0,5.5,9,22,119,2,5.4,7,4,42,6,50.0,12.5,10.85
Cincinnati Bengals,1,17,141,49,2.9,,0,11,14,23,95,1,0,3.7,7,23,46,1,2.0,3,7,33,1,30.0,0.0,-2.91
San Francisco 49ers,1,17,384,72,5.3,2,0,24,26,35,265,2,2,7.4,15,36,119,0,3.3,7,9,61,2,27.3,18.2,9.55
Cleveland Browns,1,16,327,71,4.6,2,0,22,31,45,278,1,2,5.9,13,24,49,1,2.0,5,7,53,4,30.0,20.0,1.76
Los Angeles Rams,1,14,296,57,5.2,1,1,18,21,29,224,1,0,7.0,13,25,72,1,2.9,3,7,60,2,22.2,11.1,4.69
New Orleans Saints,1,13,315,69,4.6,,0,21,27,46,208,0,0,4.4,12,22,107,1,4.9,5,13,89,4,30.0,0.0,1.36
New England Patriots,1,13,336,68,4.9,1,0,18,30,46,276,1,1,5.5,15,18,60,0,3.3,2,9,70,1,27.3,9.1,1.07
Seattle Seahawks,1,13,230,50,4.6,2,2,14,16,23,146,0,0,6.1,6,26,84,1,3.2,6,4,30,2,30.0,20.0,-4.44
Detroit Lions,1,13,246,65,3.8,1,0,16,31,39,200,1,1,4.7,13,22,46,0,2.1,2,7,40,1,33.3,11.1,-1.14
Tennessee Titans,1,12,133,55,2.4,2,2,7,12,28,62,0,0,1.8,5,21,71,0,3.4,2,13,131,,28.6,14.3,-27.39
Carolina Panthers,1,10,255,61,4.2,3,1,15,18,35,142,1,2,3.9,8,25,113,0,4.5,5,4,35,2,20.0,30.0,-9.69
Houston Texans,1,9,265,57,4.6,2,1,18,19,27,151,0,1,5.0,7,27,114,0,4.2,8,11,80,3,33.3,22.2,-5.99
Miami Dolphins,1,8,211,46,4.6,3,1,12,19,31,133,1,2,3.9,9,12,78,0,6.5,3,3,15,,14.3,42.9,-3.89
New York Giants,1,6,231,62,3.7,,0,17,17,37,157,0,0,4.0,9,23,74,0,3.2,4,6,35,4,22.2,0.0,-6.91
