Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Buffalo Bills,2,77,855,121,7.1,,0,54,40,60,566,5,0,8.8,27,57,289,5,5.1,20,15,131,7,61.9,0.0,48.99
Carolina Panthers,2,71,818,122,6.7,3,2,42,46,74,625,6,1,8.0,29,44,193,2,4.4,10,20,147,3,45.8,8.3,17.74
Kansas City Chiefs,2,64,915,145,6.3,1,0,48,47,74,543,5,1,7.0,26,67,372,2,5.6,21,15,146,1,52.2,4.3,27.24
Chicago Bears,2,62,849,140,6.1,3,2,43,41,64,424,2,1,6.1,20,70,425,6,6.1,20,20,115,3,41.7,12.5,20.65
San Francisco 49ers,2,62,761,113,6.7,1,0,46,45,56,492,5,1,8.8,28,57,269,3,4.7,16,9,99,2,58.8,5.9,38.38
Detroit Lions,2,62,724,135,5.4,1,1,50,52,77,493,6,0,6.0,29,53,231,2,4.4,16,18,119,5,43.5,4.3,24.80
Baltimore Ravens,2,58,818,120,6.8,2,1,42,38,56,508,2,1,8.3,22,59,310,5,5.3,20,17,120,,47.6,9.5,22.60
Dallas Cowboys,2,57,576,106,5.4,1,0,41,48,65,441,6,1,6.6,28,39,135,1,3.5,7,14,122,6,66.7,6.7,36.04
New Orleans Saints,2,54,767,150,5.1,3,1,48,62,90,611,4,2,6.2,30,52,156,2,3.0,13,11,88,5,43.5,13.0,15.34
Cincinnati Bengals,2,53,618,122,5.1,1,0,38,45,66,427,3,1,5.9,23,50,191,1,3.8,13,19,125,2,45.5,4.5,1.73
Indianapolis Colts,2,53,580,116,5.0,3,1,41,41,62,359,2,2,5.6,20,52,221,4,4.3,17,9,59,4,45.5,13.6,6.13
Las Vegas Raiders,2,53,595,127,4.7,3,0,35,40,59,408,6,3,6.7,21,66,187,0,2.8,11,12,71,3,37.5,12.5,-1.19
Minnesota Vikings,2,48,485,112,4.3,1,0,30,26,44,259,3,1,5.2,14,62,226,2,3.6,10,6,40,6,38.1,4.8,2.46
Philadelphia Eagles,2,48,659,125,5.3,2,0,33,40,62,434,5,2,6.4,22,57,225,1,3.9,9,9,75,2,40.0,10.0,9.17
Jacksonville Jaguars,2,47,628,111,5.7,1,0,44,35,52,407,4,1,7.4,21,56,221,1,3.9,17,8,65,6,50.0,5.6,20.55
Tampa Bay Buccaneers,2,46,595,114,5.2,5,4,36,44,62,369,1,1,5.3,19,45,226,2,5.0,14,14,101,3,45.0,25.0,-10.99
Seattle Seahawks,2,44,666,115,5.8,1,1,36,36,50,407,4,0,7.7,21,62,259,1,4.2,13,13,124,2,40.0,5.0,15.94
Washington Commanders,2,42,684,134,5.1,1,1,44,41,69,370,4,0,5.3,21,64,314,1,4.9,20,11,83,3,38.1,4.8,10.95
Green Bay Packers,2,42,618,117,5.3,3,2,35,37,71,489,4,1,6.3,24,39,129,0,3.3,7,26,231,4,37.5,12.5,-11.27
New York Jets,2,40,652,135,4.8,,0,40,46,65,433,1,0,6.3,18,66,219,3,3.3,17,21,204,5,34.8,0.0,4.08
Houston Texans,2,37,755,151,5.0,2,2,48,56,94,571,2,0,5.7,26,50,184,2,3.7,13,16,189,9,29.2,8.3,-2.19
Los Angeles Rams,2,35,771,117,6.6,4,2,38,39,59,486,4,2,8.1,21,57,285,1,5.0,15,10,93,2,23.8,19.0,14.78
New York Giants,2,34,576,123,4.7,2,1,40,37,61,359,3,1,5.5,22,58,217,1,3.7,13,13,134,5,35.3,11.8,9.16
Arizona Cardinals,2,33,544,119,4.6,1,0,33,44,65,358,2,1,5.3,19,51,186,1,3.6,11,14,159,3,31.6,5.3,-0.78
Cleveland Browns,2,33,539,104,5.2,2,1,29,40,52,408,3,1,6.9,19,45,131,0,2.9,8,17,125,2,33.3,9.5,-8.71
New England Patriots,2,30,604,120,5.0,5,1,34,37,55,359,1,4,5.9,15,59,245,1,4.2,14,13,81,5,25.0,25.0,-3.47
Tennessee Titans,2,30,486,100,4.9,1,1,25,32,52,296,1,0,5.2,13,43,190,2,4.4,11,11,70,1,33.3,0.0,1.04
Denver Broncos,2,30,568,106,5.4,3,1,31,39,59,403,2,2,6.4,19,43,165,1,3.8,9,17,105,3,28.6,14.3,-9.28
Los Angeles Chargers,2,28,578,113,5.1,5,2,34,32,54,370,2,3,6.2,17,53,208,2,3.9,13,15,109,4,17.4,21.7,-11.93
Miami Dolphins,2,26,543,106,5.1,2,1,26,29,50,367,1,1,6.2,15,47,176,1,3.7,8,15,111,3,31.6,10.5,-8.16
Pittsburgh Steelers,2,23,499,131,3.8,3,2,31,47,81,350,1,1,4.0,20,44,149,0,3.4,7,12,111,4,16.0,12.0,-32.13
Atlanta Falcons,2,16,524,124,4.2,7,2,33,30,54,247,1,5,4.0,14,63,277,0,4.4,16,15,135,3,16.0,28.0,-44.49
