Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Buffalo Bills,3,112,987,163,6.1,1,1,61,55,73,627,7,0,8.4,31,88,360,6,4.1,24,16,117,6,60.0,3.3,50.49
New Orleans Saints,3,103,1030,173,6.0,3,1,58,44,65,571,6,2,8.4,22,105,459,6,4.4,33,18,160,3,61.3,6.5,37.47
Minnesota Vikings,3,85,989,165,6.0,4,2,53,53,78,614,8,2,7.1,29,78,375,1,4.8,20,19,146,4,43.8,12.5,24.17
Arizona Cardinals,3,82,1036,175,5.9,3,2,59,59,86,604,5,1,6.6,29,83,432,2,5.2,23,14,113,7,48.3,10.3,24.55
Washington Commanders,3,79,1080,182,5.9,,0,66,61,76,619,2,0,7.3,31,97,461,6,4.8,29,20,148,6,64.0,0.0,48.93
Dallas Cowboys,3,77,1030,196,5.3,3,1,61,75,125,809,4,2,6.0,39,62,221,2,3.6,14,21,155,8,45.7,8.6,-1.74
Green Bay Packers,3,75,1175,184,6.4,2,1,54,42,68,563,4,1,7.7,21,111,612,2,5.5,29,26,196,4,48.4,6.5,18.69
Kansas City Chiefs,3,75,984,181,5.4,5,1,62,64,92,635,5,4,6.6,35,85,349,2,4.1,22,16,150,5,48.3,17.2,17.79
San Francisco 49ers,3,73,1222,202,6.0,3,2,73,69,95,803,4,1,7.6,42,97,419,3,4.3,23,15,181,8,51.7,10.3,31.20
Seattle Seahawks,3,73,1032,186,5.5,4,1,58,77,103,740,3,3,6.7,35,75,292,5,3.9,17,23,183,6,37.8,8.1,5.27
Baltimore Ravens,3,71,1291,197,6.6,2,1,70,59,90,681,3,1,7.3,33,104,610,5,5.9,34,31,278,3,40.6,6.3,36.52
Philadelphia Eagles,3,70,1235,209,5.9,6,2,67,72,102,733,3,4,6.7,37,100,502,5,5.0,26,23,155,4,40.0,20.0,21.52
Cincinnati Bengals,3,68,980,169,5.8,3,3,61,73,103,712,5,0,6.4,36,58,268,2,4.6,22,15,105,3,56.0,8.0,23.98
New York Jets,3,67,931,175,5.3,2,1,57,64,94,629,6,1,6.4,36,76,302,3,4.0,18,18,186,3,37.9,6.9,21.80
Tampa Bay Buccaneers,3,64,831,164,5.1,3,1,53,61,82,558,6,2,5.9,35,69,273,1,4.0,11,16,100,7,40.0,10.0,8.50
Detroit Lions,3,62,1199,212,5.7,4,0,70,71,107,710,3,4,6.4,34,101,489,4,4.8,31,19,206,5,36.4,12.1,18.22
Indianapolis Colts,3,58,947,150,6.3,6,0,48,36,73,553,3,6,7.2,18,73,394,5,5.4,26,16,118,4,29.0,19.4,2.73
Los Angeles Chargers,3,58,833,164,5.1,2,1,42,45,66,377,4,1,5.2,21,91,456,2,5.0,18,17,134,3,34.3,5.7,-5.01
Las Vegas Raiders,3,58,887,178,5.0,5,2,52,82,111,734,4,3,6.0,41,55,153,2,2.8,5,11,84,6,29.7,13.5,-13.99
Los Angeles Rams,3,57,928,181,5.1,2,1,59,69,102,694,2,1,6.2,32,69,234,4,3.4,20,16,135,7,37.9,6.9,14.31
Houston Texans,3,55,1023,200,5.1,3,1,58,75,112,697,4,2,5.6,40,76,326,1,4.3,15,28,233,3,35.3,8.8,-2.70
Chicago Bears,3,53,748,203,3.7,6,2,52,70,118,530,2,4,4.0,30,72,218,1,3.0,13,20,140,9,26.5,14.7,-36.33
Denver Broncos,3,52,878,189,4.6,6,2,44,71,113,579,0,4,4.9,22,72,299,3,4.2,22,22,235,,33.3,16.7,-23.35
Pittsburgh Steelers,3,51,867,189,4.6,1,0,52,55,75,475,2,1,5.9,22,108,392,1,3.6,20,22,153,10,41.9,3.2,3.03
Cleveland Browns,3,50,744,198,3.8,4,2,48,67,116,457,3,2,3.5,22,66,287,2,4.3,19,29,212,7,24.3,10.8,-37.53
Carolina Panthers,3,49,789,171,4.6,4,1,42,57,94,510,3,3,5.0,25,69,279,2,4.0,14,22,221,3,27.8,11.1,-24.17
Atlanta Falcons,3,49,922,164,5.6,4,1,56,56,84,599,4,3,6.7,30,75,323,1,4.3,19,14,118,7,34.5,13.8,-2.89
Tennessee Titans,3,48,781,174,4.5,8,3,54,64,94,478,4,5,4.4,27,65,303,2,4.7,21,15,110,6,22.9,22.9,-23.39
New York Giants,3,45,884,188,4.7,5,3,53,62,105,569,4,2,5.0,32,75,315,2,4.2,17,23,183,4,25.8,12.9,-17.15
Jacksonville Jaguars,3,40,829,173,4.8,3,2,54,52,97,482,2,1,4.4,27,64,347,2,5.4,21,21,168,6,25.8,9.7,-10.42
New England Patriots,3,39,739,178,4.2,1,1,47,46,77,306,1,0,3.5,21,90,433,2,4.8,22,13,152,4,30.0,3.3,-4.97
Miami Dolphins,3,33,956,196,4.9,3,0,51,68,108,671,2,3,5.6,31,77,285,1,3.7,15,27,238,5,21.2,9.1,-28.67
