Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Washington Commanders,6,178,2268,370,6.1,3,1,132,126,169,1324,6,2,7.2,69,186,944,13,5.1,53,36,274,10,61.8,5.5,102.21
Tampa Bay Buccaneers,6,178,2203,361,6.1,7,2,134,134,189,1382,15,5,6.7,80,155,821,5,5.3,41,36,253,13,47.7,10.8,61.02
Baltimore Ravens,6,177,2722,393,6.9,5,3,150,119,177,1490,10,2,8.1,76,209,1232,10,5.9,65,47,411,9,47.7,7.7,101.51
New Orleans Saints,6,167,1919,360,5.3,9,3,116,114,176,1202,9,6,6.5,57,174,717,10,4.1,49,36,360,10,46.0,11.1,26.35
San Francisco 49ers,6,162,2520,386,6.5,8,4,135,121,185,1572,9,4,7.9,77,188,948,5,5.0,47,30,279,11,51.7,11.7,61.81
Green Bay Packers,6,162,2400,386,6.2,8,2,124,111,180,1397,14,6,7.4,63,198,1003,3,5.1,50,45,338,11,43.3,11.9,39.41
Cincinnati Bengals,6,157,2099,348,6.0,6,4,121,144,201,1498,12,2,6.9,79,132,601,6,4.6,34,30,235,8,48.3,8.6,55.84
Detroit Lions,5,151,2080,328,6.3,4,0,118,109,153,1291,9,4,7.9,60,165,789,9,4.8,51,39,370,7,48.2,7.1,66.86
Atlanta Falcons,6,149,2210,364,6.1,7,2,123,138,208,1528,9,5,7.0,74,146,682,4,4.7,38,36,313,11,46.7,11.7,31.53
Chicago Bears,6,148,1809,387,4.7,7,2,118,130,199,1180,9,5,5.4,63,168,629,7,3.7,39,37,280,16,36.4,9.1,6.77
Seattle Seahawks,6,146,2239,395,5.7,10,4,135,173,251,1660,6,6,6.1,89,125,579,9,4.6,33,46,352,13,34.8,11.6,16.05
Houston Texans,6,143,2251,397,5.7,7,3,122,150,222,1538,10,4,6.4,86,158,713,5,4.5,29,51,429,7,39.4,8.5,21.70
Buffalo Bills,5,142,1499,279,5.4,2,2,89,81,134,908,8,0,6.5,42,139,591,8,4.3,38,24,180,9,45.3,3.8,41.98
Indianapolis Colts,6,139,2021,349,5.8,8,1,115,111,186,1315,10,7,6.7,59,153,706,7,4.6,44,30,230,12,36.9,12.3,29.18
Minnesota Vikings,5,139,1616,295,5.5,9,5,92,88,138,1039,11,4,6.8,48,142,577,3,4.1,32,37,281,12,38.3,13.3,13.42
Arizona Cardinals,6,133,1993,345,5.8,8,6,111,116,170,1122,8,2,6.2,52,164,871,4,5.3,49,32,300,10,41.4,13.8,25.51
Dallas Cowboys,6,126,2019,387,5.2,11,4,116,151,238,1556,8,7,6.1,72,133,463,2,3.5,30,47,361,14,42.2,17.2,-9.42
Pittsburgh Steelers,6,124,1790,376,4.8,4,3,110,107,161,1001,5,1,5.7,46,199,789,6,4.0,46,43,306,18,41.7,6.7,10.51
Kansas City Chiefs,5,118,1773,319,5.6,8,2,106,111,160,1184,6,6,7.0,58,150,589,5,3.9,39,27,245,9,46.0,16.0,26.06
Jacksonville Jaguars,6,113,1917,348,5.5,7,4,108,122,200,1218,8,3,5.6,65,131,699,4,5.3,35,38,280,8,33.8,10.8,1.15
Denver Broncos,6,112,1669,356,4.7,9,4,91,121,198,1025,5,5,5.0,44,149,644,4,4.3,43,43,390,4,31.0,12.7,-37.04
Las Vegas Raiders,6,109,1760,358,4.9,12,5,105,145,212,1283,6,7,5.6,72,128,477,6,3.7,23,32,254,10,28.2,16.9,-41.81
Philadelphia Eagles,5,106,1834,327,5.6,8,4,102,106,157,1103,6,4,6.5,54,156,731,6,4.7,43,33,236,5,36.0,14.0,27.79
Carolina Panthers,6,103,1791,361,5.0,10,3,101,130,208,1123,7,7,5.1,58,141,668,4,4.7,36,42,350,7,29.0,14.5,-31.33
Tennessee Titans,5,96,1266,291,4.4,10,3,86,92,142,675,5,7,4.3,39,133,591,5,4.4,36,34,292,11,30.5,16.9,-27.45
New York Giants,6,96,1916,398,4.8,8,4,117,136,220,1281,6,4,5.5,68,164,635,3,3.9,40,31,247,9,30.2,11.1,-21.81
Cleveland Browns,6,95,1441,367,3.9,6,3,90,123,200,858,5,3,3.7,45,136,583,2,4.3,35,50,357,10,25.4,9.0,-64.06
Los Angeles Rams,5,94,1620,315,5.1,6,3,104,118,176,1133,3,3,5.9,54,123,487,6,4.0,40,27,209,10,37.5,12.5,13.96
New York Jets,5,93,1433,316,4.5,6,2,90,117,190,1031,8,4,5.1,59,113,402,3,3.6,24,39,352,7,30.9,10.9,-15.57
Los Angeles Chargers,5,91,1405,292,4.8,2,1,76,82,127,766,6,1,5.5,40,153,639,3,4.2,31,29,205,5,33.9,3.6,-7.53
New England Patriots,6,83,1545,358,4.3,8,5,91,103,176,806,5,3,4.1,49,159,739,3,4.6,32,37,327,10,25.4,11.9,-47.81
Miami Dolphins,5,60,1512,325,4.7,6,2,88,100,161,928,2,4,5.2,45,148,584,3,3.9,31,43,390,12,24.6,10.5,-52.57
