Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Detroit Lions,185,60,32.4,29,12,41.4,55,28,50.9
Pittsburgh Steelers,204,72,35.3,22,15,68.2,61,33,54.1
Philadelphia Eagles,211,75,35.5,30,19,63.3,48,24,50.0
Miami Dolphins,209,75,35.9,20,10,50.0,55,27,49.1
Dallas Cowboys,205,75,36.6,25,17,68.0,56,42,75.0
Minnesota Vikings,219,78,35.6,35,13,37.1,49,29,59.2
Green Bay Packers,208,78,37.5,30,18,60.0,50,30,60.0
Washington Commanders,207,79,38.2,24,16,66.7,53,32,60.4
Houston Texans,220,79,35.9,26,17,65.4,44,28,63.6
Tampa Bay Buccaneers,210,80,38.1,30,19,63.3,57,31,54.4
Los Angeles Chargers,224,80,35.7,29,18,62.1,40,18,45.0
Chicago Bears,213,80,37.6,19,9,47.4,63,29,46.0
Cleveland Browns,224,81,36.2,18,8,44.4,53,33,62.3
Seattle Seahawks,224,83,37.1,20,10,50.0,57,30,52.6
Los Angeles Rams,204,83,40.7,17,9,52.9,56,28,50.0
New York Jets,215,83,38.6,21,16,76.2,63,37,58.7
Cincinnati Bengals,207,87,42.0,27,16,59.3,53,36,67.9
New York Giants,216,87,40.3,21,12,57.1,54,29,53.7
Denver Broncos,236,88,37.3,30,16,53.3,49,23,46.9
Tennessee Titans,213,88,41.3,13,10,76.9,57,36,63.2
Las Vegas Raiders,221,88,39.8,13,10,76.9,58,35,60.3
Buffalo Bills,201,88,43.8,32,17,53.1,61,35,57.4
Baltimore Ravens,226,90,39.8,28,12,42.9,50,27,54.0
Arizona Cardinals,208,91,43.8,24,14,58.3,57,30,52.6
New Orleans Saints,224,92,41.1,27,14,51.9,54,30,55.6
New England Patriots,215,93,43.3,21,11,52.4,57,36,63.2
Kansas City Chiefs,215,93,43.3,23,12,52.2,54,28,51.9
San Francisco 49ers,216,93,43.1,26,17,65.4,57,39,68.4
Atlanta Falcons,212,96,45.3,26,14,53.8,57,37,64.9
Jacksonville Jaguars,225,97,43.1,24,14,58.3,59,35,59.3
Indianapolis Colts,234,104,44.4,21,11,52.4,61,37,60.7
Carolina Panthers,223,112,50.2,15,9,60.0,76,50,65.8
