Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,104,35,33.7,15,8,53.3,36,21,58.3
Detroit Lions,122,42,34.4,17,9,52.9,33,21,63.6
Houston Texans,125,43,34.4,7,4,57.1,23,15,65.2
Arizona Cardinals,116,44,37.9,16,7,43.8,37,22,59.5
Denver Broncos,152,44,28.9,11,5,45.5,28,10,35.7
New England Patriots,122,45,36.9,16,5,31.3,25,18,72.0
New Orleans Saints,118,45,38.1,14,8,57.1,33,20,60.6
Los Angeles Chargers,130,46,35.4,20,12,60.0,36,19,52.8
Los Angeles Rams,133,46,34.6,29,16,55.2,32,14,43.8
Cleveland Browns,128,46,35.9,7,4,57.1,29,15,51.7
Kansas City Chiefs,113,47,41.6,17,4,23.5,27,15,55.6
Buffalo Bills,120,48,40.0,12,8,66.7,28,16,57.1
Atlanta Falcons,122,48,39.3,19,12,63.2,30,18,60.0
Minnesota Vikings,136,49,36.0,11,8,72.7,31,15,48.4
New York Jets,131,49,37.4,11,8,72.7,36,21,58.3
Green Bay Packers,134,50,37.3,23,14,60.9,28,17,60.7
Seattle Seahawks,141,50,35.5,24,13,54.2,34,19,55.9
Baltimore Ravens,137,50,36.5,24,15,62.5,41,24,58.5
Tampa Bay Buccaneers,128,51,39.8,23,11,47.8,25,16,64.0
Tennessee Titans,126,51,40.5,13,10,76.9,37,22,59.5
New York Giants,130,52,40.0,13,9,69.2,38,28,73.7
Indianapolis Colts,124,53,42.7,18,9,50.0,35,22,62.9
Philadelphia Eagles,131,53,40.5,18,6,33.3,28,13,46.4
San Francisco 49ers,130,53,40.8,12,8,66.7,39,23,59.0
Jacksonville Jaguars,125,54,43.2,13,6,46.2,31,20,64.5
Washington Commanders,132,55,41.7,16,9,56.3,41,25,61.0
Miami Dolphins,136,57,41.9,18,13,72.2,40,20,50.0
Las Vegas Raiders,130,58,44.6,14,10,71.4,39,23,59.0
Carolina Panthers,136,59,43.4,17,11,64.7,34,18,52.9
Pittsburgh Steelers,144,60,41.7,25,18,72.0,35,18,51.4
Cincinnati Bengals,127,63,49.6,13,9,69.2,47,32,68.1
Dallas Cowboys,128,64,50.0,14,7,50.0,39,26,66.7
