Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,126,62,49.2,10,7,70.0,32,16,50.0
San Francisco 49ers,121,57,47.1,12,7,58.3,30,17,56.7
Arizona Cardinals,109,50,45.9,8,4,50.0,31,18,58.1
Green Bay Packers,100,49,49.0,11,8,72.7,35,22,62.9
New York Giants,120,48,40.0,17,9,52.9,30,15,50.0
Kansas City Chiefs,113,47,41.6,20,16,80.0,37,26,70.3
Dallas Cowboys,107,46,43.0,12,7,58.3,34,21,61.8
New England Patriots,105,45,42.9,12,10,83.3,33,19,57.6
Chicago Bears,105,45,42.9,10,5,50.0,29,15,51.7
Indianapolis Colts,100,45,45.0,17,15,88.2,40,28,70.0
Denver Broncos,118,45,38.1,8,4,50.0,28,19,67.9
Cincinnati Bengals,109,44,40.4,6,5,83.3,26,17,65.4
New Orleans Saints,112,42,37.5,17,5,29.4,24,10,41.7
Miami Dolphins,109,42,38.5,16,9,56.3,26,15,57.7
Carolina Panthers,112,42,37.5,21,15,71.4,27,16,59.3
Buffalo Bills,92,42,45.7,6,3,50.0,31,21,67.7
Las Vegas Raiders,97,40,41.2,12,5,41.7,22,10,45.5
Washington Commanders,101,40,39.6,13,6,46.2,22,17,77.3
Jacksonville Jaguars,110,40,36.4,18,11,61.1,27,14,51.9
Cleveland Browns,115,38,33.0,19,11,57.9,21,12,57.1
New York Jets,106,37,34.9,19,10,52.6,19,11,57.9
Baltimore Ravens,92,37,40.2,14,6,42.9,27,14,51.9
Detroit Lions,102,37,36.3,16,11,68.8,32,22,68.8
Tampa Bay Buccaneers,102,37,36.3,12,6,50.0,22,11,50.0
Los Angeles Rams,91,36,39.6,14,10,71.4,35,21,60.0
Atlanta Falcons,99,36,36.4,18,8,44.4,23,12,52.2
Houston Texans,108,35,32.4,13,9,69.2,22,8,36.4
Pittsburgh Steelers,89,34,38.2,6,3,50.0,25,17,68.0
Seattle Seahawks,92,34,37.0,6,4,66.7,27,19,70.4
Tennessee Titans,116,33,28.4,14,5,35.7,16,7,43.8
Minnesota Vikings,96,32,33.3,8,5,62.5,27,15,55.6
Philadelphia Eagles,93,31,33.3,14,11,78.6,20,17,85.0
