Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Baltimore Ravens,8,242,3617,509,7.1,6,4,194,159,237,2017,17,2,8.1,102,260,1600,11,6.2,77,63,549,15,48.8,7.0,133.84
Washington Commanders,8,236,3170,505,6.3,3,1,181,167,232,1844,9,2,7.4,96,255,1326,14,5.2,69,49,359,16,60.5,3.9,128.68
Tampa Bay Buccaneers,8,235,3116,511,6.1,12,3,186,202,284,2068,21,9,6.8,115,207,1048,6,5.1,56,50,373,15,45.5,13.6,81.66
Detroit Lions,7,234,2696,431,6.3,5,1,154,146,197,1599,15,4,7.4,84,216,1097,13,5.1,59,50,448,11,48.8,6.3,84.20
Buffalo Bills,8,230,2692,462,5.8,3,2,159,145,226,1714,14,1,7.3,78,226,978,13,4.3,64,53,399,17,47.0,3.6,89.15
Green Bay Packers,8,216,3104,509,6.1,12,3,164,153,240,1849,18,9,7.3,86,257,1255,5,4.9,62,57,418,16,42.9,12.1,52.60
San Francisco 49ers,8,210,3299,506,6.5,11,4,173,156,242,2027,10,7,7.9,94,248,1272,9,5.1,64,45,392,15,49.4,12.0,70.63
Cincinnati Bengals,8,195,2602,459,5.7,8,5,151,185,263,1884,15,3,6.7,102,177,718,7,4.1,40,34,275,9,41.3,8.8,50.89
Atlanta Falcons,8,194,2973,495,6.0,10,3,165,186,273,2007,14,7,7.0,98,207,966,5,4.7,54,49,428,13,43.2,12.3,49.99
Seattle Seahawks,8,190,2811,498,5.6,12,5,172,213,309,2097,8,7,6.4,114,168,714,11,4.3,40,62,476,18,35.6,10.3,20.72
Houston Texans,8,188,2811,523,5.4,8,4,158,185,280,1860,11,4,6.1,107,220,951,8,4.3,43,61,514,8,40.0,7.4,16.35
Minnesota Vikings,7,188,2275,397,5.7,10,5,125,128,190,1495,14,5,7.1,72,185,780,4,4.2,39,54,390,14,40.0,11.3,25.84
New Orleans Saints,8,185,2556,494,5.2,11,5,146,164,257,1625,10,6,5.8,73,216,931,10,4.3,59,48,461,14,37.5,10.2,4.04
Arizona Cardinals,8,178,2708,462,5.9,9,6,155,156,232,1574,11,3,6.5,77,219,1134,6,5.2,65,39,344,13,42.1,11.8,47.60
Indianapolis Colts,8,175,2608,473,5.5,11,3,148,131,242,1584,11,8,6.2,72,216,1024,9,4.7,64,43,312,12,35.2,12.1,18.98
Kansas City Chiefs,7,173,2436,455,5.4,11,2,151,154,225,1581,8,9,6.7,86,218,855,10,3.9,55,39,348,10,45.7,15.7,42.62
Denver Broncos,8,173,2458,490,5.0,12,7,136,167,263,1487,8,5,5.4,68,216,971,7,4.5,62,54,480,6,34.0,12.8,-21.86
Jacksonville Jaguars,8,172,2671,463,5.8,9,5,150,158,252,1710,11,4,6.3,88,193,961,7,5.0,53,50,363,9,36.5,10.6,24.17
Philadelphia Eagles,7,171,2570,451,5.7,8,4,146,132,192,1409,8,4,6.7,70,240,1161,12,4.8,69,43,311,7,40.8,9.9,55.23
Chicago Bears,7,163,2116,447,4.7,8,3,133,140,223,1291,9,5,5.3,69,202,825,9,4.1,47,45,340,17,33.8,9.1,3.32
Pittsburgh Steelers,7,161,2199,442,5.0,4,3,131,123,190,1261,7,1,6.1,58,235,938,8,4.0,54,47,342,19,45.1,5.6,26.60
New York Jets,8,150,2485,487,5.1,9,2,149,181,292,1796,13,7,5.8,96,177,689,5,3.9,38,63,567,15,31.4,10.5,8.82
Dallas Cowboys,7,150,2311,446,5.2,13,4,134,176,276,1792,10,9,6.1,85,152,519,3,3.4,33,53,391,16,40.8,17.1,-6.58
Las Vegas Raiders,8,144,2305,489,4.7,17,7,140,190,286,1673,8,10,5.4,97,178,632,6,3.6,31,47,366,12,31.2,18.3,-64.93
Los Angeles Rams,7,144,2265,433,5.2,8,3,145,157,233,1556,7,5,6.2,76,183,709,8,3.9,52,36,277,17,34.8,11.6,24.80
Cleveland Browns,8,138,2178,510,4.3,9,4,130,181,293,1438,9,5,4.4,73,180,740,3,4.1,45,67,511,12,27.2,9.8,-65.24
Los Angeles Chargers,7,132,2178,420,5.2,4,3,115,129,198,1358,8,1,6.3,66,204,820,4,4.0,42,38,296,7,37.7,3.9,5.32
New England Patriots,8,124,2087,475,4.4,8,5,127,147,243,1199,7,3,4.4,69,205,888,6,4.3,44,49,412,14,27.9,9.3,-38.27
Carolina Panthers,8,124,2255,464,4.9,14,3,127,167,264,1423,9,11,5.1,74,184,832,5,4.5,44,56,458,9,25.6,15.6,-59.91
Tennessee Titans,7,120,1971,429,4.6,16,6,127,139,220,1133,7,10,4.7,64,189,838,6,4.4,47,50,404,16,25.9,18.8,-50.36
New York Giants,7,99,2035,453,4.5,8,4,127,153,249,1324,6,4,4.9,74,182,711,3,3.9,44,36,282,9,26.3,9.2,-41.78
Miami Dolphins,7,97,2226,457,4.9,8,4,128,143,225,1304,4,4,5.3,68,213,922,5,4.3,47,51,455,13,27.3,10.4,-46.49
