Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,130,47,36.2,18,9,50.0,41,25,61.0
Los Angeles Chargers,138,48,34.8,22,12,54.5,38,21,55.3
Houston Texans,151,51,33.8,14,7,50.0,29,17,58.6
Denver Broncos,169,52,30.8,14,8,57.1,33,13,39.4
New England Patriots,146,52,35.6,22,7,31.8,26,19,73.1
New Orleans Saints,142,52,36.6,16,9,56.3,37,21,56.8
Buffalo Bills,141,53,37.6,14,9,64.3,34,19,55.9
Arizona Cardinals,143,54,37.8,18,8,44.4,46,27,58.7
New York Jets,154,55,35.7,13,10,76.9,44,26,59.1
Tennessee Titans,146,56,38.4,15,11,73.3,43,26,60.5
Detroit Lions,150,56,37.3,23,13,56.5,38,24,63.2
San Francisco 49ers,148,57,38.5,16,8,50.0,41,23,56.1
Tampa Bay Buccaneers,146,58,39.7,26,11,42.3,29,20,69.0
Seattle Seahawks,168,58,34.5,33,18,54.5,38,21,55.3
Los Angeles Rams,165,60,36.4,37,20,54.1,36,15,41.7
Green Bay Packers,156,60,38.5,26,14,53.8,32,19,59.4
Atlanta Falcons,154,60,39.0,25,15,60.0,36,20,55.6
Miami Dolphins,148,61,41.2,19,13,68.4,42,22,52.4
Kansas City Chiefs,142,61,43.0,18,5,27.8,35,19,54.3
Jacksonville Jaguars,153,61,39.9,20,8,40.0,35,21,60.0
Cleveland Browns,162,61,37.7,10,5,50.0,35,19,54.3
Baltimore Ravens,167,62,37.1,28,16,57.1,49,26,53.1
Washington Commanders,147,62,42.2,17,10,58.8,46,28,60.9
Minnesota Vikings,165,62,37.6,12,9,75.0,37,18,48.6
New York Giants,155,63,40.6,14,10,71.4,47,31,66.0
Indianapolis Colts,153,66,43.1,22,11,50.0,46,25,54.3
Philadelphia Eagles,160,68,42.5,23,7,30.4,36,18,50.0
Carolina Panthers,154,68,44.2,19,13,68.4,43,24,55.8
Cincinnati Bengals,150,71,47.3,16,10,62.5,51,33,64.7
Las Vegas Raiders,159,73,45.9,15,10,66.7,47,28,59.6
Dallas Cowboys,153,74,48.4,17,10,58.8,45,32,71.1
Pittsburgh Steelers,172,75,43.6,28,21,75.0,42,23,54.8
