Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Green Bay Packers,54,29,53.7,3,2,66.7,17,12,70.6
Chicago Bears,55,25,45.5,5,2,40.0,11,7,63.6
San Francisco 49ers,52,25,48.1,5,3,60.0,14,6,42.9
Los Angeles Chargers,53,23,43.4,3,2,66.7,11,4,36.4
Philadelphia Eagles,55,23,41.8,7,5,71.4,11,11,100.0
Cleveland Browns,61,23,37.7,9,5,55.6,9,6,66.7
Miami Dolphins,47,23,48.9,6,3,50.0,10,8,80.0
Atlanta Falcons,55,23,41.8,8,4,50.0,13,6,46.2
Kansas City Chiefs,56,22,39.3,10,9,90.0,14,8,57.1
Detroit Lions,53,22,41.5,9,7,77.8,19,14,73.7
Buffalo Bills,50,21,42.0,4,3,75.0,18,12,66.7
Carolina Panthers,55,21,38.2,11,6,54.5,10,7,70.0
Dallas Cowboys,47,20,42.6,6,4,66.7,15,10,66.7
New England Patriots,48,20,41.7,8,7,87.5,15,10,66.7
Tampa Bay Buccaneers,54,20,37.0,5,3,60.0,11,4,36.4
Arizona Cardinals,52,20,38.5,4,4,100.0,13,7,53.8
Denver Broncos,51,20,39.2,5,2,40.0,12,8,66.7
Indianapolis Colts,48,19,39.6,8,6,75.0,19,9,47.4
New Orleans Saints,53,19,35.8,8,2,25.0,14,7,50.0
Jacksonville Jaguars,54,19,35.2,5,3,60.0,16,8,50.0
Las Vegas Raiders,53,19,35.8,7,3,42.9,10,5,50.0
Los Angeles Rams,47,19,40.4,5,3,60.0,16,8,50.0
New York Giants,55,18,32.7,9,3,33.3,15,4,26.7
Cincinnati Bengals,50,18,36.0,1,1,100.0,9,6,66.7
Seattle Seahawks,46,18,39.1,3,1,33.3,14,9,64.3
Baltimore Ravens,44,18,40.9,6,2,33.3,13,7,53.8
Pittsburgh Steelers,44,17,38.6,3,1,33.3,13,9,69.2
Washington Commanders,45,15,33.3,5,3,60.0,9,7,77.8
Tennessee Titans,54,15,27.8,5,2,40.0,7,3,42.9
Minnesota Vikings,49,15,30.6,6,4,66.7,13,8,61.5
New York Jets,45,14,31.1,10,6,60.0,10,6,60.0
Houston Texans,48,14,29.2,6,5,83.3,6,2,33.3
