Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,113,55,48.7,10,7,70.0,28,13,46.4
San Francisco 49ers,110,51,46.4,11,6,54.5,25,13,52.0
Kansas City Chiefs,100,44,44.0,17,14,82.4,34,24,70.6
Arizona Cardinals,96,43,44.8,7,4,57.1,27,15,55.6
New York Giants,108,43,39.8,17,9,52.9,27,13,48.1
Green Bay Packers,87,42,48.3,8,6,75.0,30,21,70.0
Dallas Cowboys,95,41,43.2,9,7,77.8,31,20,64.5
New Orleans Saints,103,40,38.8,15,5,33.3,21,9,42.9
Miami Dolphins,97,40,41.2,13,7,53.8,23,15,65.2
Cincinnati Bengals,99,39,39.4,5,4,80.0,22,15,68.2
Indianapolis Colts,86,39,45.3,12,10,83.3,38,26,68.4
Denver Broncos,103,39,37.9,8,4,50.0,27,19,70.4
Carolina Panthers,102,38,37.3,19,13,68.4,24,14,58.3
Cleveland Browns,115,38,33.0,19,11,57.9,21,12,57.1
New England Patriots,93,37,39.8,12,10,83.3,29,16,55.2
Tampa Bay Buccaneers,102,37,36.3,12,6,50.0,22,11,50.0
Chicago Bears,90,37,41.1,8,3,37.5,23,11,47.8
New York Jets,106,37,34.9,19,10,52.6,19,11,57.9
Atlanta Falcons,89,35,39.3,15,6,40.0,20,9,45.0
Buffalo Bills,80,35,43.8,5,3,60.0,28,18,64.3
Washington Commanders,88,34,38.6,11,5,45.5,20,15,75.0
Las Vegas Raiders,87,33,37.9,11,5,45.5,18,7,38.9
Tennessee Titans,107,32,29.9,13,5,38.5,14,7,50.0
Baltimore Ravens,79,32,40.5,13,5,38.5,24,11,45.8
Houston Texans,91,32,35.2,12,8,66.7,19,8,42.1
Detroit Lions,85,32,37.6,13,8,61.5,29,21,72.4
Philadelphia Eagles,93,31,33.3,14,11,78.6,20,17,85.0
Jacksonville Jaguars,94,31,33.0,15,8,53.3,22,11,50.0
Pittsburgh Steelers,77,30,39.0,4,2,50.0,19,14,73.7
Los Angeles Rams,77,29,37.7,12,8,66.7,30,17,56.7
Minnesota Vikings,84,28,33.3,8,5,62.5,22,12,54.5
Seattle Seahawks,81,27,33.3,6,4,66.7,25,17,68.0
