Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,228,3769,809,4.7,24,8,229,260,448,2471,15,16,5.1,132,323,1298,10,4.0,68,92,716,29,25.8,14.6,63.69
Seattle Seahawks,242,3962,883,4.5,22,6,246,313,500,2680,17,16,4.9,148,341,1282,7,3.8,69,103,797,29,28.4,13.5,61.22
Los Angeles Rams,261,4491,903,5.0,21,8,268,319,503,3076,21,13,5.7,159,363,1415,5,3.9,88,103,795,21,33.6,14.7,16.19
Denver Broncos,261,4028,882,4.6,12,3,254,287,491,2756,14,9,5.0,148,333,1272,10,3.8,67,109,788,39,35.2,6.9,21.46
Kansas City Chiefs,268,4243,790,5.4,11,3,235,282,417,2856,15,8,6.4,130,344,1387,12,4.0,80,89,820,25,37.5,8.1,-25.16
Philadelphia Eagles,271,4516,893,5.1,17,7,268,260,464,2754,13,10,5.5,130,394,1762,14,4.5,109,78,694,29,36.5,10.8,8.70
New England Patriots,276,4202,802,5.2,14,6,257,298,448,2871,24,8,6.0,149,325,1331,7,4.1,84,89,685,24,33.6,9.3,-15.89
Green Bay Packers,281,4124,863,4.8,13,6,257,304,464,2717,21,7,5.5,148,366,1407,10,3.8,82,81,697,27,39.4,9.1,-39.04
Los Angeles Chargers,284,3907,790,4.9,20,3,238,254,422,2441,12,17,5.3,124,328,1466,16,4.5,88,86,713,26,37.1,12.6,0.92
Jacksonville Jaguars,292,4319,863,5.0,26,8,275,331,524,3111,23,18,5.6,169,311,1208,10,3.9,70,95,828,36,32.7,15.7,20.38
San Francisco 49ers,293,4671,839,5.6,14,9,276,330,480,3186,25,5,6.4,159,343,1485,9,4.3,94,89,625,23,36.7,9.4,-81.48
Indianapolis Colts,303,4798,916,5.2,18,6,301,332,524,3466,18,12,6.2,175,356,1332,13,3.7,96,88,749,30,40.0,12.4,-62.06
Minnesota Vikings,307,4311,863,5.0,14,9,262,248,394,2525,14,5,5.9,118,434,1786,13,4.1,123,90,729,21,39.1,8.6,-6.19
Carolina Panthers,317,4641,823,5.6,17,5,265,284,432,3017,17,12,6.6,151,368,1624,17,4.4,97,91,688,17,42.1,11.3,-88.24
Baltimore Ravens,320,4821,901,5.4,16,7,268,318,509,3266,19,9,6.2,155,370,1555,13,4.2,91,91,700,22,42.3,10.1,-20.17
Buffalo Bills,324,4377,786,5.6,18,7,258,233,385,2373,16,11,5.7,125,370,2004,23,5.4,111,71,624,22,39.2,12.2,-55.21
Miami Dolphins,324,4685,843,5.6,17,10,277,295,416,2835,22,7,6.3,148,393,1850,12,4.7,96,93,734,33,40.0,10.7,-71.56
Pittsburgh Steelers,326,5086,945,5.4,24,12,306,334,518,3394,23,12,6.1,169,387,1692,10,4.4,113,85,719,24,42.1,15.2,-60.35
New Orleans Saints,332,4357,857,5.1,16,8,269,251,384,2528,22,8,6.1,133,444,1829,12,4.1,110,100,782,26,41.0,11.1,-32.31
Cleveland Browns,332,3908,834,4.7,16,6,230,246,390,2366,22,10,5.4,130,397,1542,11,3.9,79,110,754,21,34.5,8.5,47.66
Chicago Bears,338,4837,815,5.9,30,9,265,287,434,3064,27,21,6.6,146,352,1773,12,5.0,94,80,548,25,36.2,19.7,-50.15
Atlanta Falcons,341,4530,870,5.2,17,6,277,270,425,2739,23,11,5.8,150,397,1791,11,4.5,104,80,658,23,42.8,10.3,-58.38
Detroit Lions,345,4730,877,5.4,17,5,280,286,465,3236,28,12,6.4,167,373,1494,12,4.0,81,76,567,32,40.1,10.8,-63.59
Tampa Bay Buccaneers,354,4875,844,5.8,20,8,270,320,479,3456,24,12,6.8,178,332,1419,16,4.3,71,108,841,21,39.6,12.8,-48.44
Las Vegas Raiders,363,4622,886,5.2,14,6,282,296,428,2958,22,8,6.5,150,431,1664,19,3.9,107,99,763,25,42.6,9.9,-90.07
Washington Commanders,375,5356,871,6.1,8,1,304,288,433,3448,28,7,7.4,179,407,1908,14,4.7,103,91,757,22,47.5,5.7,-153.90
Arizona Cardinals,388,4915,872,5.6,17,8,302,302,461,3172,23,9,6.5,171,386,1743,15,4.5,105,84,744,26,46.4,10.6,-84.74
Tennessee Titans,394,4992,856,5.8,13,7,289,294,431,3262,25,6,7.0,162,391,1730,19,4.4,95,87,609,32,45.1,7.2,-108.70
New York Giants,396,5355,888,6.0,9,4,312,306,473,3205,24,5,6.4,171,384,2150,18,5.6,110,111,918,31,45.4,5.9,-157.69
New York Jets,397,4723,868,5.4,3,3,291,259,411,2802,25,0,6.5,156,435,1921,18,4.4,105,83,716,30,47.1,1.3,-117.18
Dallas Cowboys,420,5249,871,6.0,11,5,307,321,471,3567,31,6,7.1,169,371,1682,19,4.5,115,113,974,23,48.7,6.7,-160.62
Cincinnati Bengals,437,5653,884,6.4,17,6,311,296,445,3442,31,11,7.3,174,414,2211,15,5.3,116,91,767,21,46.2,11.7,-172.39
